# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 1.066793 0.013359
0.707500 1.028938 0.007234
0.712500 1.009366 0.014888
0.717500 1.011550 0.013069
0.722500 1.028358 0.008615
0.727500 0.999855 0.014643
0.732500 1.011354 0.020270
0.737500 1.031875 0.016566
0.742500 1.010081 0.013062
0.747500 0.995026 0.007847
0.752500 1.003504 0.007862
0.757500 1.011021 0.013501
0.762500 1.018885 0.007126
0.767500 1.021831 0.014713
0.772500 1.038536 0.010561
0.777500 1.028131 0.021310
0.782500 1.018369 0.009182
0.787500 0.999731 0.011887
0.792500 0.983819 0.018296
0.797500 0.979755 0.006776
0.802500 0.995908 0.005400
0.807500 0.985827 0.006462
0.812500 1.003063 0.021295
0.817500 1.050913 0.014382
0.822500 1.075210 0.008534
0.827500 1.054077 0.008477
0.832500 1.054332 0.005368
0.837500 1.048968 0.005714
0.842500 1.023560 0.012089
0.847500 1.008288 0.008761
0.852500 1.018099 0.008755
0.857500 1.025665 0.013202
0.862500 1.017008 0.017962
0.867500 1.021783 0.012561
0.872500 1.020376 0.008259
0.877500 1.027535 0.012510
0.882500 1.031077 0.016066
0.887500 1.033518 0.013593
0.892500 1.044171 0.010701
0.897500 1.040055 0.005548
0.902500 1.043403 0.010297
0.907500 1.041819 0.007711
0.912500 1.039416 0.005824
0.917500 1.031953 0.007014
0.922500 1.034350 0.007921
0.927500 1.027848 0.006413
0.932500 1.033744 0.010258
0.937500 1.045895 0.006006
0.942500 1.046156 0.007838
0.947500 1.042308 0.007472
0.952500 1.033819 0.007168
0.957500 1.047337 0.008071
0.962500 1.049564 0.007394
0.967500 1.054002 0.010992
0.972500 1.063885 0.010690
0.977500 1.067506 0.016000
0.982500 1.075078 0.016817
0.987500 1.075842 0.020734
0.992500 1.073779 0.018873
0.997500 1.066990 0.019973
