# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.668085 0.008458
0.707500 0.667981 0.012018
0.712500 0.652528 0.013974
0.717500 0.651418 0.006370
0.722500 0.696021 0.007126
0.727500 0.686126 0.007555
0.732500 0.681303 0.009319
0.737500 0.689463 0.009385
0.742500 0.671358 0.005732
0.747500 0.681406 0.004909
0.752500 0.687823 0.004067
0.757500 0.679228 0.005866
0.762500 0.691473 0.009738
0.767500 0.712708 0.004187
0.772500 0.705594 0.005380
0.777500 0.712933 0.008225
0.782500 0.712132 0.009905
0.787500 0.678080 0.008984
0.792500 0.668828 0.011890
0.797500 0.695837 0.005604
0.802500 0.711933 0.004089
0.807500 0.707581 0.010293
0.812500 0.704151 0.005040
0.817500 0.694606 0.005350
0.822500 0.704856 0.006081
0.827500 0.698778 0.004821
0.832500 0.702279 0.004978
0.837500 0.723522 0.003831
0.842500 0.726196 0.004301
0.847500 0.720191 0.003973
0.852500 0.718275 0.007381
0.857500 0.715096 0.005668
0.862500 0.721157 0.004719
0.867500 0.722349 0.005942
0.872500 0.722768 0.006945
0.877500 0.725941 0.008829
0.882500 0.731411 0.005722
0.887500 0.731844 0.006080
0.892500 0.728362 0.005898
0.897500 0.732227 0.005285
0.902500 0.737690 0.009571
0.907500 0.736483 0.009312
0.912500 0.737292 0.008130
0.917500 0.732990 0.005151
0.922500 0.741410 0.005221
0.927500 0.742127 0.007391
0.932500 0.742253 0.011672
0.937500 0.735692 0.007613
0.942500 0.735319 0.003908
0.947500 0.747756 0.004167
0.952500 0.749313 0.005181
0.957500 0.753365 0.005231
0.962500 0.757377 0.006906
0.967500 0.761715 0.007250
0.972500 0.758196 0.010627
0.977500 0.766414 0.012883
0.982500 0.770879 0.015430
0.987500 0.775178 0.012941
0.992500 0.772853 0.012976
0.997500 0.772448 0.010471
1.002500 0.784057 0.008125
1.007500 0.784698 0.008110
1.012500 0.772586 0.014227
1.017500 0.774894 0.009509
1.022500 0.778098 0.006389
1.027500 0.785696 0.005833
1.032500 0.799827 0.003644
1.037500 0.801420 0.005339
1.042500 0.788056 0.013137
1.047500 0.783711 0.010106
1.052500 0.784082 0.010160
1.057500 0.785606 0.009386
1.062500 0.783749 0.008384
1.067500 0.787521 0.014787
1.072500 0.787994 0.012288
1.077500 0.792462 0.012909
1.082500 0.802612 0.012719
1.087500 0.803239 0.011448
1.092500 0.800325 0.013430
1.097500 0.797068 0.009473
1.102500 0.798486 0.009521
1.107500 0.800960 0.007618
1.112500 0.816523 0.011488
1.117500 0.821196 0.012304
1.122500 0.818963 0.013920
1.127500 0.820517 0.014741
1.132500 0.815873 0.015774
1.137500 0.816644 0.010160
1.142500 0.821930 0.009461
1.147500 0.817014 0.009293
1.152500 0.819379 0.012704
1.157500 0.815580 0.010784
1.162500 0.817112 0.008481
1.167500 0.820035 0.010939
1.172500 0.821958 0.009398
1.177500 0.822175 0.014302
1.182500 0.833584 0.014502
1.187500 0.834990 0.015898
1.192500 0.833109 0.014984
1.197500 0.831863 0.009651
1.202500 0.826686 0.012505
