# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.772805 0.007339
0.707500 0.781180 0.005836
0.712500 0.773934 0.007357
0.717500 0.777406 0.005694
0.722500 0.794212 0.011451
0.727500 0.815497 0.013473
0.732500 0.819541 0.011809
0.737500 0.805771 0.010746
0.742500 0.800105 0.014090
0.747500 0.815672 0.006508
0.752500 0.818471 0.009324
0.757500 0.821247 0.017339
0.762500 0.840478 0.016918
0.767500 0.841607 0.008531
0.772500 0.843084 0.006743
0.777500 0.853497 0.005267
0.782500 0.850804 0.010547
0.787500 0.830784 0.012848
0.792500 0.831341 0.013886
0.797500 0.853103 0.005276
0.802500 0.877290 0.006557
0.807500 0.890814 0.008101
0.812500 0.890626 0.006034
0.817500 0.892514 0.005967
0.822500 0.893007 0.006428
0.827500 0.894026 0.009268
0.832500 0.903093 0.010714
0.837500 0.917073 0.004532
0.842500 0.908427 0.004496
0.847500 0.897325 0.011505
0.852500 0.906427 0.010380
0.857500 0.908679 0.011354
0.862500 0.912811 0.007296
0.867500 0.916726 0.004570
0.872500 0.928036 0.011047
0.877500 0.941096 0.007143
0.882500 0.928401 0.008773
0.887500 0.934982 0.008401
0.892500 0.946124 0.007708
0.897500 0.943969 0.006254
0.902500 0.928385 0.008757
0.907500 0.932062 0.004747
0.912500 0.956815 0.006346
0.917500 0.958822 0.004879
0.922500 0.964240 0.006867
0.927500 0.959230 0.007550
0.932500 0.963848 0.009996
0.937500 0.961162 0.009436
0.942500 0.977291 0.014214
0.947500 0.975800 0.009519
0.952500 0.971529 0.004716
0.957500 0.975812 0.008723
0.962500 0.982661 0.012411
0.967500 0.990994 0.009211
0.972500 1.001814 0.004676
0.977500 0.996965 0.008844
0.982500 1.009822 0.005002
0.987500 1.018045 0.009439
0.992500 1.009990 0.009250
0.997500 1.004904 0.008512
1.002500 1.006624 0.009259
1.007500 1.005104 0.006433
1.012500 1.007080 0.005319
1.017500 1.006040 0.005169
1.022500 1.010110 0.005249
1.027500 1.003124 0.006137
1.032500 1.006384 0.005878
1.037500 1.010529 0.007721
1.042500 1.010307 0.006780
1.047500 1.016650 0.007804
1.052500 1.024288 0.006354
1.057500 1.025939 0.008363
1.062500 1.029112 0.012417
1.067500 1.019303 0.006016
1.072500 1.018434 0.010856
1.077500 1.027482 0.015330
1.082500 1.041817 0.013195
1.087500 1.038026 0.012046
1.092500 1.033103 0.008727
1.097500 1.037200 0.007986
1.102500 1.037388 0.006751
1.107500 1.046731 0.010432
1.112500 1.047525 0.010394
1.117500 1.050390 0.007795
1.122500 1.049799 0.005428
1.127500 1.047000 0.005981
1.132500 1.057075 0.008701
1.137500 1.047712 0.005167
1.142500 1.059872 0.011982
1.147500 1.062429 0.009076
1.152500 1.071845 0.005412
1.157500 1.067795 0.007846
1.162500 1.064260 0.009116
1.167500 1.063572 0.007949
1.172500 1.061610 0.008340
1.177500 1.060785 0.007374
1.182500 1.067470 0.007501
1.187500 1.062498 0.007489
1.192500 1.063570 0.006731
1.197500 1.065672 0.007458
1.202500 1.062363 0.008464
1.207500 1.060787 0.009460
1.212500 1.065719 0.009963
1.217500 1.067824 0.007201
1.222500 1.087947 0.010626
1.227500 1.078951 0.005843
1.232500 1.082273 0.005190
1.237500 1.075931 0.007421
1.242500 1.064014 0.006226
1.247500 1.061784 0.008931
1.252500 1.071951 0.009824
1.257500 1.081010 0.009964
1.262500 1.085154 0.009174
