# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.700892 0.005551
0.707500 0.688942 0.012747
0.712500 0.693929 0.004353
0.717500 0.698501 0.008056
0.722500 0.701468 0.004240
0.727500 0.689701 0.006053
0.732500 0.701058 0.009986
0.737500 0.720878 0.015752
0.742500 0.723990 0.013803
0.747500 0.727744 0.006916
0.752500 0.736189 0.006866
0.757500 0.744875 0.012597
0.762500 0.749682 0.009961
0.767500 0.755514 0.006941
0.772500 0.767645 0.006320
0.777500 0.776630 0.007408
0.782500 0.770537 0.007406
0.787500 0.755029 0.009827
0.792500 0.750449 0.005851
0.797500 0.785334 0.016301
0.802500 0.805596 0.020274
0.807500 0.815131 0.015572
0.812500 0.825784 0.014859
0.817500 0.814799 0.012716
0.822500 0.821621 0.014198
0.827500 0.822242 0.016822
0.832500 0.824235 0.007986
0.837500 0.826934 0.005951
0.842500 0.845234 0.005257
0.847500 0.840130 0.009757
0.852500 0.854850 0.011081
0.857500 0.862203 0.013390
0.862500 0.863893 0.011197
0.867500 0.859737 0.009766
0.872500 0.875820 0.005143
0.877500 0.885637 0.009392
0.882500 0.888487 0.005724
0.887500 0.896586 0.010092
0.892500 0.898554 0.008344
0.897500 0.900408 0.014681
0.902500 0.912101 0.009280
0.907500 0.911375 0.007456
0.912500 0.918995 0.010716
0.917500 0.912159 0.012879
0.922500 0.925591 0.015887
0.927500 0.929199 0.008187
0.932500 0.933112 0.007192
0.937500 0.932438 0.010029
0.942500 0.938095 0.012855
0.947500 0.940922 0.011056
0.952500 0.952068 0.004365
0.957500 0.957073 0.009178
0.962500 0.971486 0.006402
0.967500 0.977213 0.006380
0.972500 0.989642 0.008692
0.977500 0.983297 0.017345
0.982500 0.987001 0.017150
0.987500 0.989102 0.015152
0.992500 0.994642 0.012441
0.997500 0.996080 0.010578
1.002500 0.999840 0.012034
1.007500 1.004159 0.010772
1.012500 1.005824 0.010972
1.017500 1.006226 0.012561
1.022500 1.011687 0.013592
1.027500 1.014014 0.018095
1.032500 1.019614 0.018975
1.037500 1.024684 0.016132
1.042500 1.023272 0.012887
1.047500 1.025839 0.012692
1.052500 1.025231 0.013088
1.057500 1.031887 0.017943
1.062500 1.033402 0.013707
1.067500 1.037072 0.012906
1.072500 1.036622 0.012113
1.077500 1.034939 0.013162
1.082500 1.043624 0.012853
1.087500 1.043938 0.011423
1.092500 1.051641 0.011898
1.097500 1.055342 0.010200
1.102500 1.058764 0.009714
1.107500 1.064674 0.015438
1.112500 1.065898 0.014040
1.117500 1.071429 0.013287
1.122500 1.073881 0.017624
1.127500 1.079266 0.018885
1.132500 1.079896 0.018966
1.137500 1.078273 0.020319
1.142500 1.082902 0.020715
1.147500 1.086033 0.017592
1.152500 1.089262 0.017621
1.157500 1.091196 0.020652
1.162500 1.092492 0.019964
1.167500 1.090834 0.022148
1.172500 1.093794 0.020812
1.177500 1.098659 0.024105
1.182500 1.106780 0.025308
1.187500 1.103253 0.025544
1.192500 1.102973 0.030951
1.197500 1.109997 0.018321
1.202500 1.105444 0.017713
1.207500 1.106765 0.019717
1.212500 1.107292 0.019541
1.217500 1.105760 0.015819
1.222500 1.101220 0.013497
1.227500 1.088058 0.008264
1.232500 1.089345 0.011046
1.237500 1.082691 0.013866
1.242500 1.079946 0.013930
1.247500 1.083561 0.013668
1.252500 1.084524 0.013157
1.257500 1.087962 0.015245
1.262500 1.103387 0.018945
1.267500 1.109288 0.020631
1.272500 1.102472 0.023632
1.277500 1.114917 0.023005
1.282500 1.114147 0.021432
1.287500 1.112037 0.023030
1.292500 1.122535 0.018171
1.297500 1.114464 0.012406
1.302500 1.119854 0.013034
1.307500 1.125616 0.014346
1.312500 1.124807 0.015052
1.317500 1.126346 0.021931
1.322500 1.130637 0.021255
1.327500 1.124484 0.026488
1.332500 1.123565 0.026766
1.337500 1.129324 0.026481
1.342500 1.122582 0.027562
1.347500 1.120311 0.026923
1.352500 1.124623 0.029209
1.357500 1.132064 0.030991
1.362500 1.134503 0.031882
1.367500 1.138498 0.029159
1.372500 1.141794 0.030430
1.377500 1.127098 0.028867
1.382500 1.125882 0.023076
1.387500 1.123713 0.024093
1.392500 1.129516 0.027055
1.397500 1.130348 0.026096
1.402500 1.132185 0.029466
1.407500 1.137514 0.024305
1.412500 1.135880 0.025123
1.417500 1.134715 0.024883
1.422500 1.132127 0.029067
1.427500 1.126862 0.033804
1.432500 1.131181 0.032077
1.437500 1.128607 0.033165
1.442500 1.130872 0.028959
1.447500 1.135561 0.026481
1.452500 1.135371 0.027870
1.457500 1.136913 0.027908
1.462500 1.141717 0.023461
1.467500 1.146725 0.020338
1.472500 1.143049 0.019557
1.477500 1.143074 0.018659
1.482500 1.135704 0.030890
1.487500 1.126746 0.033814
1.492500 1.121965 0.030651
1.497500 1.131731 0.034023
1.502500 1.126891 0.035755
1.507500 1.125239 0.033569
1.512500 1.119545 0.029811
1.517500 1.116338 0.027761
1.522500 1.116411 0.031983
1.527500 1.122986 0.028955
1.532500 1.120277 0.028781
1.537500 1.119625 0.023236
1.542500 1.112077 0.028491
1.547500 1.110118 0.033631
1.552500 1.110501 0.034068
1.557500 1.113582 0.034301
1.562500 1.111756 0.038201
1.567500 1.105662 0.041567
1.572500 1.109294 0.031260
1.577500 1.112010 0.027394
1.582500 1.117937 0.026123
1.587500 1.119833 0.024364
1.592500 1.113176 0.019913
1.597500 1.118049 0.018886
1.602500 1.113624 0.023758
1.607500 1.112616 0.023430
1.612500 1.115357 0.025798
1.617500 1.114993 0.026725
1.622500 1.109861 0.024576
1.627500 1.121080 0.028645
1.632500 1.129259 0.033935
1.637500 1.132837 0.034350
1.642500 1.131781 0.035701
1.647500 1.123938 0.030085
1.652500 1.117300 0.025344
1.657500 1.113757 0.026983
1.662500 1.113187 0.029572
1.667500 1.116904 0.028606
1.672500 1.124612 0.029298
1.677500 1.130497 0.033568
1.682500 1.128091 0.032115
1.687500 1.132034 0.031374
1.692500 1.131073 0.030752
1.697500 1.133472 0.026063
1.702500 1.131473 0.031241
1.707500 1.133579 0.027038
1.712500 1.132754 0.024028
1.717500 1.138760 0.024555
1.722500 1.137818 0.029697
1.727500 1.134942 0.026786
1.732500 1.134033 0.024309
1.737500 1.128540 0.025968
1.742500 1.119427 0.032070
1.747500 1.108062 0.021296
1.752500 1.118074 0.023332
1.757500 1.119229 0.028542
1.762500 1.111800 0.029134
1.767500 1.118206 0.027806
1.772500 1.117116 0.026337
1.777500 1.115450 0.029511
1.782500 1.117907 0.029428
1.787500 1.120275 0.025995
1.792500 1.124549 0.024724
1.797500 1.124721 0.026863
1.802500 1.114053 0.033683
1.807500 1.118052 0.023967
1.812500 1.115736 0.024117
1.817500 1.115837 0.027530
1.822500 1.121033 0.025405
1.827500 1.117412 0.025362
1.832500 1.124405 0.023027
1.837500 1.121116 0.024813
1.842500 1.127762 0.025071
1.847500 1.133008 0.026904
1.852500 1.135768 0.025978
1.857500 1.125280 0.037426
1.862500 1.123568 0.030981
1.867500 1.109814 0.017412
1.872500 1.109462 0.022655
1.877500 1.109420 0.023757
1.882500 1.116406 0.026870
1.887500 1.126721 0.031419
1.892500 1.131372 0.032118
1.897500 1.127475 0.032099
1.902500 1.124534 0.026540
1.907500 1.123633 0.027792
1.912500 1.111492 0.038371
1.917500 1.103476 0.036833
1.922500 1.108660 0.035150
1.927500 1.111578 0.035342
1.932500 1.100465 0.040097
1.937500 1.091398 0.027326
1.942500 1.088928 0.027200
1.947500 1.086487 0.033232
1.952500 1.086543 0.032647
1.957500 1.068734 0.027063
1.962500 1.062139 0.024941
1.967500 1.064921 0.028446
1.972500 1.068045 0.025833
1.977500 1.076950 0.024165
1.982500 1.075473 0.025404
1.987500 1.070263 0.027673
1.992500 1.073792 0.028378
1.997500 1.072264 0.028517
2.002500 1.067492 0.033192
2.007500 1.063425 0.033065
2.012500 1.066067 0.032130
2.017500 1.065478 0.032511
2.022500 1.077714 0.032097
2.027500 1.076651 0.026643
2.032500 1.075062 0.024436
2.037500 1.080415 0.024010
2.042500 1.065400 0.033923
2.047500 1.064597 0.033357
2.052500 1.067260 0.030989
2.057500 1.079089 0.030816
2.062500 1.078921 0.024548
2.067500 1.076593 0.018552
2.072500 1.071388 0.024984
2.077500 1.071492 0.026697
2.082500 1.059513 0.024880
2.087500 1.063156 0.025980
2.092500 1.067747 0.027653
2.097500 1.067940 0.031218
2.102500 1.075186 0.026483
2.107500 1.076271 0.025654
2.112500 1.070625 0.027075
2.117500 1.047904 0.019226
2.122500 1.058109 0.020438
2.127500 1.067260 0.022440
2.132500 1.068892 0.022963
2.137500 1.071660 0.021038
2.142500 1.072816 0.022025
2.147500 1.066041 0.020860
2.152500 1.055031 0.014072
2.157500 1.060566 0.016985
2.162500 1.069687 0.023958
2.167500 1.070442 0.021499
2.172500 1.079068 0.025892
2.177500 1.072683 0.017530
2.182500 1.069445 0.019130
2.187500 1.062301 0.013016
2.192500 1.062399 0.013454
2.197500 1.063181 0.019715
2.202500 1.062472 0.021907
2.207500 1.062414 0.022555
2.212500 1.059780 0.027340
2.217500 1.066797 0.024902
2.222500 1.075961 0.023422
2.227500 1.071464 0.025735
2.232500 1.066012 0.027678
2.237500 1.056011 0.022203
2.242500 1.061795 0.023423
2.247500 1.066149 0.021572
2.252500 1.051295 0.022189
2.257500 1.046745 0.016809
2.262500 1.044388 0.015754
2.267500 1.027911 0.020464
2.272500 1.007957 0.014801
2.277500 1.002107 0.015405
2.282500 1.003752 0.022071
2.287500 1.020172 0.018605
2.292500 1.018030 0.023246
2.297500 1.024841 0.018742
2.302500 1.030006 0.024457
2.307500 1.029506 0.024442
2.312500 1.023451 0.020846
2.317500 1.032806 0.023418
2.322500 1.036373 0.016196
2.327500 1.037537 0.021943
2.332500 1.044883 0.021505
2.337500 1.038192 0.016642
2.342500 1.046838 0.018465
2.347500 1.050221 0.018573
2.352500 1.046644 0.023980
2.357500 1.048618 0.024117
2.362500 1.045111 0.027315
2.367500 1.019079 0.023765
2.372500 1.023444 0.027106
2.377500 1.027425 0.032287
2.382500 1.037720 0.028321
2.387500 1.044939 0.017664
2.392500 1.046071 0.015424
2.397500 1.043426 0.017262
2.402500 1.037684 0.024089
2.407500 1.043994 0.017979
2.412500 1.032068 0.021286
2.417500 1.021538 0.020164
2.422500 1.013122 0.020449
2.427500 1.013689 0.021760
2.432500 1.015004 0.014775
2.437500 1.015140 0.012829
2.442500 1.014071 0.012297
2.447500 1.021550 0.021799
2.452500 1.023230 0.024517
