# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.772735 0.030375
0.707500 0.778914 0.023671
0.712500 0.751340 0.013557
0.717500 0.772940 0.016541
0.722500 0.779480 0.020240
0.727500 0.777928 0.025111
0.732500 0.753843 0.015867
0.737500 0.758390 0.011331
0.742500 0.772109 0.013291
0.747500 0.781743 0.005408
0.752500 0.779712 0.005809
0.757500 0.788219 0.006657
0.762500 0.792453 0.012382
0.767500 0.803767 0.014943
0.772500 0.825681 0.018911
0.777500 0.838921 0.028957
0.782500 0.831376 0.026761
0.787500 0.832765 0.022503
0.792500 0.815646 0.023078
0.797500 0.829842 0.010838
0.802500 0.826798 0.010181
0.807500 0.807576 0.015718
0.812500 0.811429 0.012656
0.817500 0.826871 0.016726
0.822500 0.888891 0.006394
0.827500 0.885618 0.011395
0.832500 0.884651 0.008773
0.837500 0.884327 0.010037
0.842500 0.871191 0.012531
0.847500 0.867487 0.013290
0.852500 0.873502 0.010412
0.857500 0.882616 0.012672
0.862500 0.877929 0.014048
0.867500 0.875550 0.020062
0.872500 0.894210 0.024042
0.877500 0.911083 0.026390
0.882500 0.910656 0.022465
0.887500 0.925110 0.017216
0.892500 0.933019 0.010882
0.897500 0.913900 0.014778
0.902500 0.913657 0.010373
0.907500 0.919373 0.014551
0.912500 0.922778 0.014883
0.917500 0.921353 0.014593
0.922500 0.924507 0.014305
0.927500 0.931828 0.010666
0.932500 0.953935 0.014133
0.937500 0.950875 0.008014
0.942500 0.953947 0.011188
0.947500 0.961638 0.010976
0.952500 0.962126 0.012597
0.957500 0.960088 0.009674
0.962500 0.949463 0.005637
0.967500 0.964213 0.009546
0.972500 0.972880 0.007599
0.977500 0.975135 0.005974
0.982500 0.984493 0.009115
0.987500 0.988603 0.009595
0.992500 0.985091 0.005592
0.997500 0.983009 0.004791
1.002500 0.981950 0.005955
1.007500 0.987108 0.006840
1.012500 0.991501 0.009969
1.017500 0.992839 0.009641
1.022500 0.996588 0.005991
1.027500 0.989388 0.006937
1.032500 0.995000 0.008209
1.037500 1.005364 0.009402
1.042500 1.012613 0.010312
1.047500 1.009352 0.007628
