# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.723042 0.014068
0.707500 0.714008 0.014775
0.712500 0.709205 0.014718
0.717500 0.740794 0.017128
0.722500 0.766344 0.004406
0.727500 0.753646 0.007092
0.732500 0.778996 0.006520
0.737500 0.749627 0.020261
0.742500 0.753019 0.023587
0.747500 0.758338 0.016788
0.752500 0.770877 0.018813
0.757500 0.770489 0.013775
0.762500 0.796201 0.011445
0.767500 0.788094 0.013522
0.772500 0.787933 0.013717
0.777500 0.799687 0.008319
0.782500 0.781906 0.006584
0.787500 0.775824 0.009112
0.792500 0.802483 0.011733
0.797500 0.808108 0.010079
0.802500 0.816951 0.008551
0.807500 0.842080 0.006488
0.812500 0.826623 0.009165
0.817500 0.822106 0.008838
0.822500 0.822465 0.011117
0.827500 0.825342 0.014337
0.832500 0.838989 0.012354
0.837500 0.837473 0.005058
0.842500 0.837456 0.005499
0.847500 0.840356 0.008858
0.852500 0.851729 0.013237
0.857500 0.856766 0.009637
0.862500 0.859441 0.008344
0.867500 0.871339 0.008611
0.872500 0.865611 0.008262
0.877500 0.859488 0.006308
0.882500 0.855220 0.004009
0.887500 0.860555 0.004926
0.892500 0.872358 0.007056
0.897500 0.877484 0.004711
0.902500 0.877002 0.005829
0.907500 0.870394 0.005735
0.912500 0.876555 0.008382
0.917500 0.881184 0.006625
0.922500 0.882934 0.005159
0.927500 0.891796 0.007339
0.932500 0.899395 0.007516
0.937500 0.898577 0.005459
0.942500 0.908137 0.007428
0.947500 0.906992 0.007537
0.952500 0.918109 0.005604
0.957500 0.918823 0.007608
0.962500 0.919609 0.012556
0.967500 0.930563 0.014780
0.972500 0.941914 0.008323
0.977500 0.940399 0.007953
0.982500 0.938023 0.004501
0.987500 0.937288 0.006086
0.992500 0.946575 0.009202
0.997500 0.951185 0.005648
1.002500 0.961653 0.009764
1.007500 0.967608 0.009223
1.012500 0.942435 0.015052
1.017500 0.946990 0.013857
1.022500 0.958005 0.011955
1.027500 0.957818 0.006397
1.032500 0.952998 0.004623
1.037500 0.953476 0.005419
1.042500 0.946160 0.005826
1.047500 0.957422 0.011045
1.052500 0.965838 0.008197
1.057500 0.969678 0.007438
1.062500 0.965072 0.004327
1.067500 0.960065 0.005329
1.072500 0.966257 0.008450
1.077500 0.964802 0.011169
1.082500 0.960071 0.019763
1.087500 0.957668 0.014845
1.092500 0.965750 0.010160
1.097500 0.973451 0.008439
1.102500 0.986747 0.011989
1.107500 0.993658 0.013713
1.112500 1.004549 0.011266
1.117500 1.000409 0.004247
1.122500 0.999328 0.005338
1.127500 0.993984 0.005087
1.132500 0.993905 0.008018
1.137500 0.992554 0.009615
1.142500 0.987690 0.010627
1.147500 0.986751 0.007940
1.152500 0.995435 0.010490
1.157500 0.993442 0.009634
1.162500 0.996763 0.006049
1.167500 0.997694 0.008714
1.172500 1.002944 0.009086
1.177500 1.010368 0.008831
1.182500 1.028790 0.009654
1.187500 1.025499 0.008269
1.192500 1.020525 0.007355
1.197500 1.017622 0.009856
1.202500 1.022290 0.014716
1.207500 1.025094 0.018297
1.212500 1.014683 0.008167
1.217500 1.011375 0.007652
1.222500 1.014551 0.016675
1.227500 1.019238 0.022298
1.232500 1.029772 0.018735
1.237500 1.031995 0.020702
1.242500 1.030915 0.026200
1.247500 1.026617 0.027187
1.252500 1.036109 0.025660
1.257500 1.042883 0.017920
1.262500 1.040536 0.022372
1.267500 1.031038 0.013029
1.272500 1.022796 0.024579
1.277500 1.018667 0.013272
1.282500 1.016287 0.025698
1.287500 1.017448 0.005839
1.292500 1.028622 0.007465
1.297500 1.033872 0.004271
1.302500 1.044026 0.008422
1.307500 1.038173 0.010794
1.312500 1.036972 0.013303
1.317500 1.038112 0.012807
1.322500 1.040836 0.011193
1.327500 1.042464 0.010867
1.332500 1.035732 0.008418
1.337500 1.030678 0.006086
1.342500 1.028622 0.006428
1.347500 1.029832 0.007674
1.352500 1.034765 0.009649
1.357500 1.036714 0.009583
1.362500 1.038085 0.008822
1.367500 1.030893 0.010249
1.372500 1.031843 0.006767
1.377500 1.037797 0.008364
1.382500 1.037886 0.006191
1.387500 1.045102 0.006582
1.392500 1.048971 0.008362
1.397500 1.044610 0.007197
1.402500 1.045611 0.010814
1.407500 1.043808 0.009244
1.412500 1.043734 0.009927
1.417500 1.040471 0.011364
1.422500 1.037341 0.009997
1.427500 1.044896 0.011938
1.432500 1.044715 0.011641
1.437500 1.051260 0.009221
1.442500 1.039518 0.013957
1.447500 1.038088 0.019317
1.452500 1.041236 0.020875
1.457500 1.042758 0.020631
1.462500 1.044332 0.019731
1.467500 1.039650 0.016736
1.472500 1.041609 0.015238
1.477500 1.039843 0.014692
1.482500 1.047073 0.013956
1.487500 1.053176 0.015039
1.492500 1.052382 0.015063
1.497500 1.059110 0.014887
1.502500 1.052812 0.020065
1.507500 1.049393 0.017984
1.512500 1.047275 0.015872
1.517500 1.046929 0.014762
1.522500 1.047646 0.013877
1.527500 1.053187 0.010668
1.532500 1.049259 0.013175
1.537500 1.033396 0.005073
1.542500 1.031810 0.007636
1.547500 1.038017 0.008154
1.552500 1.043670 0.007974
1.557500 1.044902 0.005804
1.562500 1.045995 0.014422
1.567500 1.050480 0.019272
1.572500 1.049282 0.011706
1.577500 1.051957 0.015283
1.582500 1.042374 0.025155
1.587500 1.043676 0.026636
1.592500 1.041161 0.027601
1.597500 1.033409 0.011504
1.602500 1.047629 0.006679
1.607500 1.051154 0.007105
1.612500 1.048768 0.008233
1.617500 1.045731 0.022651
1.622500 1.059150 0.022105
1.627500 1.059042 0.020757
1.632500 1.071567 0.027673
1.637500 1.030792 0.025288
1.642500 1.053034 0.021510
1.647500 1.054555 0.019334
1.652500 1.060129 0.019613
1.657500 1.060548 0.015804
1.662500 1.057878 0.004975
1.667500 1.066189 0.008642
1.672500 1.079634 0.012905
1.677500 1.081708 0.011718
1.682500 1.076404 0.016153
1.687500 1.083431 0.013512
1.692500 1.070733 0.009110
1.697500 1.064540 0.012012
1.702500 1.061919 0.009796
1.707500 1.073143 0.011289
1.712500 1.077363 0.014051
1.717500 1.076848 0.015287
1.722500 1.085044 0.021857
1.727500 1.094808 0.020278
1.732500 1.076201 0.015907
1.737500 1.070236 0.014744
1.742500 1.073576 0.008537
1.747500 1.074560 0.007472
1.752500 1.096536 0.019662
1.757500 1.090750 0.022992
1.762500 1.087369 0.027182
1.767500 1.090739 0.025595
1.772500 1.075327 0.015315
1.777500 1.067527 0.016731
1.782500 1.071456 0.020175
1.787500 1.076467 0.015654
1.792500 1.064753 0.008511
1.797500 1.057208 0.011375
1.802500 1.065153 0.013509
1.807500 1.070597 0.015020
1.812500 1.068795 0.014958
1.817500 1.073469 0.020425
1.822500 1.076661 0.021825
1.827500 1.061198 0.014236
1.832500 1.052301 0.015547
1.837500 1.030865 0.017032
1.842500 1.042512 0.016380
1.847500 1.059502 0.025337
1.852500 1.065587 0.025957
1.857500 1.070364 0.027180
1.862500 1.087359 0.024021
1.867500 1.085403 0.024624
1.872500 1.084209 0.026638
1.877500 1.096215 0.030415
1.882500 1.086657 0.020488
1.887500 1.073625 0.007810
1.892500 1.074388 0.004139
1.897500 1.077224 0.005118
1.902500 1.077447 0.008167
1.907500 1.076684 0.009340
1.912500 1.070772 0.009556
1.917500 1.075799 0.014169
1.922500 1.075195 0.010132
1.927500 1.060758 0.010421
1.932500 1.051197 0.008210
1.937500 1.063776 0.010225
1.942500 1.043831 0.005998
1.947500 1.034837 0.010063
1.952500 1.039807 0.012550
1.957500 1.043658 0.010596
1.962500 1.042317 0.012338
1.967500 1.040523 0.020626
1.972500 1.046071 0.021821
1.977500 1.028858 0.013618
1.982500 1.019711 0.015822
1.987500 1.021292 0.023610
1.992500 1.021942 0.023831
1.997500 1.032184 0.015680
2.002500 1.045248 0.013273
2.007500 1.047302 0.015966
2.012500 1.059682 0.018479
2.017500 1.061822 0.017699
2.022500 1.053565 0.021914
2.027500 1.049111 0.014871
2.032500 1.031836 0.013725
2.037500 1.037004 0.012085
2.042500 1.039611 0.018607
2.047500 1.048506 0.024595
2.052500 1.035995 0.016076
2.057500 1.036027 0.020069
2.062500 1.043686 0.019794
2.067500 1.057125 0.006308
2.072500 1.047869 0.014788
2.077500 1.045334 0.015399
2.082500 1.055495 0.012602
2.087500 1.045776 0.024890
2.092500 1.040510 0.018458
2.097500 1.052381 0.017928
2.102500 1.049258 0.017076
2.107500 1.024762 0.014660
2.112500 1.030185 0.016264
2.117500 1.043669 0.018497
2.122500 1.033395 0.004377
2.127500 1.052506 0.015961
2.132500 1.055982 0.021447
2.137500 1.050435 0.027633
2.142500 1.026286 0.012627
2.147500 1.031135 0.007127
2.152500 1.034403 0.004663
2.157500 1.028044 0.012750
2.162500 1.025937 0.011532
2.167500 1.019297 0.004687
2.172500 1.036252 0.004880
2.177500 1.064434 0.014186
2.182500 1.071187 0.010187
2.187500 1.074721 0.006671
2.192500 1.076969 0.005993
2.197500 1.079410 0.005408
2.202500 1.082086 0.007473
2.207500 1.082894 0.007724
2.212500 1.071502 0.014546
2.217500 1.075499 0.021006
2.222500 1.088092 0.021013
2.227500 1.073919 0.033799
2.232500 1.069490 0.036614
2.237500 1.054091 0.030432
2.242500 1.045923 0.023417
2.247500 1.034991 0.013192
2.252500 1.032788 0.018377
2.257500 1.039623 0.009076
2.262500 1.018275 0.013185
2.267500 1.013570 0.004823
2.272500 1.016888 0.003424
2.277500 1.024970 0.008656
2.282500 1.026166 0.011713
2.287500 1.036937 0.005733
2.292500 1.017927 0.012702
2.297500 1.023125 0.020047
2.302500 1.028699 0.018462
2.307500 1.040736 0.003296
2.312500 1.015125 0.011636
2.317500 1.041849 0.023612
2.322500 1.050802 0.021230
2.327500 1.028232 0.009753
2.332500 1.023160 0.012354
2.337500 1.026112 0.013907
2.342500 1.015927 0.008389
2.347500 1.005144 0.009812
2.352500 1.010171 0.007595
2.357500 1.014454 0.012295
2.362500 1.019716 0.007724
2.367500 1.036739 0.008269
2.372500 1.040806 0.009462
2.377500 1.054609 0.010594
2.382500 1.049364 0.010139
2.387500 1.050976 0.009642
2.392500 1.043682 0.006635
2.397500 1.039087 0.004956
2.402500 1.053108 0.004510
2.407500 1.049277 0.017265
2.412500 1.033899 0.014622
2.417500 1.040966 0.005443
2.422500 1.024418 0.007981
2.427500 1.030387 0.009756
2.432500 1.026480 0.015003
2.437500 1.010722 0.014828
2.442500 0.982168 0.018837
2.447500 0.994771 0.022597
2.452500 1.006314 0.018139
2.457500 1.023530 0.005413
2.462500 1.014840 0.015748
2.467500 1.010404 0.010306
2.472500 1.009326 0.008095
2.477500 0.998137 0.003992
2.482500 1.015816 0.012134
2.487500 0.998164 0.020618
2.492500 0.982694 0.016090
2.497500 0.982908 0.016410
2.502500 0.977279 0.026202
2.507500 0.981035 0.023288
2.512500 0.986759 0.022401
2.517500 1.014129 0.013891
2.522500 1.007657 0.010513
2.527500 1.014493 0.015877
2.532500 0.996359 0.016723
2.537500 0.984799 0.012365
2.542500 1.005056 0.010740
2.547500 0.996636 0.005572
2.552500 0.999123 0.002032
2.557500 1.009683 0.008107
2.562500 1.012371 0.002405
2.567500 1.012503 0.003759
2.572500 1.018234 0.012485
2.577500 1.021754 0.004574
2.582500 1.011170 0.008471
2.587500 1.017064 0.004596
2.592500 1.001597 0.010344
2.597500 1.000000 0.008077
2.602500 1.004675 0.009276
2.607500 0.991376 0.000966
2.612500 0.974328 0.005722
2.617500 0.962861 0.002873
2.622500 0.965793 0.002885
2.627500 0.982162 0.009011
2.632500 0.974306 0.010736
2.637500 0.961439 0.014810
2.642500 0.943388 0.018634
2.647500 0.948453 0.015822
2.652500 0.925015 0.015564
2.657500 0.905282 0.023768
2.662500 0.884635 0.013142
2.667500 0.813275 0.014159
2.672500 0.789111 0.011321
2.677500 0.789038 0.020407
2.682500 0.762479 0.018092
2.687500 0.694519 0.017713
2.692500 0.670387 0.025029
2.697500 0.629467 0.023654
2.702500 0.679789 0.018243
2.707500 0.683591 0.014555
2.712500 0.737917 0.005599
2.717500 0.747228 0.014929
2.722500 0.760742 0.023280
2.727500 0.767084 0.023607
2.732500 0.729902 0.012509
2.737500 0.726907 0.015291
2.742500 0.714481 0.009628
2.747500 0.676877 0.015123
2.752500 0.640007 0.003681
2.757500 0.589046 0.001639
2.762500 0.581105 0.006024
2.767500 0.558979 0.006444
2.772500 0.536714 0.014698
2.777500 0.520070 0.012914
2.782500 0.512779 0.005810
2.787500 0.510448 0.024498
2.792500 0.491876 0.026535
