# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.696100 0.015770
0.707500 0.710404 0.027232
0.712500 0.690313 0.013422
0.717500 0.694296 0.006688
0.722500 0.696462 0.006766
0.727500 0.673588 0.010730
0.732500 0.686815 0.017922
0.737500 0.704577 0.006667
0.742500 0.699055 0.005591
0.747500 0.702242 0.010698
0.752500 0.713412 0.005510
0.757500 0.730445 0.004870
0.762500 0.736300 0.003645
0.767500 0.723247 0.008991
0.772500 0.711338 0.012538
0.777500 0.732865 0.010751
0.782500 0.748069 0.008575
0.787500 0.710340 0.024736
0.792500 0.684712 0.018910
0.797500 0.673147 0.015229
0.802500 0.694319 0.018888
0.807500 0.741041 0.010869
0.812500 0.748933 0.005027
0.817500 0.750606 0.007264
0.822500 0.762378 0.007578
0.827500 0.754591 0.011331
0.832500 0.751332 0.005018
0.837500 0.750648 0.007421
0.842500 0.747267 0.010317
0.847500 0.742739 0.013609
0.852500 0.736486 0.006104
0.857500 0.750897 0.015991
0.862500 0.758225 0.012650
0.867500 0.764516 0.008859
0.872500 0.767730 0.006455
0.877500 0.775427 0.008780
0.882500 0.786502 0.003540
0.887500 0.789199 0.008220
0.892500 0.776126 0.008651
0.897500 0.770997 0.008885
0.902500 0.767198 0.008273
0.907500 0.772077 0.011288
0.912500 0.787418 0.011932
0.917500 0.786989 0.008833
0.922500 0.786984 0.006737
0.927500 0.790027 0.006172
0.932500 0.800887 0.004280
0.937500 0.797577 0.004560
0.942500 0.803752 0.006216
0.947500 0.799439 0.009995
0.952500 0.792448 0.013200
0.957500 0.795784 0.017597
0.962500 0.808644 0.009862
0.967500 0.813959 0.006274
0.972500 0.810517 0.005692
0.977500 0.812850 0.004830
0.982500 0.820977 0.008831
0.987500 0.825145 0.009536
0.992500 0.819139 0.011792
0.997500 0.824408 0.012481
1.002500 0.816654 0.014664
1.007500 0.828546 0.007285
1.012500 0.834683 0.013359
1.017500 0.850233 0.015283
1.022500 0.853284 0.008943
1.027500 0.843397 0.004700
1.032500 0.837479 0.004556
1.037500 0.836776 0.011639
1.042500 0.839271 0.010782
1.047500 0.843458 0.009658
1.052500 0.846844 0.005451
1.057500 0.847095 0.007002
1.062500 0.843655 0.013274
1.067500 0.848664 0.015314
1.072500 0.854445 0.018979
1.077500 0.855773 0.016943
1.082500 0.858963 0.013245
1.087500 0.861644 0.012885
1.092500 0.865185 0.013929
1.097500 0.863595 0.014676
1.102500 0.869190 0.016837
1.107500 0.868851 0.017804
1.112500 0.876818 0.013593
1.117500 0.875066 0.017110
1.122500 0.877531 0.020505
1.127500 0.878121 0.022121
1.132500 0.875200 0.017713
1.137500 0.880292 0.018691
1.142500 0.887147 0.016249
1.147500 0.884332 0.016749
1.152500 0.887468 0.017828
1.157500 0.886709 0.017555
1.162500 0.883065 0.011833
1.167500 0.886589 0.013261
1.172500 0.890102 0.014351
1.177500 0.898092 0.016470
1.182500 0.907424 0.015291
1.187500 0.915580 0.016861
1.192500 0.913641 0.016594
1.197500 0.913703 0.018397
1.202500 0.916175 0.017199
1.207500 0.915229 0.018301
1.212500 0.919831 0.015611
1.217500 0.918505 0.013022
1.222500 0.905488 0.005887
1.227500 0.893461 0.006193
1.232500 0.898650 0.004150
1.237500 0.897695 0.005113
1.242500 0.894057 0.004060
1.247500 0.904275 0.026365
1.252500 0.908843 0.018392
1.257500 0.927119 0.014298
1.262500 0.936199 0.018193
1.267500 0.939746 0.017079
1.272500 0.931873 0.016569
1.277500 0.927539 0.014881
1.282500 0.931756 0.013569
1.287500 0.928497 0.017447
1.292500 0.934941 0.017893
1.297500 0.931008 0.014396
1.302500 0.926414 0.015977
1.307500 0.924355 0.016497
1.312500 0.928685 0.014019
1.317500 0.935334 0.015581
1.322500 0.944055 0.015397
1.327500 0.946856 0.011196
1.332500 0.952145 0.017423
1.337500 0.948976 0.018152
1.342500 0.945533 0.018473
1.347500 0.947273 0.020859
1.352500 0.938283 0.014565
1.357500 0.936330 0.010736
1.362500 0.939900 0.012518
1.367500 0.940511 0.011813
1.372500 0.953088 0.019021
1.377500 0.950878 0.018121
1.382500 0.955628 0.014048
1.387500 0.949829 0.019244
1.392500 0.956566 0.022777
1.397500 0.965486 0.019801
1.402500 0.961905 0.021112
1.407500 0.966667 0.020512
1.412500 0.963609 0.016866
1.417500 0.963097 0.018621
1.422500 0.962189 0.022238
1.427500 0.962469 0.020096
1.432500 0.961132 0.019016
1.437500 0.963476 0.020166
1.442500 0.964686 0.021008
1.447500 0.963595 0.019282
1.452500 0.956978 0.013157
1.457500 0.951068 0.018642
1.462500 0.943632 0.018294
1.467500 0.943593 0.020157
1.472500 0.946720 0.021842
1.477500 0.943439 0.023180
1.482500 0.934219 0.029371
1.487500 0.926025 0.019625
1.492500 0.910279 0.010079
1.497500 0.907921 0.015249
1.502500 0.922171 0.011973
1.507500 0.949345 0.014501
1.512500 0.956435 0.006562
1.517500 0.962663 0.006006
1.522500 0.961194 0.005360
1.527500 0.964282 0.004617
1.532500 0.966200 0.008127
1.537500 0.967399 0.008036
1.542500 0.966736 0.009168
1.547500 0.974639 0.005982
1.552500 0.976492 0.006744
1.557500 0.982233 0.005464
1.562500 0.949072 0.025118
1.567500 0.939579 0.020358
1.572500 0.934025 0.012703
1.577500 0.942188 0.018043
1.582500 0.945627 0.019903
1.587500 0.941055 0.014426
1.592500 0.943229 0.014994
1.597500 0.953852 0.019214
1.602500 0.959234 0.018262
1.607500 0.979976 0.021095
1.612500 0.982230 0.020010
1.617500 0.962316 0.017646
1.622500 0.974141 0.025485
1.627500 0.966016 0.023377
1.632500 0.959035 0.014676
1.637500 0.965549 0.011903
1.642500 0.970810 0.015823
1.647500 0.972173 0.014595
1.652500 0.971675 0.026014
1.657500 0.983179 0.019193
1.662500 0.987808 0.022295
1.667500 0.988473 0.012673
1.672500 0.996175 0.012278
1.677500 0.991003 0.011469
1.682500 0.998991 0.013516
1.687500 1.008657 0.016750
1.692500 1.016465 0.018233
1.697500 1.019092 0.015106
1.702500 1.030633 0.010799
1.707500 1.042174 0.009404
1.712500 1.037351 0.013198
1.717500 1.025375 0.026437
1.722500 1.025774 0.025626
1.727500 1.032379 0.027185
1.732500 1.032528 0.027052
1.737500 1.031890 0.028320
1.742500 1.031248 0.023859
1.747500 1.025284 0.017872
1.752500 1.029501 0.014465
1.757500 1.037013 0.011072
1.762500 1.039872 0.011731
1.767500 1.054210 0.014154
1.772500 1.058467 0.017162
1.777500 1.055259 0.019004
1.782500 1.047587 0.013999
1.787500 1.043341 0.010332
1.792500 1.029534 0.017829
1.797500 1.021757 0.026629
1.802500 1.023426 0.025099
1.807500 1.043622 0.018266
1.812500 1.043889 0.017230
1.817500 1.054714 0.011907
1.822500 1.047541 0.013969
1.827500 1.044159 0.015523
1.832500 1.046381 0.017016
1.837500 1.049071 0.018686
1.842500 1.054370 0.017717
1.847500 1.054377 0.019382
1.852500 1.063004 0.016864
1.857500 1.068265 0.019121
1.862500 1.072959 0.013944
1.867500 1.071763 0.006405
1.872500 1.064545 0.008616
1.877500 1.067888 0.007448
1.882500 1.068109 0.013101
1.887500 1.073603 0.014812
1.892500 1.087012 0.011234
1.897500 1.088252 0.008833
1.902500 1.086763 0.009579
1.907500 1.078687 0.021542
1.912500 1.065018 0.021928
1.917500 1.059283 0.022495
1.922500 1.045091 0.017461
1.927500 1.049856 0.025832
1.932500 1.048568 0.008104
1.937500 1.044345 0.013117
1.942500 1.021646 0.013471
1.947500 1.017197 0.022845
1.952500 1.028314 0.018896
1.957500 1.014232 0.014123
1.962500 0.992161 0.028057
1.967500 0.990634 0.026044
1.972500 0.978613 0.017439
1.977500 0.971177 0.013032
1.982500 0.958211 0.019527
1.987500 0.966627 0.018927
1.992500 0.964629 0.013491
1.997500 0.950374 0.019485
2.002500 0.948000 0.017194
2.007500 0.955126 0.022165
2.012500 0.953302 0.023904
2.017500 0.950022 0.031349
2.022500 0.948759 0.033891
2.027500 0.943925 0.028616
2.032500 0.952903 0.014557
2.037500 0.957684 0.015236
2.042500 0.961690 0.013704
2.047500 0.961500 0.018656
2.052500 0.961353 0.016966
2.057500 0.966077 0.018834
2.062500 0.967438 0.013805
2.067500 0.960227 0.005966
2.072500 0.949504 0.014114
2.077500 0.957807 0.015947
2.082500 0.974582 0.017461
2.087500 0.991149 0.015791
2.092500 0.995252 0.014157
2.097500 0.991085 0.018771
2.102500 1.006615 0.022133
2.107500 1.013029 0.017514
2.112500 1.013921 0.013951
2.117500 1.018223 0.016915
2.122500 1.023152 0.017536
2.127500 1.037489 0.017163
2.132500 1.045710 0.018537
2.137500 1.044065 0.016766
2.142500 1.038885 0.018514
2.147500 1.044725 0.011045
2.152500 1.054936 0.008856
2.157500 1.063105 0.005788
2.162500 1.079041 0.011379
2.167500 1.081207 0.008595
2.172500 1.084074 0.008201
2.177500 1.084339 0.006167
2.182500 1.076889 0.004936
2.187500 1.077389 0.004013
2.192500 1.058224 0.009061
2.197500 1.067495 0.013406
2.202500 1.058752 0.014013
2.207500 1.067931 0.011692
2.212500 1.079507 0.011553
2.217500 1.082997 0.013285
2.222500 1.096519 0.009042
2.227500 1.098317 0.005597
2.232500 1.095021 0.004070
2.237500 1.101777 0.003224
2.242500 1.089964 0.007381
2.247500 1.087273 0.007598
2.252500 1.095955 0.009714
2.257500 1.090198 0.012741
2.262500 1.087813 0.015304
2.267500 1.076688 0.016920
2.272500 1.070760 0.012422
2.277500 1.073824 0.012307
2.282500 1.067448 0.014931
2.287500 1.077413 0.014773
2.292500 1.085964 0.011606
2.297500 1.095012 0.008057
2.302500 1.090828 0.017062
2.307500 1.091359 0.013069
2.312500 1.085785 0.015257
2.317500 1.089954 0.024882
2.322500 1.111967 0.008815
2.327500 1.086537 0.024255
2.332500 1.099216 0.018928
2.337500 1.112181 0.016339
2.342500 1.101751 0.017384
2.347500 1.092064 0.018264
2.352500 1.085722 0.024418
2.357500 1.061331 0.016627
2.362500 1.063493 0.021841
2.367500 1.063437 0.018113
2.372500 1.089941 0.012026
2.377500 1.073567 0.011400
2.382500 1.073084 0.013435
2.387500 1.056122 0.029897
2.392500 1.035827 0.038815
2.397500 1.036178 0.047255
2.402500 1.048629 0.027770
2.407500 1.075572 0.005776
2.412500 1.053943 0.018655
2.417500 1.006792 0.022719
2.422500 1.035054 0.024342
2.427500 1.036906 0.026183
2.432500 1.031384 0.032762
2.437500 1.025720 0.012214
2.442500 1.013943 0.017607
2.447500 1.011267 0.011383
2.452500 1.023211 0.007409
2.457500 1.037620 0.007756
2.462500 1.058632 0.017538
2.467500 1.054745 0.026540
2.472500 1.047464 0.021725
2.477500 1.023055 0.018021
2.482500 1.021311 0.019330
2.487500 1.015196 0.020759
2.492500 0.988196 0.033259
2.497500 0.984461 0.002692
2.502500 0.991278 0.010361
2.507500 0.989250 0.028984
2.512500 1.014146 0.015667
2.517500 1.009855 0.007960
2.522500 1.000402 0.010040
2.527500 1.005356 0.013644
2.532500 1.018285 0.008164
2.537500 1.031266 0.002732
2.542500 1.042315 0.004157
2.547500 1.030515 0.026939
2.552500 1.013737 0.025901
2.557500 1.011716 0.028228
2.562500 1.021598 0.027217
2.567500 1.010799 0.037723
2.572500 0.999523 0.034959
2.577500 0.999291 0.024945
2.582500 1.022126 0.010067
2.587500 1.016765 0.009441
2.592500 1.003672 0.027407
2.597500 0.989535 0.013566
2.602500 0.991762 0.016355
2.607500 0.990784 0.027404
2.612500 0.998539 0.025984
2.617500 1.017165 0.012127
2.622500 1.000000 0.025746
2.627500 1.001300 0.019634
2.632500 0.997443 0.021452
2.637500 1.000927 0.016492
2.642500 1.007706 0.015089
2.647500 0.993743 0.007893
2.652500 0.989484 0.011563
2.657500 0.985241 0.007619
2.662500 0.979163 0.012901
2.667500 0.959576 0.023708
2.672500 0.952396 0.016918
2.677500 0.951273 0.009585
2.682500 0.959454 0.003593
2.687500 0.945819 0.006793
2.692500 0.949542 0.009833
2.697500 0.941384 0.006897
2.702500 0.906808 0.034493
2.707500 0.882684 0.013267
2.712500 0.884543 0.009216
2.717500 0.896779 0.010722
2.722500 0.885293 0.019756
2.727500 0.871745 0.010969
2.732500 0.848987 0.004626
2.737500 0.833920 0.028884
2.742500 0.796721 0.024614
2.747500 0.779583 0.014440
2.752500 0.771005 0.015362
2.757500 0.765023 0.012209
2.762500 0.736299 0.019751
2.767500 0.718961 0.021625
2.772500 0.690461 0.020868
2.777500 0.650581 0.006214
2.782500 0.635201 0.012598
2.787500 0.613494 0.019459
2.792500 0.614378 0.017890
2.797500 0.626484 0.008639
2.802500 0.597860 0.014307
2.807500 0.552273 0.002663
2.812500 0.522553 0.012407
2.817500 0.513767 0.003819
2.822500 0.499886 0.019532
2.827500 0.485959 0.007896
2.832500 0.456612 0.014041
2.837500 0.440341 0.006243
2.842500 0.409774 0.012760
2.847500 0.395855 0.005423
2.852500 0.387063 0.010294
2.857500 0.387788 0.017354
2.862500 0.373971 0.019908
2.867500 0.364254 0.008643
2.872500 0.348694 0.002634
2.877500 0.356130 0.001482
2.882500 0.356102 0.008569
2.887500 0.354489 0.007687
2.892500 0.350723 0.004073
2.897500 0.344682 0.010050
2.902500 0.311601 0.007285
