# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.816271 0.012934
0.707500 0.815668 0.008412
0.712500 0.828190 0.011324
0.717500 0.835884 0.017199
0.722500 0.832576 0.005739
0.727500 0.833241 0.008261
0.732500 0.851743 0.014775
0.737500 0.848720 0.010857
0.742500 0.854245 0.013528
0.747500 0.859351 0.005802
0.752500 0.859188 0.012573
0.757500 0.864364 0.009035
0.762500 0.873268 0.008214
0.767500 0.887977 0.009211
0.772500 0.882791 0.015366
0.777500 0.883252 0.007843
0.782500 0.889495 0.008840
0.787500 0.875528 0.016091
0.792500 0.879520 0.011720
0.797500 0.878865 0.008565
0.802500 0.900463 0.006445
0.807500 0.901005 0.012393
0.812500 0.898958 0.007040
0.817500 0.897920 0.007526
0.822500 0.909786 0.009702
0.827500 0.911207 0.009488
0.832500 0.921011 0.012919
0.837500 0.930368 0.010182
0.842500 0.922435 0.009132
0.847500 0.921996 0.013651
0.852500 0.928491 0.005840
0.857500 0.920911 0.010276
0.862500 0.925483 0.007816
0.867500 0.926984 0.008733
0.872500 0.945444 0.013088
0.877500 0.943774 0.014717
0.882500 0.945794 0.013314
0.887500 0.949608 0.010101
0.892500 0.952729 0.008358
0.897500 0.956487 0.008526
0.902500 0.961929 0.006262
0.907500 0.962064 0.009328
0.912500 0.961934 0.010997
0.917500 0.964063 0.016033
0.922500 0.974958 0.011963
0.927500 0.975380 0.011364
0.932500 0.979235 0.009211
0.937500 0.977565 0.009316
0.942500 0.984057 0.009092
0.947500 0.979406 0.011364
0.952500 0.974401 0.010887
0.957500 0.978792 0.008527
0.962500 0.981501 0.005201
0.967500 0.989419 0.013998
0.972500 0.992802 0.017357
0.977500 0.991888 0.015060
0.982500 0.997435 0.013442
0.987500 1.002649 0.009500
0.992500 1.001737 0.009318
0.997500 1.005310 0.010520
1.002500 1.003287 0.012804
1.007500 1.014394 0.009741
1.012500 1.007617 0.012781
1.017500 1.006628 0.014841
1.022500 1.013528 0.014264
1.027500 1.015447 0.013644
1.032500 1.021094 0.009768
1.037500 1.020028 0.012231
1.042500 1.013832 0.011203
1.047500 1.008862 0.011213
1.052500 1.010637 0.013491
1.057500 1.014658 0.015015
1.062500 1.016007 0.016607
1.067500 1.017697 0.021559
1.072500 1.019405 0.020308
1.077500 1.024400 0.016479
1.082500 1.031118 0.013618
1.087500 1.035954 0.012769
1.092500 1.037272 0.014894
1.097500 1.031859 0.016730
1.102500 1.033686 0.019184
1.107500 1.043031 0.013226
1.112500 1.039648 0.015076
1.117500 1.046822 0.014743
1.122500 1.049015 0.012042
1.127500 1.056661 0.010550
1.132500 1.059886 0.012609
1.137500 1.054800 0.014580
1.142500 1.057081 0.012885
1.147500 1.052793 0.010627
1.152500 1.046179 0.014208
1.157500 1.049903 0.012373
1.162500 1.051504 0.012852
1.167500 1.060674 0.011760
1.172500 1.062630 0.010394
1.177500 1.063728 0.010524
1.182500 1.072658 0.011911
1.187500 1.074693 0.012306
1.192500 1.078202 0.011961
1.197500 1.078186 0.011708
1.202500 1.073734 0.012674
1.207500 1.068705 0.012442
1.212500 1.071930 0.011282
1.217500 1.068862 0.010089
1.222500 1.060705 0.011326
1.227500 1.055952 0.011752
1.232500 1.062793 0.007400
1.237500 1.068661 0.011198
1.242500 1.072991 0.017491
1.247500 1.085063 0.009985
1.252500 1.061224 0.022789
1.257500 1.062821 0.016075
1.262500 1.051353 0.016525
1.267500 1.049319 0.017503
1.272500 1.046234 0.017491
1.277500 1.054587 0.007872
1.282500 1.045773 0.017455
1.287500 1.066220 0.010630
1.292500 1.076237 0.008241
1.297500 1.075494 0.005444
1.302500 1.075786 0.007873
1.307500 1.070089 0.014454
1.312500 1.054921 0.014040
1.317500 1.040036 0.014958
1.322500 1.045372 0.019766
1.327500 1.045695 0.018378
1.332500 1.055635 0.017910
1.337500 1.065099 0.019121
1.342500 1.055500 0.013798
1.347500 1.056513 0.014769
1.352500 1.073885 0.020038
1.357500 1.084712 0.019420
1.362500 1.093396 0.018864
1.367500 1.095367 0.019108
1.372500 1.084470 0.015400
1.377500 1.079002 0.014070
1.382500 1.085781 0.009292
1.387500 1.084610 0.009391
1.392500 1.081372 0.007381
1.397500 1.079546 0.010565
1.402500 1.071696 0.016101
1.407500 1.073506 0.015424
1.412500 1.076390 0.017935
1.417500 1.085027 0.013339
1.422500 1.088375 0.014104
1.427500 1.092739 0.013349
1.432500 1.090962 0.009713
1.437500 1.083119 0.013990
1.442500 1.081645 0.014663
1.447500 1.082323 0.013563
1.452500 1.086009 0.014888
1.457500 1.089799 0.012482
1.462500 1.086690 0.013852
1.467500 1.086120 0.013576
1.472500 1.087670 0.010172
1.477500 1.084298 0.014522
1.482500 1.086121 0.015241
1.487500 1.090245 0.015974
1.492500 1.081920 0.023141
1.497500 1.083000 0.021848
1.502500 1.079880 0.021996
1.507500 1.084458 0.024010
1.512500 1.083255 0.017498
1.517500 1.082151 0.024047
1.522500 1.080942 0.022946
1.527500 1.082570 0.021986
1.532500 1.085860 0.017951
1.537500 1.088015 0.012609
1.542500 1.083293 0.014330
1.547500 1.088189 0.014282
1.552500 1.087987 0.008898
1.557500 1.086489 0.011785
1.562500 1.084388 0.015811
1.567500 1.084674 0.013766
1.572500 1.070781 0.008777
1.577500 1.084674 0.012314
1.582500 1.069504 0.012015
1.587500 1.085275 0.009203
1.592500 1.090306 0.008630
1.597500 1.089056 0.011313
1.602500 1.085330 0.014266
1.607500 1.086520 0.014826
1.612500 1.081331 0.017619
1.617500 1.083375 0.019907
1.622500 1.077042 0.025006
1.627500 1.076984 0.021047
1.632500 1.083696 0.013379
1.637500 1.084248 0.014442
1.642500 1.081620 0.012169
1.647500 1.082396 0.014073
1.652500 1.078065 0.015749
1.657500 1.066991 0.019717
1.662500 1.082503 0.031375
1.667500 1.067919 0.033343
1.672500 1.077942 0.034696
1.677500 1.082503 0.032333
1.682500 1.085852 0.023956
1.687500 1.087981 0.020060
1.692500 1.086006 0.013732
1.697500 1.084366 0.016108
1.702500 1.086396 0.019026
1.707500 1.095855 0.020740
1.712500 1.095543 0.020180
1.717500 1.092996 0.026580
1.722500 1.095304 0.026912
1.727500 1.097218 0.020342
1.732500 1.085384 0.018435
1.737500 1.092481 0.016614
1.742500 1.091636 0.015730
1.747500 1.096140 0.010691
1.752500 1.096617 0.004697
1.757500 1.097723 0.007351
1.762500 1.098788 0.004611
1.767500 1.076856 0.021115
1.772500 1.095503 0.006729
1.777500 1.088142 0.009429
1.782500 1.084775 0.010598
1.787500 1.090206 0.010948
1.792500 1.084886 0.018157
1.797500 1.072625 0.033886
