# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.700106 0.012345
0.707500 0.695659 0.006828
0.712500 0.699067 0.008071
0.717500 0.730737 0.017792
0.722500 0.745677 0.005455
0.727500 0.745255 0.014626
0.732500 0.749133 0.012251
0.737500 0.761960 0.004526
0.742500 0.763616 0.009322
0.747500 0.745845 0.007987
0.752500 0.767797 0.011556
0.757500 0.794967 0.015352
0.762500 0.805267 0.009916
0.767500 0.814313 0.006410
0.772500 0.815388 0.008654
0.777500 0.821440 0.009104
0.782500 0.820519 0.019435
0.787500 0.840439 0.014309
0.792500 0.840577 0.012951
0.797500 0.827053 0.012932
0.802500 0.839738 0.005930
0.807500 0.836679 0.012732
0.812500 0.835119 0.022382
0.817500 0.851379 0.014278
0.822500 0.874766 0.017359
0.827500 0.866616 0.025444
0.832500 0.859071 0.017721
0.837500 0.878495 0.009132
0.842500 0.879227 0.012252
0.847500 0.875020 0.014815
0.852500 0.876327 0.010360
0.857500 0.877639 0.010804
0.862500 0.887895 0.014934
0.867500 0.879971 0.015963
0.872500 0.893102 0.010146
0.877500 0.892229 0.011250
0.882500 0.899488 0.012366
0.887500 0.905825 0.006902
0.892500 0.913215 0.007583
0.897500 0.915521 0.005617
0.902500 0.915463 0.005990
0.907500 0.924696 0.004056
0.912500 0.932855 0.008547
0.917500 0.939781 0.006145
0.922500 0.956140 0.008943
0.927500 0.955637 0.006869
0.932500 0.958118 0.009452
0.937500 0.958440 0.013283
0.942500 0.957314 0.013783
0.947500 0.965804 0.011219
0.952500 0.962100 0.006152
0.957500 0.957638 0.009097
0.962500 0.957881 0.007150
0.967500 0.973815 0.010271
0.972500 0.982768 0.012145
0.977500 0.986755 0.010388
0.982500 0.992850 0.010551
0.987500 0.990069 0.012855
0.992500 0.983076 0.007971
0.997500 0.990787 0.008817
1.002500 0.992138 0.017461
1.007500 0.993897 0.016692
1.012500 0.991608 0.013669
1.017500 0.995870 0.011105
1.022500 1.006875 0.012577
1.027500 1.007646 0.011647
1.032500 1.013196 0.015128
1.037500 1.018663 0.010225
1.042500 1.022904 0.005201
1.047500 1.023112 0.004804
1.052500 1.016741 0.005000
1.057500 1.021691 0.008422
