# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.529729 0.071985
0.707500 0.502404 0.054330
0.712500 0.489109 0.044237
0.717500 0.487456 0.041453
0.722500 0.475479 0.025767
0.727500 0.467657 0.029123
0.732500 0.468673 0.039203
0.737500 0.465363 0.024984
0.742500 0.444684 0.020152
0.747500 0.443526 0.020895
0.752500 0.441057 0.019230
0.757500 0.447552 0.021586
0.762500 0.458327 0.023224
0.767500 0.470070 0.022927
0.772500 0.466206 0.017026
0.777500 0.478853 0.015401
0.782500 0.487226 0.016961
0.787500 0.481479 0.022594
0.792500 0.466696 0.020098
0.797500 0.471049 0.016585
0.802500 0.494671 0.020505
0.807500 0.516468 0.025536
0.812500 0.517588 0.022921
0.817500 0.539716 0.028887
0.822500 0.553281 0.030736
0.827500 0.547150 0.031663
0.832500 0.549621 0.029513
0.837500 0.546394 0.029566
0.842500 0.551437 0.038295
0.847500 0.561832 0.042744
0.852500 0.569332 0.048924
0.857500 0.576315 0.049943
0.862500 0.588438 0.055079
0.867500 0.591124 0.047742
0.872500 0.602621 0.051655
0.877500 0.602637 0.048543
0.882500 0.614506 0.056466
0.887500 0.626018 0.051497
0.892500 0.638488 0.055488
0.897500 0.642276 0.047271
0.902500 0.639585 0.046193
0.907500 0.639148 0.048076
0.912500 0.639669 0.049113
0.917500 0.655732 0.057645
0.922500 0.658435 0.054460
0.927500 0.658277 0.052403
0.932500 0.662326 0.052413
0.937500 0.675100 0.056917
0.942500 0.694053 0.061966
0.947500 0.695648 0.059313
0.952500 0.707030 0.055339
0.957500 0.712852 0.054332
0.962500 0.725558 0.054573
0.967500 0.739139 0.059720
0.972500 0.742913 0.056980
0.977500 0.750517 0.049233
0.982500 0.767445 0.054901
0.987500 0.769048 0.055229
0.992500 0.767755 0.059213
0.997500 0.780808 0.066936
1.002500 0.786715 0.059068
1.007500 0.794757 0.056415
1.012500 0.791272 0.045893
1.017500 0.790807 0.045658
1.022500 0.791413 0.043897
1.027500 0.791344 0.047545
1.032500 0.790732 0.041753
1.037500 0.804278 0.052213
1.042500 0.796905 0.046201
1.047500 0.797307 0.038726
1.052500 0.791599 0.030435
1.057500 0.792837 0.030087
1.062500 0.804555 0.037128
1.067500 0.815092 0.040704
1.072500 0.822402 0.041776
1.077500 0.835560 0.047907
1.082500 0.845112 0.039939
1.087500 0.855313 0.042068
1.092500 0.856083 0.042955
1.097500 0.854796 0.040193
1.102500 0.871041 0.046586
1.107500 0.870552 0.044830
1.112500 0.879649 0.046842
1.117500 0.882945 0.050076
1.122500 0.884955 0.055744
1.127500 0.890900 0.062054
1.132500 0.895044 0.060892
1.137500 0.898165 0.068562
1.142500 0.904638 0.060477
1.147500 0.880327 0.048286
1.152500 0.862026 0.034095
1.157500 0.861616 0.028906
1.162500 0.869004 0.027211
1.167500 0.891076 0.039607
1.172500 0.894875 0.039534
1.177500 0.892203 0.041545
1.182500 0.909490 0.049794
1.187500 0.911742 0.053837
1.192500 0.906307 0.049807
1.197500 0.913196 0.045034
1.202500 0.913644 0.037146
1.207500 0.913945 0.033237
1.212500 0.921669 0.030866
1.217500 0.930141 0.034041
1.222500 0.936220 0.044745
1.227500 0.932644 0.041137
1.232500 0.925537 0.039271
1.237500 0.933171 0.042989
1.242500 0.927601 0.048249
1.247500 0.925481 0.046538
1.252500 0.925141 0.044430
1.257500 0.915307 0.038181
1.262500 0.925540 0.029076
1.267500 0.932765 0.037464
1.272500 0.949215 0.041283
1.277500 0.962152 0.049544
1.282500 0.957629 0.051948
1.287500 0.952901 0.044394
1.292500 0.927409 0.033135
1.297500 0.910132 0.020461
1.302500 0.915159 0.016483
1.307500 0.911128 0.010993
1.312500 0.909479 0.012384
1.317500 0.913513 0.016266
1.322500 0.912367 0.013681
1.327500 0.912025 0.017822
1.332500 0.908985 0.017017
1.337500 0.907086 0.017299
1.342500 0.901547 0.021572
1.347500 0.909978 0.028775
1.352500 0.922881 0.034551
1.357500 0.929367 0.026862
1.362500 0.940447 0.023553
1.367500 0.932332 0.020822
1.372500 0.925157 0.018379
1.377500 0.917758 0.019820
1.382500 0.909922 0.018816
1.387500 0.903732 0.021962
1.392500 0.905641 0.022964
1.397500 0.905346 0.020758
1.402500 0.904439 0.024159
1.407500 0.887724 0.013359
1.412500 0.885711 0.009872
1.417500 0.878179 0.011387
1.422500 0.878850 0.012062
1.427500 0.888514 0.016168
1.432500 0.889761 0.019126
1.437500 0.888096 0.019120
1.442500 0.883227 0.024014
1.447500 0.859770 0.011502
1.452500 0.850164 0.012485
1.457500 0.844215 0.011480
1.462500 0.841468 0.009928
1.467500 0.836590 0.005880
1.472500 0.834598 0.006759
1.477500 0.824070 0.005739
1.482500 0.821064 0.007099
1.487500 0.816442 0.008313
1.492500 0.811914 0.017820
1.497500 0.805818 0.019875
1.502500 0.798029 0.018987
1.507500 0.798259 0.019754
1.512500 0.784412 0.010375
1.517500 0.776249 0.005746
1.522500 0.772382 0.005068
1.527500 0.764032 0.009488
1.532500 0.762110 0.006762
1.537500 0.761989 0.005625
1.542500 0.759028 0.013192
1.547500 0.762367 0.016135
1.552500 0.765008 0.026403
1.557500 0.769144 0.026055
1.562500 0.759659 0.027839
1.567500 0.755330 0.030364
1.572500 0.759537 0.029993
1.577500 0.753905 0.023111
1.582500 0.750190 0.026876
1.587500 0.752582 0.024410
1.592500 0.747049 0.023251
1.597500 0.746372 0.023547
1.602500 0.752237 0.019326
1.607500 0.757696 0.022113
1.612500 0.761768 0.022455
1.617500 0.762034 0.019618
1.622500 0.767544 0.018707
1.627500 0.764467 0.015598
1.632500 0.761187 0.018530
1.637500 0.770274 0.029616
1.642500 0.775456 0.035138
1.647500 0.776040 0.033865
1.652500 0.781703 0.036865
1.657500 0.774691 0.036457
1.662500 0.775656 0.029668
1.667500 0.779035 0.036579
1.672500 0.778092 0.037970
1.677500 0.772606 0.039116
1.682500 0.771432 0.052771
1.687500 0.776480 0.053303
1.692500 0.776372 0.055664
1.697500 0.783369 0.062672
1.702500 0.786029 0.064316
1.707500 0.785925 0.058920
1.712500 0.773824 0.048689
1.717500 0.767799 0.046861
1.722500 0.764050 0.043060
1.727500 0.763706 0.040548
1.732500 0.755509 0.035311
1.737500 0.743083 0.023649
1.742500 0.738467 0.027137
1.747500 0.737092 0.039547
1.752500 0.729227 0.028006
1.757500 0.726817 0.026801
1.762500 0.707859 0.039457
1.767500 0.716315 0.037681
1.772500 0.720041 0.023006
1.777500 0.727260 0.018115
1.782500 0.724963 0.016700
1.787500 0.713237 0.021925
1.792500 0.711601 0.023030
1.797500 0.694697 0.024260
1.802500 0.698226 0.022872
1.807500 0.700446 0.015312
1.812500 0.691894 0.013182
1.817500 0.682139 0.017070
1.822500 0.686117 0.013714
1.827500 0.699845 0.013552
1.832500 0.703733 0.011749
1.837500 0.708924 0.005189
1.842500 0.708563 0.005676
1.847500 0.693803 0.003624
1.852500 0.676055 0.006402
1.857500 0.674547 0.013378
1.862500 0.687808 0.018011
1.867500 0.684085 0.017538
1.872500 0.684788 0.026765
1.877500 0.694178 0.028542
1.882500 0.707341 0.021941
1.887500 0.708170 0.020402
1.892500 0.705373 0.014696
1.897500 0.692392 0.019032
1.902500 0.682234 0.021100
1.907500 0.681541 0.038694
1.912500 0.683570 0.039363
1.917500 0.682656 0.034661
1.922500 0.678307 0.037800
1.927500 0.681298 0.025755
1.932500 0.661046 0.021611
1.937500 0.664948 0.012631
1.942500 0.661333 0.016257
1.947500 0.646422 0.016164
1.952500 0.632067 0.019428
1.957500 0.613738 0.039831
1.962500 0.592994 0.034694
1.967500 0.574897 0.018415
1.972500 0.564293 0.022263
1.977500 0.561037 0.013950
1.982500 0.550696 0.014822
1.987500 0.551586 0.017594
1.992500 0.555732 0.018484
1.997500 0.558888 0.026325
2.002500 0.560945 0.024116
2.007500 0.570983 0.030279
2.012500 0.571723 0.037533
2.017500 0.571508 0.038145
2.022500 0.566438 0.052581
2.027500 0.571162 0.054831
2.032500 0.565988 0.058494
2.037500 0.572830 0.053402
2.042500 0.560934 0.056092
2.047500 0.569562 0.044951
2.052500 0.567671 0.047242
2.057500 0.589589 0.026866
2.062500 0.613135 0.011526
2.067500 0.620279 0.016308
2.072500 0.617492 0.020915
2.077500 0.604221 0.027405
2.082500 0.625333 0.024584
2.087500 0.618313 0.034973
2.092500 0.617687 0.037101
2.097500 0.627664 0.042498
2.102500 0.646834 0.034924
2.107500 0.649590 0.021265
2.112500 0.644519 0.022397
2.117500 0.636181 0.022985
2.122500 0.610835 0.021057
2.127500 0.604712 0.040474
2.132500 0.600692 0.049295
2.137500 0.631012 0.065507
2.142500 0.629294 0.059586
2.147500 0.606397 0.040235
2.152500 0.616920 0.037691
2.157500 0.616039 0.039792
2.162500 0.610601 0.046130
2.167500 0.620095 0.046452
2.172500 0.632254 0.052358
2.177500 0.637888 0.078423
2.182500 0.647854 0.082489
2.187500 0.645190 0.085565
2.192500 0.646152 0.081181
2.197500 0.644903 0.071321
2.202500 0.638379 0.061131
2.207500 0.645059 0.060154
2.212500 0.656092 0.041206
2.217500 0.660616 0.056366
2.222500 0.651516 0.056962
2.227500 0.662185 0.051177
2.232500 0.659811 0.033378
2.237500 0.657086 0.037393
2.242500 0.654175 0.032484
