# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.592455 0.008844
0.707500 0.569687 0.010794
0.712500 0.582632 0.009642
0.717500 0.590149 0.018381
0.722500 0.607145 0.020554
0.727500 0.621857 0.009241
0.732500 0.642367 0.004366
0.737500 0.633406 0.009199
0.742500 0.630452 0.010987
0.747500 0.645846 0.015863
0.752500 0.661535 0.011157
0.757500 0.663916 0.011501
0.762500 0.673905 0.008055
0.767500 0.682346 0.004425
0.772500 0.662124 0.011578
0.777500 0.670867 0.004237
0.782500 0.696377 0.010001
0.787500 0.708944 0.007215
0.792500 0.700019 0.012142
0.797500 0.700813 0.013146
0.802500 0.711586 0.009143
0.807500 0.719028 0.005633
0.812500 0.722895 0.007182
0.817500 0.723207 0.011818
0.822500 0.733560 0.007138
0.827500 0.739850 0.009032
0.832500 0.756886 0.006099
0.837500 0.766259 0.004085
0.842500 0.753974 0.005415
0.847500 0.748343 0.005248
0.852500 0.751401 0.010226
0.857500 0.771110 0.010964
0.862500 0.774304 0.012880
0.867500 0.773508 0.010538
0.872500 0.787213 0.013900
0.877500 0.799278 0.005576
0.882500 0.796321 0.003849
0.887500 0.797926 0.010860
0.892500 0.812018 0.008797
0.897500 0.815129 0.007702
0.902500 0.808081 0.009424
0.907500 0.816811 0.009625
0.912500 0.829352 0.012396
0.917500 0.839108 0.007232
0.922500 0.837832 0.007753
0.927500 0.840933 0.007166
0.932500 0.843513 0.008293
0.937500 0.834100 0.011583
0.942500 0.831171 0.015916
0.947500 0.845586 0.015437
0.952500 0.855817 0.008366
0.957500 0.865839 0.004882
0.962500 0.854227 0.010271
0.967500 0.846651 0.020659
0.972500 0.849265 0.021630
0.977500 0.862042 0.010424
0.982500 0.876579 0.005529
0.987500 0.880100 0.006677
0.992500 0.883204 0.009560
0.997500 0.881285 0.014878
1.002500 0.883403 0.017314
1.007500 0.897557 0.012782
1.012500 0.902371 0.010109
1.017500 0.897302 0.016574
1.022500 0.915202 0.007060
1.027500 0.909436 0.007481
1.032500 0.901010 0.011511
1.037500 0.907791 0.010494
1.042500 0.906316 0.010723
1.047500 0.914794 0.009749
1.052500 0.912837 0.008327
1.057500 0.916573 0.009864
1.062500 0.911579 0.012113
1.067500 0.911264 0.014638
1.072500 0.912824 0.014961
1.077500 0.908844 0.015649
1.082500 0.915633 0.013712
1.087500 0.914526 0.012322
1.092500 0.929745 0.011196
1.097500 0.932691 0.006462
1.102500 0.935163 0.005780
1.107500 0.917184 0.018529
1.112500 0.919701 0.025242
1.117500 0.936406 0.022339
1.122500 0.950411 0.014567
1.127500 0.956400 0.008677
1.132500 0.959611 0.009575
1.137500 0.966831 0.005241
1.142500 0.969843 0.009626
1.147500 0.968234 0.017226
1.152500 0.956638 0.020942
1.157500 0.954353 0.019494
1.162500 0.960331 0.014302
1.167500 0.964505 0.013733
1.172500 0.967227 0.013844
1.177500 0.972760 0.012752
1.182500 0.984554 0.015621
1.187500 0.981802 0.023658
1.192500 0.979418 0.025139
1.197500 0.979769 0.011910
1.202500 0.972634 0.014538
1.207500 0.977129 0.013571
1.212500 0.987182 0.009394
1.217500 0.986168 0.011500
1.222500 0.982115 0.007402
1.227500 0.997959 0.004672
1.232500 1.001297 0.012773
1.237500 0.996519 0.023006
1.242500 0.999667 0.024442
1.247500 0.993494 0.016074
1.252500 1.002931 0.016551
1.257500 1.000105 0.007282
1.262500 0.983475 0.015315
1.267500 0.973326 0.016205
1.272500 0.968620 0.017999
1.277500 0.975636 0.017675
1.282500 0.988732 0.016027
1.287500 0.993420 0.013002
1.292500 0.998314 0.012158
1.297500 1.001530 0.010049
1.302500 1.006077 0.012005
1.307500 1.008464 0.014458
1.312500 1.007471 0.015702
1.317500 1.002714 0.021286
1.322500 1.000436 0.022696
1.327500 0.989431 0.022159
1.332500 0.991760 0.020206
1.337500 0.992894 0.021149
1.342500 0.994306 0.016488
1.347500 1.002162 0.015473
1.352500 1.003441 0.017396
1.357500 1.012522 0.014056
1.362500 1.007881 0.015681
1.367500 1.004697 0.021196
1.372500 1.008785 0.019515
1.377500 1.004155 0.019821
1.382500 1.007430 0.014435
1.387500 1.011730 0.010780
1.392500 1.026310 0.022224
1.397500 1.027698 0.023541
1.402500 1.029091 0.021998
1.407500 1.027411 0.021424
1.412500 1.031525 0.025287
1.417500 1.035953 0.022612
1.422500 1.026625 0.028093
1.427500 1.025987 0.031254
1.432500 1.023973 0.032739
1.437500 1.020775 0.026425
1.442500 1.028211 0.021117
1.447500 1.033522 0.020507
1.452500 1.013528 0.019303
1.457500 1.013610 0.030269
1.462500 1.009552 0.024740
1.467500 1.010396 0.027835
1.472500 1.013460 0.027522
1.477500 1.012922 0.025448
1.482500 1.008497 0.021651
1.487500 1.016509 0.018670
1.492500 1.008921 0.023303
1.497500 1.014198 0.022947
1.502500 1.012347 0.017642
1.507500 1.011703 0.005189
1.512500 1.010717 0.006341
1.517500 1.009084 0.007865
1.522500 0.994779 0.021470
1.527500 0.990644 0.023800
1.532500 0.988517 0.024305
1.537500 0.990011 0.021852
1.542500 0.997075 0.018802
1.547500 1.005299 0.018908
1.552500 1.012174 0.018849
1.557500 1.010413 0.018335
1.562500 1.005679 0.007942
1.567500 1.009010 0.005713
1.572500 1.006020 0.009847
1.577500 1.009401 0.008922
1.582500 1.007044 0.010411
1.587500 1.005643 0.008081
1.592500 1.006475 0.008830
1.597500 1.013939 0.011407
1.602500 1.016955 0.017934
1.607500 1.023020 0.021896
1.612500 1.033241 0.022108
1.617500 1.035265 0.012738
1.622500 1.033684 0.004696
1.627500 1.030411 0.004756
1.632500 1.020149 0.008134
1.637500 1.006937 0.011970
1.642500 0.992246 0.017929
1.647500 0.998090 0.018527
1.652500 1.000232 0.014871
1.657500 1.009021 0.010477
1.662500 1.018833 0.015569
1.667500 1.027958 0.014506
1.672500 1.028570 0.018108
1.677500 1.027948 0.013095
1.682500 1.016665 0.015401
1.687500 1.029749 0.007062
1.692500 1.028640 0.016291
1.697500 1.027839 0.016518
1.702500 1.019438 0.012950
1.707500 1.027393 0.013489
1.712500 1.022510 0.020014
1.717500 1.013651 0.020262
1.722500 1.015186 0.017221
1.727500 1.022707 0.020050
1.732500 1.017996 0.028193
1.737500 1.015625 0.022918
1.742500 1.019619 0.015094
1.747500 1.016596 0.019861
1.752500 1.021451 0.012151
1.757500 1.016491 0.010594
1.762500 1.016831 0.004808
1.767500 1.013468 0.010546
1.772500 1.002515 0.019004
1.777500 1.002058 0.020972
1.782500 0.994703 0.026129
1.787500 1.012524 0.023889
1.792500 1.010191 0.025841
1.797500 1.008228 0.012772
1.802500 1.014810 0.006925
1.807500 1.020342 0.010042
1.812500 1.012472 0.016611
1.817500 1.003807 0.022384
1.822500 1.008688 0.023996
1.827500 0.998083 0.025809
1.832500 0.996528 0.014674
1.837500 1.007510 0.010864
1.842500 1.000829 0.015898
1.847500 1.016037 0.013885
1.852500 1.012002 0.021884
1.857500 0.985248 0.020937
1.862500 1.011612 0.009984
1.867500 1.023520 0.004637
1.872500 1.020031 0.008467
1.877500 1.028345 0.009474
1.882500 1.032750 0.009838
1.887500 1.035912 0.011833
1.892500 1.046231 0.009023
1.897500 1.046066 0.017307
1.902500 1.037103 0.020132
1.907500 1.036456 0.018448
1.912500 1.025398 0.022221
1.917500 1.036602 0.015435
1.922500 1.032483 0.022523
1.927500 1.022557 0.027641
1.932500 1.023760 0.012764
1.937500 1.019737 0.025853
1.942500 1.009965 0.030839
1.947500 1.005298 0.023889
1.952500 1.010517 0.021395
1.957500 1.010617 0.030921
1.962500 1.008233 0.037012
1.967500 0.998785 0.028614
1.972500 1.005036 0.025679
1.977500 1.019086 0.017106
1.982500 1.014703 0.018654
1.987500 1.022222 0.018134
1.992500 1.018117 0.021143
1.997500 1.019453 0.020052
2.002500 1.030012 0.023005
2.007500 1.028800 0.021764
2.012500 1.042284 0.018132
2.017500 1.033098 0.017536
2.022500 1.028256 0.010387
2.027500 1.022400 0.010952
2.032500 1.020358 0.011225
2.037500 1.019837 0.011231
2.042500 1.018351 0.020278
2.047500 1.040056 0.019115
2.052500 1.037285 0.017446
2.057500 1.037297 0.018642
2.062500 1.033278 0.018114
2.067500 1.030979 0.018315
2.072500 1.027739 0.010307
2.077500 1.012959 0.010429
2.082500 0.995420 0.024425
2.087500 0.983737 0.019317
2.092500 0.985492 0.022469
2.097500 0.991296 0.020686
2.102500 1.006380 0.010973
2.107500 1.011270 0.003970
2.112500 1.013858 0.003054
2.117500 1.008668 0.008130
2.122500 1.007251 0.007344
2.127500 0.998623 0.015531
2.132500 1.005132 0.005656
2.137500 1.009792 0.010881
2.142500 1.016629 0.006183
2.147500 1.024079 0.005806
2.152500 1.036092 0.006866
2.157500 1.041110 0.008189
2.162500 1.027816 0.007610
2.167500 1.022000 0.009339
2.172500 1.014598 0.014041
2.177500 1.005757 0.018568
2.182500 1.004496 0.020242
2.187500 1.013227 0.022690
2.192500 0.997642 0.025011
2.197500 1.007872 0.020601
2.202500 1.006118 0.015473
2.207500 1.020215 0.005860
2.212500 1.024155 0.006595
2.217500 1.021925 0.010118
2.222500 1.019524 0.012028
2.227500 1.000979 0.018014
2.232500 0.996771 0.023976
2.237500 0.997047 0.023755
2.242500 1.004368 0.011255
2.247500 1.006064 0.008102
2.252500 0.991778 0.011447
2.257500 0.995223 0.012218
2.262500 0.986500 0.004159
2.267500 0.973791 0.014269
2.272500 0.977266 0.013231
2.277500 0.983847 0.002996
2.282500 0.970841 0.012444
2.287500 0.963089 0.025162
2.292500 0.972355 0.012849
2.297500 0.963621 0.016199
2.302500 0.975803 0.019702
2.307500 0.996058 0.008655
2.312500 0.977524 0.019776
2.317500 0.995826 0.004557
2.322500 0.999301 0.008835
2.327500 0.995615 0.009918
2.332500 1.001984 0.012343
2.337500 1.005837 0.017892
2.342500 1.013914 0.017995
2.347500 1.013415 0.023662
2.352500 1.016702 0.034375
2.357500 0.993701 0.029103
2.362500 1.000639 0.013095
2.367500 1.013041 0.012834
2.372500 1.035769 0.007339
2.377500 1.023632 0.014188
2.382500 1.020533 0.018664
2.387500 1.029408 0.013089
2.392500 1.024050 0.018206
2.397500 1.021756 0.015466
2.402500 1.008229 0.013532
2.407500 1.009166 0.013431
2.412500 1.019695 0.011620
2.417500 0.997432 0.003349
2.422500 0.993656 0.005375
2.427500 0.975645 0.013259
2.432500 0.988854 0.018078
2.437500 0.984679 0.016029
2.442500 0.970124 0.028326
2.447500 0.972397 0.019589
2.452500 0.980569 0.013017
2.457500 0.981445 0.011495
2.462500 0.997047 0.004760
2.467500 0.994939 0.007818
2.472500 0.968750 0.029590
2.477500 0.955550 0.017083
2.482500 0.938305 0.011910
2.487500 0.938042 0.008776
2.492500 0.943775 0.011481
2.497500 0.958996 0.015686
2.502500 0.967492 0.019901
2.507500 0.978033 0.016292
2.512500 0.984698 0.013454
2.517500 0.964074 0.018578
2.522500 0.965656 0.012786
2.527500 0.953728 0.014823
2.532500 0.956197 0.027596
2.537500 0.945047 0.028020
2.542500 0.932779 0.014524
2.547500 0.953609 0.011132
2.552500 0.965132 0.010431
2.557500 0.974008 0.015926
2.562500 0.981053 0.011708
2.567500 0.983611 0.014301
2.572500 0.979725 0.010528
2.577500 1.005452 0.010084
2.582500 1.018897 0.011527
2.587500 1.012946 0.010950
2.592500 0.955363 0.015436
2.597500 0.931224 0.012269
2.602500 0.976332 0.031455
2.607500 1.014067 0.014655
2.612500 1.021173 0.009315
2.617500 1.000000 0.013103
2.622500 0.981647 0.014373
2.627500 0.959261 0.017934
2.632500 0.960625 0.027187
2.637500 0.998838 0.004440
2.642500 0.985377 0.030681
2.647500 0.990784 0.023087
2.652500 0.977411 0.029475
2.657500 0.990525 0.017095
2.662500 0.963121 0.019531
2.667500 0.967218 0.033727
2.672500 0.978427 0.029250
2.677500 1.004650 0.002842
2.682500 1.006675 0.025069
2.687500 0.987223 0.015679
2.692500 0.976759 0.013539
2.697500 0.968176 0.017315
2.702500 0.977723 0.007087
2.707500 0.961817 0.004775
2.712500 0.943034 0.013163
2.717500 0.958253 0.005431
2.722500 0.989803 0.013599
2.727500 0.979272 0.009613
2.732500 0.964659 0.032468
2.737500 0.911502 0.026730
2.742500 0.875709 0.048485
2.747500 0.869272 0.031164
2.752500 0.892727 0.009751
2.757500 0.891343 0.004743
2.762500 0.873013 0.014684
2.767500 0.861103 0.010370
2.772500 0.833866 0.020454
2.777500 0.805010 0.020441
2.782500 0.788071 0.009935
2.787500 0.782089 0.008065
2.792500 0.749528 0.002882
2.797500 0.713405 0.021406
2.802500 0.685037 0.013883
2.807500 0.668385 0.009245
2.812500 0.667407 0.021165
2.817500 0.646294 0.011209
2.822500 0.613082 0.015369
2.827500 0.592193 0.013745
2.832500 0.571022 0.006908
2.837500 0.547384 0.007610
2.842500 0.534384 0.011335
2.847500 0.489543 0.013647
2.852500 0.495318 0.008049
2.857500 0.475444 0.014623
2.862500 0.448045 0.020366
2.867500 0.441895 0.007804
2.872500 0.416040 0.024885
2.877500 0.406854 0.019978
2.882500 0.379454 0.019159
2.887500 0.386212 0.010662
2.892500 0.387513 0.011858
2.897500 0.377200 0.001029
2.902500 0.359390 0.004114
2.907500 0.344600 0.002917
2.912500 0.348398 0.004667
2.917500 0.338087 0.003549
2.922500 0.330605 0.010722
2.927500 0.329997 0.008257
2.932500 0.341359 0.005908
2.937500 0.325235 0.011083
2.942500 0.314035 0.002248
2.947500 0.294287 0.005620
2.952500 0.292241 0.005090
2.957500 0.287489 0.004540
2.962500 0.296428 0.008087
2.967500 0.289568 0.011963
2.972500 0.281183 0.012019
2.977500 0.269349 0.009089
2.982500 0.266475 0.001250
2.987500 0.265088 0.007082
2.992500 0.262564 0.011392
2.997500 0.272267 0.007986
3.002500 0.266199 0.005547
3.007500 0.268538 0.009191
3.012500 0.256267 0.009325
3.017500 0.270404 0.020815
3.022500 0.258963 0.009944
3.027500 0.253810 0.004467
3.032500 0.252654 0.008304
3.037500 0.250894 0.004151
3.042500 0.262381 0.003810
3.047500 0.267257 0.006483
3.052500 0.271731 0.008553
3.057500 0.259440 0.009907
3.062500 0.264891 0.011681
3.067500 0.250915 0.018283
3.072500 0.243095 0.020476
3.077500 0.238347 0.008495
3.082500 0.265155 0.006144
3.087500 0.278396 0.005326
3.092500 0.262930 0.010355
3.097500 0.257757 0.008116
3.102500 0.260244 0.009614
3.107500 0.266161 0.015480
3.112500 0.259884 0.017656
3.117500 0.266486 0.008715
3.122500 0.278996 0.002916
3.127500 0.274807 0.003624
3.132500 0.257512 0.018945
3.137500 0.251321 0.019702
3.142500 0.264472 0.011960
3.147500 0.277237 0.015075
3.152500 0.269890 0.012511
3.157500 0.272009 0.004330
3.162500 0.265478 0.002392
3.167500 0.257637 0.011066
3.172500 0.264785 0.017080
3.177500 0.267942 0.015498
3.182500 0.276587 0.010394
3.187500 0.283639 0.010489
3.192500 0.279565 0.011643
3.197500 0.292252 0.012051
3.202500 0.284818 0.010453
3.207500 0.306070 0.010289
3.212500 0.313536 0.018542
3.217500 0.296714 0.002031
3.222500 0.285966 0.004684
3.227500 0.302585 0.002152
3.232500 0.322206 0.020711
3.237500 0.328467 0.016582
3.242500 0.309694 0.023145
3.247500 0.294197 0.019874
3.252500 0.289193 0.016683
3.257500 0.293304 0.005933
3.262500 0.298734 0.007686
3.267500 0.317068 0.007160
3.272500 0.341915 0.011117
3.277500 0.339432 0.014689
3.282500 0.371991 0.006328
3.287500 0.355155 0.009965
3.292500 0.345453 0.009566
3.297500 0.329364 0.004248
3.302500 0.336767 0.002308
3.307500 0.325445 0.005478
3.312500 0.316021 0.001916
3.317500 0.339006 0.015424
3.322500 0.362515 0.026355
3.327500 0.355814 0.020780
3.332500 0.309581 0.006895
3.337500 0.306375 0.003024
3.342500 0.313417 0.007762
3.347500 0.312990 0.003173
3.352500 0.331807 0.033110
3.357500 0.324375 0.039087
3.362500 0.325145 0.021003
3.367500 0.304694 0.003444
3.372500 0.294682 0.002008
3.377500 0.304713 0.008663
3.382500 0.298195 0.006711
3.387500 0.302606 0.022056
