# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.588813 0.013862
0.707500 0.597313 0.019936
0.712500 0.614222 0.013784
0.717500 0.603548 0.011397
0.722500 0.612938 0.014342
0.727500 0.626677 0.019021
0.732500 0.645896 0.005939
0.737500 0.652779 0.009387
0.742500 0.637200 0.014087
0.747500 0.644818 0.008331
0.752500 0.662159 0.011345
0.757500 0.666147 0.014150
0.762500 0.668799 0.006850
0.767500 0.677960 0.005707
0.772500 0.670917 0.007868
0.777500 0.680711 0.014750
0.782500 0.701033 0.007016
0.787500 0.684636 0.004933
0.792500 0.672845 0.006331
0.797500 0.673431 0.007089
0.802500 0.698930 0.004266
0.807500 0.717363 0.004865
0.812500 0.745713 0.009291
0.817500 0.751301 0.016253
0.822500 0.744643 0.015085
0.827500 0.740940 0.010018
0.832500 0.747466 0.008883
0.837500 0.743103 0.011489
0.842500 0.748369 0.011131
0.847500 0.752482 0.011285
0.852500 0.757768 0.012984
0.857500 0.754733 0.016711
0.862500 0.768877 0.018043
0.867500 0.776903 0.009471
0.872500 0.784579 0.008710
0.877500 0.788736 0.009703
0.882500 0.792675 0.007259
0.887500 0.793762 0.009907
0.892500 0.803558 0.005855
0.897500 0.805320 0.010593
0.902500 0.803864 0.008875
0.907500 0.809550 0.013730
0.912500 0.812240 0.013575
0.917500 0.818704 0.009548
0.922500 0.822626 0.009155
0.927500 0.823429 0.007880
0.932500 0.837240 0.013687
0.937500 0.836726 0.014459
0.942500 0.845448 0.013832
0.947500 0.848855 0.012622
0.952500 0.851108 0.010825
0.957500 0.857305 0.016228
0.962500 0.856863 0.016992
0.967500 0.861965 0.015577
0.972500 0.862677 0.015540
0.977500 0.867489 0.011236
0.982500 0.883069 0.011159
0.987500 0.890748 0.012858
0.992500 0.889078 0.013077
0.997500 0.886265 0.020205
1.002500 0.889526 0.020145
1.007500 0.895069 0.017440
1.012500 0.895016 0.014993
1.017500 0.896095 0.015446
1.022500 0.904708 0.013882
1.027500 0.906236 0.016920
1.032500 0.908890 0.016235
1.037500 0.914272 0.018028
1.042500 0.907837 0.020144
1.047500 0.910047 0.018212
1.052500 0.912006 0.016552
1.057500 0.918420 0.016017
1.062500 0.923974 0.016839
1.067500 0.922986 0.020954
1.072500 0.924457 0.018509
1.077500 0.921459 0.019119
1.082500 0.934059 0.015762
1.087500 0.937296 0.016338
1.092500 0.940891 0.018836
1.097500 0.946405 0.015834
1.102500 0.946421 0.017412
1.107500 0.950932 0.015192
1.112500 0.957283 0.012361
1.117500 0.965294 0.010271
1.122500 0.965028 0.014258
1.127500 0.969617 0.015233
1.132500 0.970462 0.014488
1.137500 0.972850 0.014563
1.142500 0.977029 0.014401
1.147500 0.975267 0.014136
1.152500 0.979754 0.020690
1.157500 0.979044 0.021006
1.162500 0.982138 0.020420
1.167500 0.984864 0.017735
1.172500 0.984095 0.019692
1.177500 0.984977 0.020838
1.182500 0.995546 0.019989
1.187500 1.003210 0.019831
1.192500 1.003310 0.020303
1.197500 1.004603 0.017859
1.202500 1.006822 0.019181
1.207500 1.007117 0.019963
1.212500 1.012506 0.018896
1.217500 1.010044 0.018187
1.222500 1.009745 0.016909
1.227500 1.006013 0.019990
1.232500 1.003514 0.019738
1.237500 1.007375 0.018342
1.242500 1.005051 0.023412
1.247500 1.003378 0.029035
1.252500 1.001988 0.023434
1.257500 1.006589 0.022867
1.262500 1.006438 0.025748
1.267500 1.002880 0.025477
1.272500 1.005624 0.024898
1.277500 1.006295 0.032430
1.282500 1.017119 0.028199
1.287500 1.018468 0.032576
1.292500 1.013833 0.043211
1.297500 1.026972 0.033879
1.302500 1.023534 0.029700
1.307500 1.026311 0.023344
1.312500 1.033437 0.023977
1.317500 1.026063 0.020050
1.322500 1.042740 0.025333
1.327500 1.037885 0.026611
1.332500 1.028864 0.026906
1.337500 1.040270 0.027431
1.342500 1.041249 0.028630
1.347500 1.043831 0.025275
1.352500 1.047001 0.026311
1.357500 1.051887 0.028044
1.362500 1.054076 0.027751
1.367500 1.052489 0.031507
1.372500 1.052687 0.029579
1.377500 1.043173 0.027232
1.382500 1.047929 0.022526
1.387500 1.053307 0.020019
1.392500 1.055683 0.018259
1.397500 1.059320 0.017511
1.402500 1.051774 0.022815
1.407500 1.054246 0.023666
1.412500 1.060483 0.022234
1.417500 1.061833 0.023676
1.422500 1.058578 0.025848
1.427500 1.058366 0.024869
1.432500 1.057426 0.027012
1.437500 1.052119 0.027370
1.442500 1.050437 0.030665
1.447500 1.050085 0.031800
1.452500 1.048797 0.028278
1.457500 1.052140 0.029697
1.462500 1.055243 0.030874
1.467500 1.059192 0.026727
1.472500 1.063855 0.020541
1.477500 1.060140 0.016501
