# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.764028 0.020783
0.707500 0.778891 0.019001
0.712500 0.768113 0.006590
0.717500 0.780983 0.015525
0.722500 0.786499 0.012070
0.727500 0.771655 0.008551
0.732500 0.771758 0.007039
0.737500 0.790409 0.012451
0.742500 0.799653 0.006803
0.747500 0.815754 0.009942
0.752500 0.805425 0.004669
0.757500 0.809815 0.004350
0.762500 0.819683 0.004803
0.767500 0.821700 0.005208
0.772500 0.829333 0.008497
0.777500 0.835867 0.005333
0.782500 0.831853 0.005220
0.787500 0.821318 0.008052
0.792500 0.803596 0.006444
0.797500 0.812448 0.006238
0.802500 0.824772 0.004685
0.807500 0.838096 0.005418
0.812500 0.857995 0.008326
0.817500 0.875986 0.010511
0.822500 0.879601 0.006772
0.827500 0.870150 0.006338
0.832500 0.865662 0.007053
0.837500 0.874423 0.011826
0.842500 0.878639 0.008774
0.847500 0.878710 0.006104
0.852500 0.885102 0.008013
0.857500 0.889805 0.006695
0.862500 0.893535 0.007785
0.867500 0.883957 0.005395
0.872500 0.893812 0.009403
0.877500 0.899829 0.005757
0.882500 0.903724 0.009368
0.887500 0.909993 0.011138
0.892500 0.912780 0.010502
0.897500 0.917135 0.008538
0.902500 0.911654 0.006584
0.907500 0.914839 0.007362
0.912500 0.919134 0.013128
0.917500 0.923547 0.009211
0.922500 0.931023 0.008753
0.927500 0.933313 0.008730
0.932500 0.937439 0.009670
0.937500 0.944929 0.009835
0.942500 0.940790 0.007129
0.947500 0.943341 0.007265
0.952500 0.948028 0.008468
0.957500 0.951898 0.008630
0.962500 0.953977 0.010452
0.967500 0.955250 0.009823
0.972500 0.956915 0.010496
0.977500 0.954206 0.009249
0.982500 0.970924 0.008102
0.987500 0.973894 0.003847
0.992500 0.970409 0.004540
0.997500 0.964549 0.007112
1.002500 0.968628 0.011464
1.007500 0.987581 0.018947
1.012500 0.987949 0.016375
1.017500 0.986353 0.015120
1.022500 0.981666 0.010225
1.027500 0.978217 0.010550
1.032500 0.984225 0.011094
1.037500 0.987602 0.013569
1.042500 0.989989 0.011400
1.047500 0.991658 0.008558
1.052500 0.984789 0.005448
1.057500 0.983120 0.007605
1.062500 0.989398 0.012134
1.067500 0.988102 0.006629
1.072500 0.991038 0.007789
1.077500 0.990928 0.005879
1.082500 0.999208 0.006758
1.087500 0.999027 0.009196
1.092500 1.007248 0.008423
1.097500 1.009835 0.008322
1.102500 1.013505 0.008293
1.107500 1.013096 0.010179
1.112500 1.012748 0.011375
1.117500 1.018826 0.008996
1.122500 1.021011 0.007403
