# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.918999 0.013704
0.707500 0.892760 0.014493
0.712500 0.900878 0.005196
0.717500 0.911353 0.007709
0.722500 0.898213 0.005590
0.727500 0.903059 0.012214
0.732500 0.903901 0.025952
0.737500 0.910097 0.021266
0.742500 0.909098 0.014931
0.747500 0.917233 0.016406
0.752500 0.926596 0.008031
0.757500 0.902418 0.021152
0.762500 0.940200 0.015272
0.767500 0.937176 0.010347
0.772500 0.942124 0.006445
0.777500 0.956497 0.009414
0.782500 0.939243 0.020585
0.787500 0.917244 0.027006
0.792500 0.911622 0.017008
0.797500 0.897353 0.018485
0.802500 0.884410 0.025288
0.807500 0.905164 0.023609
0.812500 0.941490 0.016920
0.817500 0.959818 0.016757
0.822500 0.966762 0.015827
0.827500 0.964839 0.012688
0.832500 0.970341 0.005003
0.837500 0.947536 0.012240
0.842500 0.940722 0.018979
0.847500 0.929864 0.021280
0.852500 0.929109 0.021972
0.857500 0.932721 0.020783
0.862500 0.932185 0.013863
0.867500 0.939402 0.022526
0.872500 0.957292 0.014075
0.877500 0.947903 0.011489
0.882500 0.951753 0.007044
0.887500 0.950998 0.016583
0.892500 0.974266 0.010416
0.897500 0.969035 0.016279
0.902500 0.963801 0.014873
0.907500 0.956950 0.012339
0.912500 0.953330 0.010608
0.917500 0.950030 0.009347
0.922500 0.966674 0.005722
0.927500 0.955086 0.011381
0.932500 0.971337 0.006076
0.937500 0.967816 0.010793
0.942500 0.970819 0.012551
0.947500 0.973322 0.008757
0.952500 0.974361 0.007129
0.957500 0.986569 0.012371
0.962500 0.981441 0.013321
0.967500 0.987235 0.010591
0.972500 0.987331 0.010033
0.977500 0.989864 0.009881
0.982500 0.994847 0.009525
0.987500 0.996275 0.013274
0.992500 1.005859 0.009106
0.997500 1.005721 0.012950
1.002500 1.007690 0.015277
1.007500 1.017475 0.014903
1.012500 1.012514 0.012429
1.017500 1.005371 0.010008
1.022500 1.002808 0.009074
1.027500 1.000361 0.012626
1.032500 1.005200 0.011615
1.037500 1.007750 0.006644
1.042500 0.998822 0.009079
1.047500 1.006272 0.009372
1.052500 1.010998 0.011557
1.057500 1.005582 0.007094
1.062500 1.004777 0.007404
1.067500 0.998419 0.007757
1.072500 0.999267 0.006399
1.077500 1.004448 0.007461
1.082500 1.002485 0.008813
1.087500 1.006088 0.009200
1.092500 1.014820 0.009725
1.097500 1.016360 0.010069
1.102500 1.019193 0.012473
1.107500 1.028563 0.009692
1.112500 1.023538 0.011052
1.117500 1.015781 0.007654
1.122500 1.024764 0.007116
1.127500 1.033968 0.008888
1.132500 1.031927 0.014460
1.137500 1.029433 0.011357
1.142500 1.029861 0.008736
1.147500 1.028779 0.006040
1.152500 1.028887 0.006881
1.157500 1.026240 0.011377
1.162500 1.028574 0.014722
1.167500 1.031234 0.019658
1.172500 1.033970 0.017184
1.177500 1.036550 0.013552
1.182500 1.049081 0.012365
1.187500 1.041810 0.009022
1.192500 1.041110 0.007684
1.197500 1.043744 0.008962
1.202500 1.044669 0.010495
1.207500 1.054603 0.006832
1.212500 1.058648 0.008914
1.217500 1.061668 0.011340
1.222500 1.047846 0.010861
1.227500 1.037812 0.008982
1.232500 1.041871 0.010182
1.237500 1.033614 0.008939
1.242500 1.036374 0.009502
1.247500 1.044047 0.009835
1.252500 1.039799 0.011510
1.257500 1.039570 0.014611
1.262500 1.038706 0.016014
1.267500 1.031802 0.019859
1.272500 1.020045 0.011325
1.277500 1.032804 0.016530
1.282500 1.043380 0.013489
1.287500 1.048408 0.010095
1.292500 1.059500 0.009369
1.297500 1.061211 0.008479
1.302500 1.054902 0.014945
1.307500 1.053538 0.016562
1.312500 1.045851 0.014593
1.317500 1.030189 0.004472
1.322500 1.010740 0.013853
1.327500 1.047950 0.019926
1.332500 1.046545 0.021625
1.337500 1.050260 0.025911
1.342500 1.044329 0.014276
1.347500 1.048483 0.008309
1.352500 1.054598 0.010995
1.357500 1.056045 0.009065
1.362500 1.059341 0.009090
1.367500 1.063490 0.008142
1.372500 1.059856 0.007785
1.377500 1.068966 0.004586
1.382500 1.060776 0.008480
1.387500 1.059583 0.012117
1.392500 1.058111 0.011339
1.397500 1.055358 0.012394
1.402500 1.053440 0.016233
1.407500 1.058676 0.013656
1.412500 1.059404 0.016787
1.417500 1.061856 0.014490
1.422500 1.050980 0.008836
1.427500 1.053545 0.008586
1.432500 1.052446 0.008926
1.437500 1.044596 0.006584
1.442500 1.043516 0.010265
1.447500 1.041323 0.009699
1.452500 1.039420 0.007888
1.457500 1.039115 0.008200
1.462500 1.034874 0.009716
1.467500 1.024922 0.010445
1.472500 1.027504 0.013704
1.477500 1.009018 0.006656
1.482500 1.001073 0.004509
1.487500 1.004638 0.005171
1.492500 0.997929 0.004841
1.497500 0.994551 0.004279
1.502500 0.991850 0.003917
1.507500 0.994534 0.006796
1.512500 0.995639 0.006235
1.517500 1.002521 0.006831
1.522500 1.001329 0.006296
1.527500 1.000819 0.005820
1.532500 1.001985 0.004954
1.537500 0.984144 0.007782
1.542500 0.976705 0.011323
1.547500 0.981981 0.010635
1.552500 0.980914 0.006344
1.557500 0.992611 0.019969
1.562500 0.996202 0.017537
1.567500 0.994315 0.015617
1.572500 1.000063 0.016620
1.577500 1.003970 0.017148
1.582500 1.008335 0.015445
1.587500 1.002095 0.017055
1.592500 1.004567 0.015836
1.597500 1.000548 0.007569
1.602500 1.005515 0.005732
1.607500 1.016124 0.007956
1.612500 1.021341 0.008600
1.617500 1.029375 0.012350
1.622500 1.029140 0.011707
1.627500 1.028115 0.011316
1.632500 1.027636 0.010081
1.637500 1.024248 0.011937
1.642500 1.023868 0.014169
1.647500 1.032604 0.010491
1.652500 1.039992 0.009156
1.657500 1.035559 0.008576
1.662500 1.041415 0.007909
1.667500 1.038519 0.004746
1.672500 1.048470 0.004341
1.677500 1.059200 0.006685
1.682500 1.060425 0.009138
1.687500 1.068481 0.012708
1.692500 1.068617 0.014995
1.697500 1.065995 0.017064
1.702500 1.077972 0.011751
1.707500 1.061920 0.015261
1.712500 1.066742 0.014330
1.717500 1.074984 0.011581
1.722500 1.076290 0.016189
1.727500 1.080147 0.011532
1.732500 1.083728 0.007739
1.737500 1.074070 0.008619
1.742500 1.067583 0.011171
1.747500 1.066255 0.012499
1.752500 1.067279 0.009437
1.757500 1.073866 0.016047
1.762500 1.072514 0.012841
1.767500 1.082422 0.014544
1.772500 1.080513 0.017580
1.777500 1.075825 0.013183
1.782500 1.067049 0.011007
1.787500 1.076727 0.014247
1.792500 1.071329 0.010624
1.797500 1.066145 0.013047
1.802500 1.072248 0.014461
1.807500 1.080876 0.009787
1.812500 1.069471 0.013287
1.817500 1.065252 0.012487
1.822500 1.065602 0.010127
1.827500 1.065022 0.009950
1.832500 1.071546 0.005610
1.837500 1.068196 0.007471
1.842500 1.071205 0.006762
1.847500 1.082491 0.008759
1.852500 1.076103 0.012950
1.857500 1.087260 0.007328
1.862500 1.093180 0.004901
1.867500 1.088296 0.006514
1.872500 1.079828 0.020968
1.877500 1.072156 0.006862
1.882500 1.072297 0.005256
1.887500 1.079617 0.004956
1.892500 1.077071 0.005837
1.897500 1.068990 0.006650
1.902500 1.066592 0.008464
1.907500 1.059263 0.018143
1.912500 1.052348 0.012965
1.917500 1.052442 0.008881
1.922500 1.056370 0.008068
1.927500 1.041266 0.019413
1.932500 1.031499 0.019934
1.937500 1.023454 0.008474
1.942500 1.015758 0.009927
1.947500 1.009040 0.015407
1.952500 0.995877 0.003566
1.957500 0.997958 0.004874
1.962500 0.992600 0.004861
1.967500 0.987658 0.010296
1.972500 0.980492 0.008264
1.977500 0.979555 0.006841
1.982500 0.963668 0.010104
1.987500 0.965640 0.011991
1.992500 0.963068 0.010970
1.997500 0.963001 0.012472
2.002500 0.967787 0.006352
2.007500 0.962023 0.004969
2.012500 0.967139 0.006078
2.017500 0.960384 0.006393
2.022500 0.954761 0.012495
2.027500 0.963452 0.012747
2.032500 0.968885 0.011210
2.037500 0.963217 0.016235
2.042500 0.958871 0.009686
2.047500 0.959795 0.005555
2.052500 0.961625 0.006282
2.057500 0.978795 0.008285
2.062500 0.969822 0.007382
2.067500 0.972837 0.004840
2.072500 0.978915 0.004706
2.077500 0.976425 0.007254
2.082500 0.994454 0.011987
2.087500 0.995288 0.009454
2.092500 0.996486 0.008059
2.097500 1.009228 0.010461
2.102500 1.001399 0.005079
2.107500 1.009837 0.004207
2.112500 1.018145 0.006051
2.117500 1.038671 0.009199
2.122500 1.045347 0.008202
2.127500 1.062013 0.003410
2.132500 1.066871 0.009898
2.137500 1.075319 0.010951
2.142500 1.078809 0.012840
