# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.787186 0.006718
0.707500 0.794151 0.010847
0.712500 0.783292 0.014670
0.717500 0.778413 0.006334
0.722500 0.820667 0.009798
0.727500 0.824427 0.010401
0.732500 0.822600 0.006538
0.737500 0.819383 0.004964
0.742500 0.811484 0.010139
0.747500 0.811274 0.006108
0.752500 0.832252 0.013966
0.757500 0.843740 0.013044
0.762500 0.849612 0.007255
0.767500 0.872866 0.007775
0.772500 0.882068 0.013905
0.777500 0.888212 0.015341
0.782500 0.884914 0.025294
0.787500 0.856571 0.019532
0.792500 0.832242 0.013361
0.797500 0.869309 0.018392
0.802500 0.888473 0.010780
0.807500 0.891662 0.014456
0.812500 0.904977 0.019727
0.817500 0.920165 0.010841
0.822500 0.909812 0.010371
0.827500 0.893651 0.005482
0.832500 0.911814 0.008556
0.837500 0.924251 0.007665
0.842500 0.933605 0.011244
0.847500 0.935667 0.009259
0.852500 0.936548 0.006603
0.857500 0.928285 0.006027
0.862500 0.932464 0.010467
0.867500 0.926095 0.009235
0.872500 0.942812 0.008776
0.877500 0.949063 0.012002
0.882500 0.954930 0.012484
0.887500 0.948971 0.006888
0.892500 0.946884 0.005379
0.897500 0.954205 0.008471
0.902500 0.955578 0.007908
0.907500 0.969173 0.014309
0.912500 0.974234 0.011265
0.917500 0.972400 0.010002
0.922500 0.967889 0.010194
0.927500 0.962099 0.005711
0.932500 0.982169 0.005994
0.937500 0.966838 0.005971
0.942500 0.980069 0.006024
0.947500 0.976421 0.008335
0.952500 0.987842 0.007828
0.957500 0.975682 0.005856
0.962500 0.979492 0.005741
0.967500 0.995852 0.006494
0.972500 0.998542 0.008016
0.977500 0.997116 0.008282
0.982500 1.011319 0.004946
0.987500 1.008900 0.012454
0.992500 1.006671 0.008526
0.997500 0.999882 0.010470
1.002500 1.006056 0.009618
1.007500 1.019581 0.005460
1.012500 1.019159 0.004695
1.017500 1.016489 0.007165
1.022500 1.015913 0.007252
1.027500 1.015115 0.011889
1.032500 1.014232 0.010452
1.037500 1.025519 0.007073
1.042500 1.019246 0.004384
1.047500 1.021406 0.005752
1.052500 1.012057 0.005379
1.057500 1.017761 0.003496
1.062500 1.020425 0.004560
1.067500 1.018431 0.007738
1.072500 1.012883 0.012036
1.077500 1.014597 0.008204
1.082500 1.014331 0.008539
1.087500 1.026832 0.010549
1.092500 1.034132 0.013036
1.097500 1.031440 0.006439
1.102500 1.034441 0.009499
1.107500 1.034095 0.010550
