# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.626624 0.009023
0.707500 0.643499 0.006943
0.712500 0.675024 0.016577
0.717500 0.664798 0.021534
0.722500 0.682271 0.005538
0.727500 0.678200 0.004196
0.732500 0.678026 0.014238
0.737500 0.689665 0.004933
0.742500 0.696346 0.009168
0.747500 0.702639 0.005679
0.752500 0.712645 0.004795
0.757500 0.723282 0.003676
0.762500 0.725219 0.004814
0.767500 0.727379 0.009584
0.772500 0.734036 0.006522
0.777500 0.735682 0.004569
0.782500 0.775743 0.010069
0.787500 0.782088 0.011600
0.792500 0.746850 0.005231
0.797500 0.748246 0.006793
0.802500 0.754588 0.005438
0.807500 0.768658 0.005701
0.812500 0.779155 0.005297
0.817500 0.777149 0.007967
0.822500 0.788708 0.006036
0.827500 0.801346 0.008429
0.832500 0.801358 0.004738
0.837500 0.800181 0.005021
0.842500 0.808381 0.004508
0.847500 0.818594 0.004448
0.852500 0.818811 0.006489
0.857500 0.833358 0.008613
0.862500 0.833459 0.009004
0.867500 0.835035 0.006646
0.872500 0.844092 0.004938
0.877500 0.856466 0.007879
0.882500 0.856457 0.005008
0.887500 0.858245 0.005262
0.892500 0.877184 0.005770
0.897500 0.878804 0.010298
0.902500 0.880416 0.010628
0.907500 0.879147 0.005893
0.912500 0.883480 0.005203
0.917500 0.892484 0.005485
0.922500 0.894056 0.007269
0.927500 0.897294 0.007050
0.932500 0.896584 0.006478
0.937500 0.910980 0.004996
0.942500 0.922254 0.004767
0.947500 0.930426 0.003992
0.952500 0.931363 0.004650
0.957500 0.934238 0.005314
0.962500 0.931715 0.005570
0.967500 0.932002 0.007170
0.972500 0.935587 0.007541
0.977500 0.949107 0.004335
0.982500 0.958218 0.005472
0.987500 0.962428 0.004133
0.992500 0.957617 0.004364
0.997500 0.954288 0.005180
1.002500 0.958875 0.005365
1.007500 0.975291 0.007612
1.012500 0.974846 0.008027
1.017500 0.974537 0.009922
1.022500 0.974365 0.008266
1.027500 0.985226 0.012087
1.032500 0.995082 0.005694
1.037500 1.007252 0.004492
1.042500 1.000659 0.009473
1.047500 0.993880 0.007429
1.052500 0.988899 0.008587
1.057500 0.987583 0.007331
1.062500 0.981945 0.017218
1.067500 0.986066 0.017606
1.072500 0.984851 0.006604
1.077500 1.000671 0.005230
1.082500 1.010272 0.007120
1.087500 1.017113 0.009678
1.092500 1.019614 0.009951
1.097500 1.021275 0.008019
1.102500 1.022432 0.008792
1.107500 1.025698 0.009146
1.112500 1.032797 0.006395
1.117500 1.041073 0.006915
1.122500 1.042427 0.007436
1.127500 1.051673 0.005737
1.132500 1.045946 0.011913
1.137500 1.048717 0.013622
1.142500 1.049201 0.014502
1.147500 1.050063 0.012926
1.152500 1.054639 0.015875
1.157500 1.053638 0.012650
1.162500 1.055404 0.011710
1.167500 1.054044 0.010383
1.172500 1.051239 0.008135
1.177500 1.052193 0.007408
1.182500 1.062370 0.011011
1.187500 1.062549 0.011587
1.192500 1.064786 0.010591
1.197500 1.065776 0.011086
1.202500 1.068175 0.011621
1.207500 1.070492 0.008177
1.212500 1.089623 0.010848
1.217500 1.083808 0.007670
1.222500 1.078202 0.007486
1.227500 1.082023 0.010014
1.232500 1.087060 0.005363
1.237500 1.086608 0.005909
1.242500 1.077676 0.009718
1.247500 1.064770 0.005193
1.252500 1.060623 0.010454
1.257500 1.068653 0.014200
1.262500 1.072567 0.013678
1.267500 1.077486 0.008538
1.272500 1.074709 0.009744
1.277500 1.072882 0.006736
1.282500 1.082046 0.005607
1.287500 1.071996 0.011361
1.292500 1.080523 0.014942
1.297500 1.084767 0.018845
1.302500 1.088890 0.018608
1.307500 1.097221 0.016829
1.312500 1.093819 0.010604
1.317500 1.091162 0.006132
1.322500 1.093220 0.006398
1.327500 1.090976 0.008409
1.332500 1.089327 0.008314
1.337500 1.087708 0.007356
1.342500 1.083846 0.010626
1.347500 1.088837 0.015098
1.352500 1.092251 0.016390
1.357500 1.095888 0.018424
1.362500 1.100748 0.014654
1.367500 1.104763 0.015346
1.372500 1.109202 0.015604
1.377500 1.100269 0.015263
1.382500 1.105781 0.018050
1.387500 1.105911 0.020019
1.392500 1.103715 0.017764
1.397500 1.103916 0.011765
1.402500 1.101388 0.010759
1.407500 1.103206 0.008261
1.412500 1.116717 0.010929
1.417500 1.115039 0.011359
1.422500 1.112497 0.014236
1.427500 1.116358 0.014729
1.432500 1.103041 0.010975
1.437500 1.101856 0.010508
1.442500 1.100877 0.009015
1.447500 1.105589 0.011040
1.452500 1.109759 0.013003
1.457500 1.116699 0.014988
1.462500 1.117904 0.016294
1.467500 1.117504 0.016314
