# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.675884 0.011819
0.707500 0.680458 0.005191
0.712500 0.696681 0.005545
0.717500 0.671619 0.005776
0.722500 0.682763 0.005856
0.727500 0.697400 0.004649
0.732500 0.688927 0.006387
0.737500 0.697072 0.009602
0.742500 0.704843 0.006672
0.747500 0.716932 0.012889
0.752500 0.722590 0.004891
0.757500 0.720719 0.005767
0.762500 0.722537 0.003445
0.767500 0.727795 0.004149
0.772500 0.724611 0.004440
0.777500 0.734814 0.005985
0.782500 0.756432 0.004829
0.787500 0.757889 0.008522
0.792500 0.750118 0.004489
0.797500 0.753292 0.008161
0.802500 0.752479 0.003681
0.807500 0.762729 0.011657
0.812500 0.764311 0.005745
0.817500 0.766251 0.005874
0.822500 0.777429 0.009712
0.827500 0.774044 0.008820
0.832500 0.780555 0.004804
0.837500 0.781693 0.004851
0.842500 0.792866 0.008095
0.847500 0.794770 0.009169
0.852500 0.792830 0.005870
0.857500 0.794233 0.005484
0.862500 0.802720 0.010275
0.867500 0.800531 0.010140
0.872500 0.805620 0.010129
0.877500 0.811171 0.006269
0.882500 0.810122 0.004048
0.887500 0.821727 0.005925
0.892500 0.826730 0.006202
0.897500 0.826443 0.005208
0.902500 0.818652 0.005092
0.907500 0.831300 0.005259
0.912500 0.832775 0.007187
0.917500 0.827032 0.009192
0.922500 0.833766 0.006493
0.927500 0.837024 0.005486
0.932500 0.847991 0.005942
0.937500 0.849251 0.005801
0.942500 0.850689 0.006207
0.947500 0.850805 0.004942
0.952500 0.846308 0.004760
0.957500 0.857034 0.010483
0.962500 0.858087 0.010965
0.967500 0.867467 0.008311
0.972500 0.868882 0.010975
0.977500 0.872782 0.008108
0.982500 0.881607 0.008095
0.987500 0.887766 0.009947
0.992500 0.889398 0.004828
0.997500 0.886939 0.007898
1.002500 0.884181 0.010961
1.007500 0.889774 0.007718
1.012500 0.889308 0.006947
1.017500 0.889987 0.004947
1.022500 0.888363 0.006382
1.027500 0.886075 0.009288
1.032500 0.893065 0.005260
1.037500 0.906673 0.005916
1.042500 0.903395 0.007761
1.047500 0.899667 0.007618
1.052500 0.901027 0.007210
1.057500 0.903789 0.010632
1.062500 0.903516 0.008584
1.067500 0.905280 0.009644
1.072500 0.902573 0.007079
1.077500 0.906127 0.007912
1.082500 0.912489 0.006230
1.087500 0.914691 0.006030
1.092500 0.912929 0.006770
1.097500 0.917396 0.005686
1.102500 0.922030 0.005879
1.107500 0.927569 0.010582
1.112500 0.933720 0.008188
1.117500 0.938066 0.007172
1.122500 0.941617 0.010013
1.127500 0.947941 0.009088
1.132500 0.943343 0.009997
1.137500 0.938318 0.007924
1.142500 0.938329 0.007067
1.147500 0.941016 0.005325
1.152500 0.941299 0.005316
1.157500 0.938108 0.004894
1.162500 0.941876 0.004764
1.167500 0.942589 0.005178
1.172500 0.945681 0.004997
1.177500 0.947370 0.005911
1.182500 0.960118 0.006692
1.187500 0.958470 0.006604
1.192500 0.955203 0.005873
1.197500 0.961321 0.005874
1.202500 0.956528 0.006374
1.207500 0.962445 0.006331
1.212500 0.969663 0.005397
1.217500 0.964203 0.006284
1.222500 0.959816 0.007158
1.227500 0.955683 0.011157
1.232500 0.959019 0.005584
1.237500 0.966311 0.007466
1.242500 0.958347 0.006493
1.247500 0.968266 0.006847
1.252500 0.969086 0.009159
1.257500 0.973224 0.008688
1.262500 0.973423 0.010954
1.267500 0.971579 0.004368
1.272500 0.966795 0.004727
1.277500 0.966637 0.007556
1.282500 0.966621 0.008001
1.287500 0.961442 0.007326
1.292500 0.964608 0.008316
1.297500 0.971891 0.004101
1.302500 0.965731 0.010777
1.307500 0.972418 0.004960
1.312500 0.972353 0.004473
1.317500 0.974743 0.004912
1.322500 0.972844 0.005915
1.327500 0.971821 0.005915
1.332500 0.969872 0.006480
1.337500 0.980754 0.005941
1.342500 0.979599 0.007160
1.347500 0.983619 0.006669
1.352500 0.985303 0.005166
1.357500 0.986773 0.004725
1.362500 0.990009 0.004296
1.367500 0.989375 0.005618
1.372500 0.994786 0.004888
1.377500 0.989775 0.004303
1.382500 0.989468 0.004610
1.387500 0.990103 0.004533
1.392500 0.992973 0.005492
1.397500 0.992215 0.006935
1.402500 0.991359 0.006606
1.407500 0.991696 0.005890
1.412500 0.993747 0.004834
1.417500 0.992646 0.004481
1.422500 0.996117 0.005941
1.427500 0.990571 0.004980
1.432500 0.990184 0.005485
1.437500 0.994286 0.005170
1.442500 0.992128 0.006327
1.447500 0.988465 0.007171
1.452500 0.989547 0.007037
1.457500 0.989937 0.006034
1.462500 0.988449 0.006359
1.467500 0.986255 0.006666
1.472500 0.994046 0.005852
1.477500 1.000860 0.005498
1.482500 1.004703 0.004953
1.487500 1.005165 0.004963
1.492500 1.000418 0.005215
1.497500 0.994491 0.005393
1.502500 0.986959 0.006353
1.507500 0.984597 0.006133
1.512500 0.989049 0.003652
1.517500 0.998480 0.010228
1.522500 0.994915 0.008381
1.527500 0.999613 0.009002
1.532500 0.994462 0.006509
1.537500 0.988685 0.004769
1.542500 0.987682 0.004903
1.547500 0.991911 0.006860
1.552500 0.993565 0.005075
1.557500 0.994634 0.004453
1.562500 0.989979 0.004912
1.567500 0.997920 0.005837
1.572500 0.995896 0.005884
1.577500 0.995565 0.005058
1.582500 0.991812 0.008279
1.587500 0.988049 0.007076
1.592500 0.990520 0.004269
1.597500 0.992562 0.006194
1.602500 0.985782 0.006497
1.607500 0.983619 0.005134
1.612500 0.990486 0.007479
1.617500 0.983647 0.005966
1.622500 0.988568 0.004685
1.627500 1.001539 0.004613
1.632500 1.001443 0.004571
1.637500 0.996861 0.009809
1.642500 1.017504 0.018607
1.647500 1.006618 0.005443
1.652500 1.012421 0.007475
1.657500 1.005946 0.004314
1.662500 1.012063 0.004015
1.667500 1.013961 0.004982
1.672500 1.010699 0.006425
1.677500 1.008772 0.003842
1.682500 1.010803 0.004067
1.687500 1.020676 0.005464
1.692500 1.020480 0.006925
1.697500 1.015044 0.007020
1.702500 1.009047 0.004954
1.707500 1.017392 0.004860
1.712500 1.023140 0.004323
1.717500 1.020968 0.004027
1.722500 1.022837 0.005057
1.727500 1.028620 0.005677
1.732500 1.023533 0.008054
1.737500 1.014235 0.004723
1.742500 1.011590 0.003470
1.747500 1.014552 0.004017
1.752500 1.018168 0.004476
1.757500 1.014592 0.004397
1.762500 1.008868 0.003615
1.767500 1.021954 0.005052
1.772500 1.014775 0.005679
1.777500 1.010771 0.005328
1.782500 1.015469 0.005425
1.787500 1.018326 0.006828
1.792500 1.015360 0.005862
1.797500 1.012154 0.004015
1.802500 1.017385 0.004785
1.807500 1.023618 0.004021
1.812500 1.016693 0.004518
1.817500 1.016090 0.004884
1.822500 1.013194 0.005066
1.827500 1.012837 0.006109
1.832500 1.016581 0.006145
1.837500 1.010749 0.008182
1.842500 1.021915 0.004817
1.847500 1.030163 0.004466
1.852500 1.020795 0.006241
1.857500 1.017935 0.009714
1.862500 1.027450 0.006281
1.867500 1.029170 0.004725
1.872500 1.023226 0.003958
1.877500 1.020693 0.004945
1.882500 1.026886 0.007523
1.887500 1.033164 0.009145
1.892500 1.036958 0.005964
1.897500 1.039561 0.006287
1.902500 1.034517 0.008301
1.907500 1.028015 0.010945
1.912500 1.020915 0.005860
1.917500 1.024809 0.005014
1.922500 1.028703 0.007303
1.927500 1.020676 0.006474
1.932500 1.015776 0.007313
1.937500 1.024879 0.008691
1.942500 1.013546 0.006418
1.947500 1.010922 0.005015
1.952500 1.013126 0.004638
1.957500 1.013332 0.005837
1.962500 1.007385 0.004532
1.967500 1.003366 0.004999
1.972500 1.003398 0.006746
1.977500 1.004493 0.004371
1.982500 0.998890 0.005185
1.987500 0.999940 0.004035
1.992500 1.003766 0.005245
1.997500 0.998785 0.004050
2.002500 1.002490 0.004598
2.007500 1.004431 0.006571
2.012500 1.005653 0.007072
2.017500 1.006634 0.006485
2.022500 1.004323 0.008006
2.027500 1.012589 0.004609
2.032500 1.019530 0.007683
2.037500 1.019292 0.006341
2.042500 1.014537 0.008070
2.047500 1.019343 0.005403
2.052500 1.018894 0.006570
2.057500 1.025886 0.004301
2.062500 1.029569 0.005435
2.067500 1.027060 0.006557
2.072500 1.022186 0.007077
2.077500 1.024744 0.006758
2.082500 1.032389 0.006375
2.087500 1.024742 0.006535
2.092500 1.019089 0.005214
2.097500 1.028484 0.005707
2.102500 1.038010 0.004645
2.107500 1.032900 0.004130
2.112500 1.035923 0.006946
2.117500 1.031684 0.007748
2.122500 1.026998 0.007121
2.127500 1.033780 0.006483
2.132500 1.028341 0.003738
2.137500 1.038082 0.004459
2.142500 1.031876 0.004740
2.147500 1.029572 0.005402
2.152500 1.035349 0.007527
2.157500 1.028685 0.006066
2.162500 1.027352 0.004140
2.167500 1.029669 0.005624
2.172500 1.032554 0.004867
2.177500 1.039558 0.006241
2.182500 1.037016 0.008063
2.187500 1.038802 0.011115
2.192500 1.034030 0.013909
2.197500 1.039968 0.015191
2.202500 1.039648 0.012940
2.207500 1.046030 0.006271
2.212500 1.031704 0.004480
2.217500 1.037058 0.003368
2.222500 1.047291 0.003891
2.227500 1.045544 0.003965
2.232500 1.048367 0.005971
2.237500 1.047978 0.006150
2.242500 1.043250 0.003294
2.247500 1.037271 0.004827
2.252500 1.042360 0.006840
2.257500 1.046303 0.005823
2.262500 1.032298 0.003119
2.267500 1.030396 0.004357
2.272500 1.025661 0.005324
2.277500 1.026981 0.004439
2.282500 1.022164 0.004736
2.287500 1.030815 0.005909
2.292500 1.030519 0.005656
2.297500 1.036120 0.004964
2.302500 1.034535 0.007695
2.307500 1.033569 0.004939
2.312500 1.039014 0.006932
2.317500 1.030997 0.009965
2.322500 1.039966 0.011311
2.327500 1.024499 0.005945
2.332500 1.028050 0.007085
2.337500 1.034422 0.008874
2.342500 1.035791 0.002125
2.347500 1.023059 0.012887
2.352500 1.026822 0.013439
2.357500 1.033035 0.010482
2.362500 1.037560 0.008758
2.367500 1.032698 0.009759
2.372500 1.033269 0.010994
2.377500 1.033128 0.009733
2.382500 1.031272 0.010206
2.387500 1.041437 0.009473
2.392500 1.037419 0.004711
2.397500 1.035870 0.007543
2.402500 1.039557 0.006687
2.407500 1.025793 0.007957
2.412500 1.018540 0.005363
2.417500 1.018960 0.013335
2.422500 1.017186 0.004793
2.427500 1.024186 0.001935
2.432500 1.022916 0.007454
2.437500 1.023768 0.003339
2.442500 1.012351 0.006687
2.447500 1.015376 0.005217
2.452500 1.022628 0.004335
2.457500 1.025606 0.003970
2.462500 1.018324 0.005971
2.467500 1.027068 0.007401
2.472500 1.019834 0.003117
2.477500 1.014297 0.003453
2.482500 1.019930 0.005403
2.487500 1.016979 0.002540
2.492500 1.010433 0.002001
2.497500 1.016549 0.002187
2.502500 1.012319 0.004092
2.507500 1.019142 0.004049
2.512500 1.019417 0.003050
2.517500 1.012517 0.006213
2.522500 1.016811 0.004623
2.527500 1.023267 0.003615
2.532500 1.017169 0.003276
2.537500 1.006459 0.002090
2.542500 1.021186 0.007011
2.547500 1.026227 0.003385
2.552500 1.029362 0.007698
2.557500 1.027532 0.014840
2.562500 1.014024 0.011075
2.567500 1.004418 0.006610
2.572500 1.012038 0.002861
2.577500 1.013121 0.007265
2.582500 1.000000 0.011939
2.587500 0.996652 0.012965
2.592500 1.006075 0.005310
2.597500 0.997112 0.006276
2.602500 1.009472 0.003742
2.607500 1.003153 0.004026
2.612500 0.998373 0.003200
2.617500 1.001328 0.004225
2.622500 0.999382 0.006879
2.627500 0.980131 0.003984
2.632500 0.976293 0.009213
2.637500 0.966524 0.005614
2.642500 0.960881 0.002974
2.647500 0.955933 0.004649
2.652500 0.944435 0.005323
2.657500 0.903494 0.004932
2.662500 0.883792 0.013872
2.667500 0.837979 0.007753
2.672500 0.787987 0.006149
2.677500 0.761892 0.007656
2.682500 0.675432 0.015248
2.687500 0.622360 0.007147
2.692500 0.626333 0.005389
2.697500 0.650107 0.008000
2.702500 0.680736 0.006240
2.707500 0.717567 0.007041
2.712500 0.810895 0.017099
2.717500 0.812680 0.007507
2.722500 0.847433 0.005882
2.727500 0.867378 0.007029
2.732500 0.858253 0.009071
2.737500 0.844744 0.011599
2.742500 0.818435 0.008521
2.747500 0.778081 0.008846
2.752500 0.771970 0.010986
2.757500 0.749081 0.002896
2.762500 0.726129 0.007801
2.767500 0.691973 0.010695
2.772500 0.655633 0.010430
2.777500 0.657580 0.005231
2.782500 0.691750 0.002678
2.787500 0.721177 0.004099
2.792500 0.729495 0.004090
2.797500 0.720290 0.002511
2.802500 0.721021 0.004278
2.807500 0.719607 0.004418
2.812500 0.701942 0.006647
