# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.783377 0.030092
0.707500 0.796586 0.027455
0.712500 0.791378 0.030650
0.717500 0.768330 0.027854
0.722500 0.756834 0.004911
0.727500 0.750799 0.011300
0.732500 0.766967 0.017765
0.737500 0.786376 0.009658
0.742500 0.778085 0.006304
0.747500 0.791908 0.007614
0.752500 0.805155 0.008243
0.757500 0.791397 0.014741
0.762500 0.791047 0.011579
0.767500 0.812798 0.004810
0.772500 0.813289 0.005267
0.777500 0.817178 0.005391
0.782500 0.828903 0.007794
0.787500 0.820010 0.008585
0.792500 0.798414 0.007694
0.797500 0.788062 0.005264
0.802500 0.791196 0.007634
0.807500 0.800521 0.010998
0.812500 0.821421 0.009325
0.817500 0.852866 0.009401
0.822500 0.875046 0.004932
0.827500 0.880964 0.009576
0.832500 0.879651 0.007561
0.837500 0.869810 0.004383
0.842500 0.872809 0.005943
0.847500 0.860076 0.007923
0.852500 0.857650 0.013889
0.857500 0.862417 0.011266
0.862500 0.864498 0.010157
0.867500 0.867593 0.009267
0.872500 0.875559 0.013973
0.877500 0.887784 0.009560
0.882500 0.887202 0.006703
0.887500 0.885557 0.005786
0.892500 0.888807 0.006110
0.897500 0.901804 0.009255
0.902500 0.907807 0.011798
0.907500 0.913079 0.012505
0.912500 0.902236 0.011790
0.917500 0.895539 0.010262
0.922500 0.896350 0.007308
0.927500 0.892871 0.004842
0.932500 0.910196 0.008868
0.937500 0.908890 0.005975
0.942500 0.909668 0.005232
0.947500 0.907607 0.004491
0.952500 0.912951 0.005589
0.957500 0.918375 0.006784
0.962500 0.913910 0.006533
0.967500 0.915431 0.005541
0.972500 0.917186 0.005789
0.977500 0.927479 0.006349
0.982500 0.943805 0.010323
0.987500 0.947255 0.007107
0.992500 0.944262 0.007427
0.997500 0.943976 0.005773
1.002500 0.945954 0.006067
1.007500 0.955927 0.008635
1.012500 0.956897 0.008619
1.017500 0.960311 0.010042
1.022500 0.970141 0.012298
1.027500 0.967651 0.012264
1.032500 0.968096 0.007742
1.037500 0.964782 0.006443
1.042500 0.963155 0.006143
1.047500 0.963714 0.008258
1.052500 0.963084 0.009519
1.057500 0.966710 0.009964
1.062500 0.973618 0.007803
1.067500 0.972970 0.007307
1.072500 0.973300 0.007545
1.077500 0.971275 0.005331
1.082500 0.972186 0.010148
1.087500 0.985727 0.009255
1.092500 0.989779 0.011697
1.097500 0.993461 0.014899
1.102500 0.984528 0.007961
1.107500 0.984519 0.007544
1.112500 0.992792 0.010965
1.117500 0.997518 0.013151
1.122500 1.001910 0.009216
1.127500 1.002585 0.007949
1.132500 1.011676 0.010440
1.137500 1.014197 0.009241
1.142500 1.014679 0.011418
1.147500 1.012165 0.014045
1.152500 1.005408 0.013012
1.157500 1.004551 0.008834
1.162500 1.015910 0.010442
1.167500 1.030114 0.006229
1.172500 1.031614 0.006599
1.177500 1.032645 0.006054
1.182500 1.036522 0.009484
1.187500 1.035870 0.008920
1.192500 1.032408 0.009903
1.197500 1.030656 0.007054
1.202500 1.021587 0.011382
1.207500 1.031265 0.005916
1.212500 1.035413 0.009470
1.217500 1.030590 0.018020
1.222500 1.016372 0.013551
1.227500 1.012317 0.007846
1.232500 1.022527 0.007480
1.237500 1.036724 0.008050
1.242500 1.024413 0.005570
1.247500 1.019748 0.004951
1.252500 1.024959 0.009695
1.257500 1.024158 0.009662
1.262500 1.012483 0.007889
1.267500 1.023184 0.004735
1.272500 1.026279 0.006711
1.277500 1.028129 0.014027
1.282500 1.036337 0.010836
1.287500 1.037336 0.008854
1.292500 1.038216 0.011708
1.297500 1.037952 0.006198
1.302500 1.042705 0.015077
1.307500 1.045270 0.014600
1.312500 1.046410 0.012037
1.317500 1.051715 0.014339
1.322500 1.052759 0.014125
1.327500 1.046520 0.013383
1.332500 1.038314 0.008861
1.337500 1.043615 0.011665
1.342500 1.040999 0.013052
1.347500 1.046112 0.014035
1.352500 1.051351 0.013457
1.357500 1.053612 0.012752
1.362500 1.053930 0.009401
1.367500 1.057800 0.008183
1.372500 1.061757 0.008148
1.377500 1.057079 0.006608
1.382500 1.059192 0.006475
1.387500 1.057423 0.007286
1.392500 1.060440 0.006757
1.397500 1.063250 0.005990
1.402500 1.059624 0.005962
1.407500 1.055285 0.007056
1.412500 1.050262 0.013025
1.417500 1.047370 0.012239
1.422500 1.041413 0.012240
1.427500 1.047179 0.005618
1.432500 1.052191 0.007290
1.437500 1.053216 0.011696
1.442500 1.050814 0.014475
1.447500 1.040910 0.011801
1.452500 1.043072 0.010683
1.457500 1.047681 0.013667
1.462500 1.051439 0.010694
1.467500 1.053513 0.015108
1.472500 1.058414 0.015132
1.477500 1.048529 0.015244
1.482500 1.044985 0.012181
1.487500 1.048775 0.005340
1.492500 1.044756 0.009502
1.497500 1.047994 0.012943
1.502500 1.048215 0.011137
1.507500 1.050690 0.012008
1.512500 1.045484 0.012983
1.517500 1.044486 0.012836
1.522500 1.046862 0.011333
1.527500 1.053780 0.012862
1.532500 1.059899 0.013520
1.537500 1.059353 0.011647
1.542500 1.058873 0.011035
1.547500 1.067524 0.005698
1.552500 1.063392 0.007673
1.557500 1.056757 0.014781
1.562500 1.058917 0.010669
1.567500 1.057115 0.006804
1.572500 1.050200 0.012022
1.577500 1.055928 0.013166
1.582500 1.054256 0.014106
1.587500 1.039876 0.010894
1.592500 1.042971 0.012594
1.597500 1.049068 0.005773
1.602500 1.061852 0.005997
1.607500 1.066683 0.009805
1.612500 1.056758 0.010550
1.617500 1.057652 0.012051
1.622500 1.057945 0.008684
1.627500 1.059521 0.005715
1.632500 1.069578 0.007553
1.637500 1.068675 0.011005
1.642500 1.066402 0.007197
1.647500 1.072939 0.008642
1.652500 1.075731 0.006823
1.657500 1.077094 0.005869
1.662500 1.079013 0.006385
1.667500 1.078452 0.011514
1.672500 1.086672 0.008497
1.677500 1.061210 0.023405
1.682500 1.060910 0.020412
1.687500 1.068059 0.022272
1.692500 1.091049 0.005592
1.697500 1.094252 0.004087
1.702500 1.094505 0.004826
1.707500 1.081785 0.014988
1.712500 1.084527 0.014220
1.717500 1.086858 0.015826
1.722500 1.088622 0.013154
1.727500 1.095581 0.011759
1.732500 1.094176 0.007876
1.737500 1.093622 0.008233
1.742500 1.080643 0.008706
1.747500 1.070164 0.011810
1.752500 1.072100 0.012706
1.757500 1.068433 0.010102
1.762500 1.063457 0.010214
1.767500 1.069165 0.012861
1.772500 1.072979 0.008013
1.777500 1.072087 0.007918
1.782500 1.062471 0.012363
1.787500 1.069563 0.007441
1.792500 1.071939 0.004707
1.797500 1.074899 0.004353
1.802500 1.072326 0.010052
1.807500 1.073670 0.012601
1.812500 1.069391 0.013929
1.817500 1.069205 0.011180
1.822500 1.069986 0.006645
1.827500 1.071387 0.007010
1.832500 1.080044 0.006303
1.837500 1.076603 0.010391
1.842500 1.078979 0.012909
1.847500 1.087443 0.009989
