# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.805448 0.010374
0.707500 0.804847 0.014081
0.712500 0.821274 0.016223
0.717500 0.824225 0.014601
0.722500 0.820926 0.013628
0.727500 0.827207 0.011956
0.732500 0.814757 0.010874
0.737500 0.827324 0.015115
0.742500 0.830076 0.013768
0.747500 0.820759 0.011551
0.752500 0.810975 0.013777
0.757500 0.826652 0.015740
0.762500 0.840196 0.011168
0.767500 0.842430 0.008773
0.772500 0.834544 0.005426
0.777500 0.833327 0.009508
0.782500 0.841910 0.013835
0.787500 0.845928 0.010765
0.792500 0.831903 0.006079
0.797500 0.834892 0.006799
0.802500 0.845573 0.004385
0.807500 0.849161 0.005914
0.812500 0.849503 0.004882
0.817500 0.850473 0.005456
0.822500 0.852493 0.005384
0.827500 0.854719 0.004832
0.832500 0.854182 0.004184
0.837500 0.861807 0.004943
0.842500 0.862897 0.004112
0.847500 0.867651 0.004841
0.852500 0.872182 0.007782
0.857500 0.867915 0.009755
0.862500 0.872312 0.010690
0.867500 0.870853 0.006740
0.872500 0.875333 0.010625
0.877500 0.880911 0.006771
0.882500 0.873378 0.006592
0.887500 0.871510 0.009979
0.892500 0.879491 0.008204
0.897500 0.892470 0.012657
0.902500 0.892609 0.010659
0.907500 0.882346 0.005940
0.912500 0.875544 0.006762
0.917500 0.883670 0.009973
0.922500 0.887880 0.012127
0.927500 0.891478 0.017846
0.932500 0.893987 0.010009
0.937500 0.885182 0.006313
0.942500 0.892697 0.009170
0.947500 0.890883 0.007118
0.952500 0.892751 0.008314
0.957500 0.900866 0.007903
0.962500 0.898266 0.009419
0.967500 0.902468 0.010953
0.972500 0.905658 0.011038
0.977500 0.904599 0.008826
0.982500 0.913789 0.012737
0.987500 0.924019 0.013849
0.992500 0.921364 0.012242
0.997500 0.918484 0.010591
1.002500 0.913393 0.011431
1.007500 0.914674 0.011995
1.012500 0.915400 0.013573
1.017500 0.925608 0.011852
1.022500 0.931671 0.008358
1.027500 0.929503 0.008490
1.032500 0.928019 0.009448
1.037500 0.929831 0.008641
1.042500 0.922462 0.008370
1.047500 0.925540 0.005309
1.052500 0.932215 0.009116
1.057500 0.932696 0.005589
1.062500 0.934093 0.004848
1.067500 0.935621 0.006822
1.072500 0.938611 0.005213
1.077500 0.938918 0.006023
1.082500 0.941809 0.005274
1.087500 0.938073 0.005759
1.092500 0.937181 0.005842
1.097500 0.940855 0.009403
1.102500 0.943504 0.013092
1.107500 0.946663 0.011085
1.112500 0.954434 0.008468
1.117500 0.958911 0.008652
1.122500 0.957267 0.010028
1.127500 0.959543 0.010577
1.132500 0.958905 0.010173
1.137500 0.954047 0.013380
1.142500 0.964740 0.007760
1.147500 0.966859 0.008625
1.152500 0.971950 0.010918
1.157500 0.973537 0.011587
1.162500 0.980615 0.007702
1.167500 0.976374 0.005564
1.172500 0.967992 0.006270
1.177500 0.969704 0.005585
1.182500 0.982591 0.007027
1.187500 0.982453 0.006507
1.192500 0.981705 0.006195
1.197500 0.981114 0.007127
1.202500 0.976300 0.008113
1.207500 0.972305 0.008568
1.212500 0.974653 0.008666
1.217500 0.974498 0.007325
1.222500 0.975164 0.011166
1.227500 0.969356 0.006888
1.232500 0.974153 0.005015
1.237500 0.970764 0.004332
1.242500 0.966838 0.004820
1.247500 0.970148 0.005907
1.252500 0.969646 0.004980
1.257500 0.969067 0.003580
1.262500 0.972917 0.007303
1.267500 0.974623 0.005886
1.272500 0.972392 0.008616
1.277500 0.989916 0.014014
1.282500 0.990968 0.007369
1.287500 0.980968 0.015708
1.292500 0.979893 0.011645
1.297500 0.973594 0.005119
1.302500 0.980173 0.005095
1.307500 0.982704 0.006756
1.312500 0.982069 0.006085
1.317500 0.988944 0.005394
1.322500 0.991978 0.006128
1.327500 0.986365 0.005461
1.332500 0.988071 0.006062
1.337500 0.991112 0.005625
1.342500 0.992882 0.005245
1.347500 0.997236 0.004233
1.352500 0.996804 0.004538
1.357500 1.000114 0.004507
1.362500 0.999222 0.004911
1.367500 0.998922 0.004617
1.372500 0.999448 0.004466
1.377500 0.993469 0.005174
1.382500 0.997145 0.006719
1.387500 1.001712 0.005528
1.392500 1.000569 0.005945
1.397500 1.002396 0.005516
1.402500 1.000996 0.005267
1.407500 1.004677 0.007550
1.412500 1.011753 0.007390
1.417500 1.015046 0.006643
1.422500 1.012989 0.009377
1.427500 1.017650 0.006220
1.432500 1.009634 0.005343
1.437500 1.010625 0.005353
1.442500 1.004640 0.005821
1.447500 0.997584 0.005941
1.452500 0.991293 0.008889
1.457500 0.993761 0.010438
1.462500 0.987264 0.008890
1.467500 0.982083 0.007830
1.472500 0.983441 0.008013
1.477500 0.977774 0.007258
1.482500 0.976729 0.008604
1.487500 0.974522 0.006971
1.492500 0.964202 0.006894
1.497500 0.965675 0.004550
1.502500 0.966428 0.006333
1.507500 0.968709 0.006185
1.512500 0.972066 0.006047
1.517500 0.971345 0.003962
1.522500 0.970759 0.006329
1.527500 0.965553 0.006972
1.532500 0.961742 0.003832
1.537500 0.964172 0.005566
1.542500 0.968709 0.006475
1.547500 0.959283 0.009084
1.552500 0.967835 0.008121
1.557500 0.974453 0.010709
1.562500 0.970766 0.010595
1.567500 0.968675 0.008051
1.572500 0.971171 0.005072
1.577500 0.972896 0.007005
1.582500 0.971221 0.010269
1.587500 0.975621 0.011041
1.592500 0.975843 0.013228
1.597500 0.980491 0.013183
1.602500 0.988025 0.011305
1.607500 0.991878 0.010091
1.612500 0.991836 0.007896
1.617500 0.992327 0.007987
1.622500 0.989623 0.005353
1.627500 0.991466 0.005402
1.632500 0.992184 0.004147
1.637500 0.994564 0.004328
1.642500 0.992631 0.004559
1.647500 0.998846 0.005039
1.652500 1.010689 0.012702
1.657500 1.012894 0.015877
1.662500 1.005933 0.015105
1.667500 1.008417 0.012535
1.672500 1.012508 0.010050
1.677500 1.018998 0.010004
1.682500 1.028761 0.005919
1.687500 1.028452 0.004851
1.692500 1.024442 0.005458
1.697500 1.024887 0.003605
1.702500 1.023925 0.004853
1.707500 1.026330 0.005523
1.712500 1.031574 0.004121
1.717500 1.033241 0.005987
1.722500 1.032771 0.005785
1.727500 1.032457 0.006280
1.732500 1.036045 0.006266
1.737500 1.029667 0.004148
1.742500 1.023344 0.008949
1.747500 1.023527 0.007122
1.752500 1.019430 0.005799
1.757500 1.027983 0.010210
1.762500 1.028343 0.004276
1.767500 1.037045 0.004105
1.772500 1.036449 0.007713
1.777500 1.026535 0.008721
1.782500 1.029663 0.005386
1.787500 1.033259 0.006387
