# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.540733 0.010410
0.707500 0.526811 0.007205
0.712500 0.521757 0.005421
0.717500 0.537321 0.007190
0.722500 0.544770 0.009791
0.727500 0.533487 0.018593
0.732500 0.556820 0.007450
0.737500 0.565250 0.005880
0.742500 0.543994 0.010000
0.747500 0.546098 0.011010
0.752500 0.545672 0.005096
0.757500 0.557534 0.007409
0.762500 0.565970 0.014060
0.767500 0.561216 0.009579
0.772500 0.575238 0.007311
0.777500 0.585970 0.006946
0.782500 0.583261 0.008124
0.787500 0.571882 0.012251
0.792500 0.570752 0.010355
0.797500 0.585037 0.003407
0.802500 0.590430 0.003514
0.807500 0.585249 0.005488
0.812500 0.593016 0.007273
0.817500 0.595305 0.006917
0.822500 0.597027 0.004954
0.827500 0.601489 0.006288
0.832500 0.605710 0.007459
0.837500 0.608190 0.008879
0.842500 0.598441 0.007839
0.847500 0.596264 0.011712
0.852500 0.596089 0.009472
0.857500 0.599393 0.011741
0.862500 0.618331 0.011965
0.867500 0.617290 0.003710
0.872500 0.619702 0.007136
0.877500 0.626715 0.009140
0.882500 0.623307 0.007036
0.887500 0.625165 0.006800
0.892500 0.624433 0.009333
0.897500 0.631974 0.011534
0.902500 0.642928 0.006387
0.907500 0.639696 0.003065
0.912500 0.634985 0.006336
0.917500 0.641747 0.008273
0.922500 0.650346 0.008689
0.927500 0.655428 0.006297
0.932500 0.655021 0.007862
0.937500 0.652458 0.006850
0.942500 0.658074 0.010551
0.947500 0.663447 0.009631
0.952500 0.666037 0.007986
0.957500 0.663700 0.011273
0.962500 0.659461 0.003380
0.967500 0.665623 0.006669
0.972500 0.674611 0.013954
0.977500 0.674846 0.011751
0.982500 0.681824 0.013914
0.987500 0.685486 0.010968
0.992500 0.687655 0.009110
0.997500 0.685316 0.013594
1.002500 0.687495 0.012657
1.007500 0.693008 0.010813
1.012500 0.689274 0.010150
1.017500 0.691560 0.009494
1.022500 0.691152 0.008167
1.027500 0.692765 0.008041
1.032500 0.693539 0.006682
1.037500 0.696358 0.007671
1.042500 0.701140 0.011125
1.047500 0.703269 0.014107
1.052500 0.706668 0.010456
1.057500 0.706515 0.007423
1.062500 0.710399 0.007542
1.067500 0.709596 0.009854
1.072500 0.714429 0.014336
1.077500 0.717245 0.014558
1.082500 0.721439 0.013624
1.087500 0.720344 0.007194
1.092500 0.725536 0.004124
1.097500 0.726411 0.004273
1.102500 0.727318 0.009004
1.107500 0.728439 0.008418
1.112500 0.727620 0.006734
1.117500 0.730684 0.007136
1.122500 0.737505 0.011950
1.127500 0.746231 0.008594
1.132500 0.744843 0.008211
1.137500 0.746032 0.010147
1.142500 0.753175 0.011154
1.147500 0.753283 0.012494
1.152500 0.759150 0.016420
1.157500 0.764492 0.018120
1.162500 0.763614 0.018588
1.167500 0.762536 0.017165
1.172500 0.761431 0.013496
1.177500 0.764303 0.011578
1.182500 0.771188 0.012046
1.187500 0.772696 0.012305
1.192500 0.768291 0.013173
1.197500 0.770907 0.012760
1.202500 0.768721 0.012721
1.207500 0.770157 0.013246
1.212500 0.777858 0.011052
1.217500 0.777893 0.011696
1.222500 0.772816 0.013910
1.227500 0.782842 0.014596
1.232500 0.780723 0.015699
1.237500 0.771825 0.009370
1.242500 0.779176 0.015972
1.247500 0.773684 0.018170
1.252500 0.772486 0.024602
1.257500 0.776046 0.017940
1.262500 0.775441 0.031211
1.267500 0.782648 0.027449
1.272500 0.789347 0.016974
1.277500 0.783368 0.025610
1.282500 0.785917 0.020369
1.287500 0.790644 0.015611
1.292500 0.796587 0.015883
1.297500 0.800441 0.011717
1.302500 0.805822 0.010378
1.307500 0.806884 0.011409
1.312500 0.811315 0.013307
1.317500 0.815150 0.019984
1.322500 0.819260 0.017475
1.327500 0.817363 0.014529
1.332500 0.821291 0.015648
1.337500 0.819408 0.010184
1.342500 0.817046 0.013708
1.347500 0.816507 0.013797
1.352500 0.829862 0.014750
1.357500 0.830452 0.021849
1.362500 0.828246 0.022127
1.367500 0.825940 0.022143
1.372500 0.827998 0.021360
1.377500 0.826630 0.022255
1.382500 0.830256 0.022086
1.387500 0.832882 0.021311
1.392500 0.834014 0.020782
1.397500 0.832401 0.021473
1.402500 0.830511 0.025609
1.407500 0.833172 0.025122
1.412500 0.841942 0.025289
1.417500 0.841657 0.021922
1.422500 0.843398 0.017460
1.427500 0.845476 0.015806
1.432500 0.844409 0.015587
1.437500 0.846506 0.019367
1.442500 0.838199 0.025670
1.447500 0.836983 0.027079
1.452500 0.843250 0.028643
1.457500 0.842231 0.029725
1.462500 0.851325 0.024825
1.467500 0.856596 0.022086
1.472500 0.850390 0.019123
1.477500 0.847701 0.018108
1.482500 0.841753 0.020413
1.487500 0.839024 0.020203
1.492500 0.841106 0.021331
1.497500 0.834494 0.016634
1.502500 0.845579 0.010088
1.507500 0.852730 0.013536
1.512500 0.850580 0.012299
1.517500 0.852520 0.011801
1.522500 0.844286 0.015159
1.527500 0.842778 0.017850
1.532500 0.842800 0.024542
1.537500 0.841544 0.020973
1.542500 0.845442 0.024808
1.547500 0.850171 0.021065
1.552500 0.851476 0.020628
1.557500 0.848884 0.018846
1.562500 0.839388 0.017460
1.567500 0.842565 0.018571
1.572500 0.850863 0.017747
1.577500 0.850893 0.019738
1.582500 0.858606 0.021648
1.587500 0.865937 0.019785
1.592500 0.867522 0.016173
1.597500 0.858952 0.020063
1.602500 0.863994 0.018028
1.607500 0.863931 0.019163
1.612500 0.870726 0.022797
1.617500 0.871191 0.021642
1.622500 0.871073 0.020505
1.627500 0.881720 0.012318
1.632500 0.891068 0.015038
1.637500 0.886038 0.017479
1.642500 0.880872 0.018276
1.647500 0.885370 0.016217
1.652500 0.891177 0.019871
1.657500 0.893447 0.025253
1.662500 0.927661 0.005107
1.667500 0.937201 0.005976
1.672500 0.934259 0.007694
1.677500 0.901604 0.012513
1.682500 0.912852 0.014248
1.687500 0.918449 0.014343
1.692500 0.924536 0.009071
1.697500 0.920787 0.015383
1.702500 0.917395 0.018740
1.707500 0.922486 0.018254
1.712500 0.921841 0.015549
1.717500 0.918436 0.016549
1.722500 0.917379 0.020245
1.727500 0.926918 0.019629
1.732500 0.921836 0.019122
1.737500 0.915683 0.022383
1.742500 0.918603 0.021683
1.747500 0.921792 0.022146
1.752500 0.924079 0.014831
1.757500 0.920245 0.018710
1.762500 0.912563 0.023302
1.767500 0.917675 0.022420
1.772500 0.914354 0.020158
1.777500 0.912940 0.021227
1.782500 0.917074 0.021295
1.787500 0.924841 0.020100
1.792500 0.920931 0.014276
1.797500 0.901532 0.018632
1.802500 0.911709 0.020333
1.807500 0.918593 0.016874
1.812500 0.910806 0.007958
1.817500 0.914648 0.008610
1.822500 0.918409 0.010242
1.827500 0.929173 0.014806
1.832500 0.938857 0.017260
1.837500 0.934737 0.020198
1.842500 0.941299 0.020049
1.847500 0.946420 0.021347
1.852500 0.938341 0.021957
1.857500 0.936609 0.031051
1.862500 0.944730 0.028123
1.867500 0.940703 0.024559
1.872500 0.939826 0.021753
1.877500 0.944988 0.025428
1.882500 0.955511 0.026781
1.887500 0.947825 0.018945
1.892500 0.947921 0.014574
1.897500 0.949907 0.019959
1.902500 0.951279 0.024136
1.907500 0.964300 0.026738
1.912500 0.956324 0.029701
1.917500 0.952808 0.029916
1.922500 0.930189 0.010398
1.927500 0.927575 0.011072
1.932500 0.923288 0.017536
1.937500 0.936472 0.018488
1.942500 0.940477 0.015767
1.947500 0.941113 0.016289
1.952500 0.943082 0.016761
1.957500 0.942016 0.014304
1.962500 0.934452 0.013644
1.967500 0.915884 0.014370
1.972500 0.919857 0.016565
1.977500 0.915961 0.015504
1.982500 0.903992 0.014203
1.987500 0.901153 0.021614
1.992500 0.897312 0.018395
1.997500 0.913531 0.025594
2.002500 0.921317 0.030579
2.007500 0.917781 0.040271
2.012500 0.914545 0.035245
2.017500 0.906164 0.023520
