# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.638390 0.006684
0.707500 0.640205 0.007972
0.712500 0.647730 0.003799
0.717500 0.669838 0.005556
0.722500 0.662316 0.007667
0.727500 0.661119 0.011471
0.732500 0.666287 0.004946
0.737500 0.652807 0.005712
0.742500 0.655921 0.005207
0.747500 0.664223 0.004778
0.752500 0.670490 0.005433
0.757500 0.666387 0.003938
0.762500 0.676885 0.007622
0.767500 0.682204 0.004551
0.772500 0.672041 0.004452
0.777500 0.685998 0.007786
0.782500 0.680923 0.006021
0.787500 0.661154 0.005244
0.792500 0.665727 0.005944
0.797500 0.683604 0.006937
0.802500 0.683043 0.007792
0.807500 0.685187 0.003876
0.812500 0.681749 0.004567
0.817500 0.678656 0.005733
0.822500 0.681783 0.003526
0.827500 0.689331 0.007354
0.832500 0.699211 0.009407
0.837500 0.697718 0.005409
0.842500 0.693985 0.004271
0.847500 0.691539 0.004036
0.852500 0.679736 0.009734
0.857500 0.690589 0.003787
0.862500 0.695711 0.008849
0.867500 0.696518 0.007002
0.872500 0.702727 0.005742
0.877500 0.698959 0.006860
0.882500 0.692920 0.003680
0.887500 0.703252 0.004355
0.892500 0.704850 0.004745
0.897500 0.715433 0.003762
0.902500 0.717610 0.006126
0.907500 0.719066 0.005264
0.912500 0.721720 0.005333
0.917500 0.715102 0.003937
0.922500 0.715746 0.006380
0.927500 0.718736 0.005773
0.932500 0.727710 0.008320
0.937500 0.721907 0.006583
0.942500 0.715665 0.004662
0.947500 0.712668 0.004714
0.952500 0.716058 0.003265
0.957500 0.722158 0.004078
0.962500 0.721028 0.003666
0.967500 0.724536 0.003689
0.972500 0.735006 0.004454
0.977500 0.737093 0.005674
0.982500 0.740559 0.004461
0.987500 0.742436 0.007471
0.992500 0.740845 0.005741
0.997500 0.747690 0.007139
1.002500 0.757968 0.004307
1.007500 0.760271 0.004133
1.012500 0.753853 0.003884
1.017500 0.750886 0.004951
1.022500 0.753740 0.006541
1.027500 0.755306 0.005827
1.032500 0.758181 0.007088
1.037500 0.759918 0.004212
1.042500 0.758418 0.003402
1.047500 0.757452 0.004368
1.052500 0.758854 0.004062
1.057500 0.758426 0.003110
1.062500 0.765130 0.005037
1.067500 0.763978 0.005016
1.072500 0.765054 0.005663
1.077500 0.762794 0.004198
1.082500 0.766300 0.003624
1.087500 0.770558 0.003958
1.092500 0.765690 0.004624
1.097500 0.768444 0.005686
1.102500 0.773014 0.005815
1.107500 0.777844 0.002800
1.112500 0.780205 0.003954
1.117500 0.785108 0.004978
1.122500 0.783808 0.004508
1.127500 0.787058 0.003921
1.132500 0.786805 0.004085
1.137500 0.787933 0.004693
1.142500 0.788811 0.004424
1.147500 0.789798 0.003597
1.152500 0.792142 0.004393
1.157500 0.792292 0.004886
1.162500 0.792653 0.006523
1.167500 0.796026 0.006166
1.172500 0.796878 0.005956
1.177500 0.799481 0.004571
1.182500 0.806729 0.007949
1.187500 0.805781 0.006584
1.192500 0.805835 0.005234
1.197500 0.804291 0.004774
1.202500 0.805620 0.005564
1.207500 0.806177 0.005621
1.212500 0.804613 0.004692
1.217500 0.800047 0.005502
1.222500 0.793494 0.010226
1.227500 0.797439 0.009538
1.232500 0.798057 0.010560
1.237500 0.805675 0.009601
1.242500 0.802237 0.004223
1.247500 0.801052 0.003843
1.252500 0.798702 0.009189
1.257500 0.799006 0.010419
1.262500 0.808724 0.007396
1.267500 0.805208 0.012416
1.272500 0.799020 0.013557
1.277500 0.808984 0.013299
1.282500 0.817215 0.005112
1.287500 0.821403 0.007016
1.292500 0.826911 0.006255
1.297500 0.826734 0.007383
1.302500 0.830948 0.005522
1.307500 0.829790 0.004085
1.312500 0.826638 0.006379
1.317500 0.828602 0.004267
1.322500 0.822523 0.006971
1.327500 0.815825 0.007510
1.332500 0.816144 0.005031
1.337500 0.829331 0.004598
1.342500 0.827031 0.004997
1.347500 0.825065 0.005754
1.352500 0.832969 0.005467
1.357500 0.836919 0.005613
1.362500 0.835874 0.005079
1.367500 0.838110 0.007199
1.372500 0.841525 0.005967
1.377500 0.839116 0.005384
1.382500 0.841618 0.006250
1.387500 0.842676 0.006718
1.392500 0.846385 0.006351
1.397500 0.842500 0.007325
1.402500 0.841937 0.008449
1.407500 0.842233 0.008670
1.412500 0.844303 0.009804
1.417500 0.846227 0.010204
1.422500 0.842510 0.012552
1.427500 0.845362 0.006766
1.432500 0.839121 0.004215
1.437500 0.839381 0.004201
1.442500 0.836724 0.004531
1.447500 0.839707 0.006390
1.452500 0.845121 0.008703
1.457500 0.848886 0.008935
1.462500 0.848987 0.007636
1.467500 0.850450 0.006501
1.472500 0.850389 0.005620
1.477500 0.840894 0.006805
1.482500 0.838200 0.009107
1.487500 0.838520 0.010310
1.492500 0.839430 0.006913
1.497500 0.831501 0.007152
1.502500 0.829840 0.004821
1.507500 0.831029 0.005383
1.512500 0.836912 0.004503
1.517500 0.842033 0.010683
1.522500 0.845259 0.009343
1.527500 0.849131 0.005708
1.532500 0.855281 0.005152
1.537500 0.852463 0.005708
1.542500 0.842843 0.004653
1.547500 0.842523 0.007985
1.552500 0.840152 0.008336
1.557500 0.840345 0.012575
1.562500 0.843811 0.012569
1.567500 0.848186 0.008204
1.572500 0.845503 0.010489
1.577500 0.853139 0.003776
1.582500 0.855300 0.004566
1.587500 0.855722 0.004560
1.592500 0.854141 0.004130
1.597500 0.845754 0.006508
1.602500 0.846969 0.005878
1.607500 0.855561 0.007398
1.612500 0.854878 0.003847
1.617500 0.862541 0.005635
1.622500 0.863687 0.005161
1.627500 0.864066 0.004314
1.632500 0.865428 0.005079
1.637500 0.864596 0.007370
1.642500 0.866521 0.006562
1.647500 0.873359 0.004648
1.652500 0.871176 0.005603
1.657500 0.860955 0.006246
1.662500 0.870699 0.004623
1.667500 0.863157 0.003664
1.672500 0.871477 0.005921
1.677500 0.880240 0.007121
1.682500 0.880847 0.008108
1.687500 0.886171 0.009757
1.692500 0.885501 0.009712
1.697500 0.879887 0.005308
1.702500 0.888213 0.006132
1.707500 0.896018 0.004932
1.712500 0.896325 0.004728
1.717500 0.897080 0.003702
1.722500 0.900708 0.004510
1.727500 0.908771 0.004665
1.732500 0.905976 0.004781
1.737500 0.908257 0.004072
1.742500 0.909183 0.005095
1.747500 0.913131 0.003988
1.752500 0.906510 0.006313
1.757500 0.896479 0.007942
1.762500 0.898232 0.004163
1.767500 0.909609 0.004018
1.772500 0.914645 0.006866
1.777500 0.917417 0.006243
1.782500 0.909913 0.008720
1.787500 0.912846 0.006454
1.792500 0.906886 0.005525
1.797500 0.908352 0.006308
1.802500 0.911869 0.004281
1.807500 0.915609 0.005641
1.812500 0.910033 0.004674
1.817500 0.908423 0.004016
1.822500 0.912830 0.004546
1.827500 0.914048 0.005034
1.832500 0.918467 0.004983
1.837500 0.922394 0.004738
1.842500 0.929748 0.008728
1.847500 0.929215 0.006336
1.852500 0.922569 0.006153
1.857500 0.921473 0.004844
1.862500 0.931890 0.010558
1.867500 0.925004 0.005839
1.872500 0.920605 0.007476
1.877500 0.921905 0.006774
1.882500 0.936117 0.005355
1.887500 0.930791 0.008209
1.892500 0.935838 0.005395
1.897500 0.939809 0.004737
1.902500 0.936085 0.005863
1.907500 0.920831 0.010523
1.912500 0.923641 0.010562
1.917500 0.927812 0.007337
1.922500 0.919443 0.004331
1.927500 0.924993 0.004077
