# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.854551 0.007964
0.707500 0.866582 0.010464
0.712500 0.866134 0.008984
0.717500 0.874655 0.013656
0.722500 0.890586 0.005666
0.727500 0.880204 0.017178
0.732500 0.882304 0.008005
0.737500 0.893015 0.012251
0.742500 0.880876 0.010793
0.747500 0.879467 0.007578
0.752500 0.905425 0.008611
0.757500 0.898927 0.017993
0.762500 0.901295 0.009521
0.767500 0.899490 0.006269
0.772500 0.903380 0.006852
0.777500 0.905350 0.010209
0.782500 0.909327 0.006969
0.787500 0.894888 0.006332
0.792500 0.878135 0.005420
0.797500 0.895588 0.005014
0.802500 0.916834 0.007282
0.807500 0.929496 0.009257
0.812500 0.928170 0.008545
0.817500 0.919217 0.008016
0.822500 0.933911 0.010301
0.827500 0.926936 0.008739
0.832500 0.922481 0.007407
0.837500 0.930682 0.004820
0.842500 0.929002 0.010995
0.847500 0.928629 0.008072
0.852500 0.923918 0.010021
0.857500 0.925514 0.009136
0.862500 0.930768 0.006370
0.867500 0.924807 0.004628
0.872500 0.930084 0.005570
0.877500 0.940040 0.005803
0.882500 0.942800 0.004488
0.887500 0.940145 0.010740
0.892500 0.944151 0.014076
0.897500 0.938550 0.007709
0.902500 0.940064 0.008873
0.907500 0.946995 0.011226
0.912500 0.955539 0.008838
0.917500 0.948422 0.008301
0.922500 0.952780 0.006040
0.927500 0.952403 0.005111
0.932500 0.959802 0.005039
0.937500 0.954309 0.005444
0.942500 0.960189 0.006504
0.947500 0.965515 0.011491
0.952500 0.966454 0.009750
0.957500 0.958609 0.006656
0.962500 0.961805 0.007470
0.967500 0.966735 0.009221
0.972500 0.969652 0.006858
0.977500 0.967617 0.006856
0.982500 0.979957 0.011501
0.987500 0.985935 0.010821
0.992500 0.985266 0.006743
0.997500 0.983444 0.007948
1.002500 0.985297 0.007237
1.007500 0.987989 0.005525
1.012500 0.990411 0.006110
1.017500 0.986998 0.005658
1.022500 0.989701 0.010115
1.027500 0.982186 0.010751
1.032500 0.983395 0.006586
1.037500 0.986782 0.006676
1.042500 0.984867 0.006573
1.047500 0.984842 0.007677
1.052500 0.981341 0.004636
1.057500 0.982193 0.004601
1.062500 0.982810 0.004523
1.067500 0.982425 0.003508
1.072500 0.988323 0.005634
1.077500 0.993847 0.006201
1.082500 1.001644 0.007926
1.087500 1.006171 0.007485
1.092500 1.003771 0.007255
1.097500 1.001048 0.007465
1.102500 1.001125 0.007551
1.107500 1.005813 0.009305
1.112500 1.010795 0.006623
1.117500 1.014582 0.007747
1.122500 1.013165 0.005751
1.127500 1.022379 0.007155
1.132500 1.032520 0.007919
1.137500 1.029120 0.005034
1.142500 1.029707 0.005084
1.147500 1.028158 0.005155
1.152500 1.025177 0.005235
1.157500 1.025393 0.006378
1.162500 1.024019 0.005013
1.167500 1.030737 0.005524
1.172500 1.028859 0.006216
1.177500 1.033186 0.007191
1.182500 1.042263 0.008343
1.187500 1.042066 0.008720
1.192500 1.043109 0.008444
1.197500 1.040849 0.007212
1.202500 1.042833 0.007381
1.207500 1.034946 0.005605
1.212500 1.043402 0.006896
1.217500 1.038239 0.006785
1.222500 1.029542 0.005122
1.227500 1.025625 0.005005
1.232500 1.026761 0.005694
1.237500 1.040950 0.005212
1.242500 1.045761 0.011466
1.247500 1.032290 0.009868
1.252500 1.033819 0.012824
1.257500 1.033409 0.005508
1.262500 1.025938 0.009486
1.267500 1.035980 0.005247
1.272500 1.025586 0.004728
1.277500 1.032515 0.009581
1.282500 1.042612 0.008036
1.287500 1.048297 0.008498
1.292500 1.059118 0.007385
1.297500 1.047511 0.006355
1.302500 1.041012 0.005512
1.307500 1.042786 0.005097
1.312500 1.043403 0.005046
1.317500 1.047132 0.007350
1.322500 1.050088 0.007985
1.327500 1.046080 0.009430
1.332500 1.044429 0.008858
1.337500 1.049050 0.009557
1.342500 1.043823 0.005429
1.347500 1.047806 0.004516
1.352500 1.047214 0.005003
1.357500 1.056568 0.004701
1.362500 1.062185 0.009782
1.367500 1.062902 0.009674
1.372500 1.062692 0.009652
1.377500 1.052096 0.005762
1.382500 1.055171 0.005834
1.387500 1.057345 0.005266
1.392500 1.061833 0.005200
1.397500 1.062087 0.006773
1.402500 1.054788 0.006127
1.407500 1.051010 0.005327
1.412500 1.054667 0.005922
1.417500 1.056484 0.005332
1.422500 1.053079 0.008146
1.427500 1.055992 0.007892
1.432500 1.058963 0.006568
1.437500 1.052534 0.005456
1.442500 1.055854 0.006558
1.447500 1.053577 0.008509
1.452500 1.048067 0.007436
1.457500 1.049043 0.007359
1.462500 1.041167 0.012362
1.467500 1.036454 0.015523
1.472500 1.039390 0.010836
1.477500 1.024705 0.006430
1.482500 1.021834 0.007221
1.487500 1.021493 0.008899
1.492500 1.016344 0.009872
1.497500 1.010265 0.006313
1.502500 1.002916 0.007078
1.507500 1.001152 0.012170
1.512500 0.997851 0.010630
1.517500 1.001742 0.011292
1.522500 0.996998 0.010826
1.527500 0.993326 0.014877
1.532500 0.991683 0.012060
1.537500 0.987088 0.010299
1.542500 0.989843 0.011436
1.547500 0.997119 0.010936
1.552500 1.005269 0.008968
1.557500 0.998340 0.009540
1.562500 0.995020 0.005098
1.567500 0.997410 0.005703
1.572500 1.007858 0.005209
1.577500 1.006288 0.004331
1.582500 1.003518 0.007640
1.587500 1.002288 0.006623
1.592500 1.006161 0.008736
1.597500 1.022212 0.015690
1.602500 1.020879 0.008858
1.607500 1.023130 0.009283
1.612500 1.027173 0.009157
1.617500 1.026737 0.008387
1.622500 1.034251 0.005519
1.627500 1.033179 0.005357
1.632500 1.040091 0.004354
1.637500 1.041357 0.007798
1.642500 1.026817 0.005259
1.647500 1.032469 0.005574
1.652500 1.032256 0.006430
1.657500 1.029624 0.011284
1.662500 1.026692 0.010929
1.667500 1.033301 0.011826
1.672500 1.044188 0.019341
1.677500 1.052410 0.011101
1.682500 1.075871 0.012510
1.687500 1.088152 0.019682
1.692500 1.084748 0.009945
1.697500 1.090593 0.006883
