# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.516855 0.011201
0.707500 0.529841 0.022117
0.712500 0.533095 0.011260
0.717500 0.543452 0.009172
0.722500 0.544603 0.009342
0.727500 0.525660 0.005142
0.732500 0.554292 0.005868
0.737500 0.564661 0.004874
0.742500 0.567726 0.005605
0.747500 0.582921 0.004704
0.752500 0.580875 0.007785
0.757500 0.577674 0.008193
0.762500 0.591750 0.005601
0.767500 0.610844 0.003917
0.772500 0.605638 0.004373
0.777500 0.611092 0.004994
0.782500 0.615259 0.004750
0.787500 0.605183 0.007295
0.792500 0.599307 0.006553
0.797500 0.599866 0.004861
0.802500 0.596139 0.003095
0.807500 0.611013 0.007674
0.812500 0.652859 0.004123
0.817500 0.667466 0.009962
0.822500 0.679071 0.006318
0.827500 0.680449 0.005049
0.832500 0.674650 0.003685
0.837500 0.671347 0.003636
0.842500 0.671974 0.004390
0.847500 0.679511 0.005130
0.852500 0.680881 0.003744
0.857500 0.687491 0.005829
0.862500 0.703534 0.003992
0.867500 0.705254 0.004015
0.872500 0.712724 0.004599
0.877500 0.714319 0.005463
0.882500 0.719250 0.004678
0.887500 0.725095 0.004186
0.892500 0.732416 0.004564
0.897500 0.736513 0.004094
0.902500 0.741899 0.006107
0.907500 0.744527 0.004796
0.912500 0.745954 0.006457
0.917500 0.743319 0.005039
0.922500 0.753760 0.004231
0.927500 0.755462 0.004147
0.932500 0.763051 0.004386
0.937500 0.763522 0.003716
0.942500 0.769500 0.004984
0.947500 0.778189 0.003618
0.952500 0.780989 0.003752
0.957500 0.783695 0.003441
0.962500 0.790189 0.005370
0.967500 0.799284 0.007192
0.972500 0.806270 0.007211
0.977500 0.811388 0.010095
0.982500 0.821428 0.004951
0.987500 0.824933 0.005286
0.992500 0.831867 0.004213
0.997500 0.834662 0.005245
1.002500 0.837018 0.004741
1.007500 0.838015 0.008229
1.012500 0.834143 0.010266
1.017500 0.840303 0.010608
1.022500 0.851467 0.006156
1.027500 0.849428 0.005556
1.032500 0.855630 0.003976
1.037500 0.860966 0.005705
1.042500 0.858150 0.004879
1.047500 0.860726 0.004807
1.052500 0.865122 0.007736
1.057500 0.868979 0.006917
1.062500 0.872097 0.007137
1.067500 0.876813 0.007955
1.072500 0.879443 0.005655
1.077500 0.884076 0.010473
1.082500 0.894745 0.006470
1.087500 0.900032 0.004117
1.092500 0.904376 0.004648
1.097500 0.900118 0.006612
1.102500 0.902979 0.005427
1.107500 0.903440 0.005788
1.112500 0.908941 0.005692
1.117500 0.919392 0.008950
1.122500 0.924109 0.005974
1.127500 0.931782 0.006642
1.132500 0.931069 0.007357
1.137500 0.931785 0.005667
1.142500 0.944276 0.005267
1.147500 0.943009 0.005118
1.152500 0.942928 0.004214
1.157500 0.942542 0.004411
1.162500 0.943942 0.004995
1.167500 0.945617 0.005186
1.172500 0.943757 0.005440
1.177500 0.946390 0.005435
1.182500 0.956251 0.006887
1.187500 0.954090 0.006934
1.192500 0.964725 0.006810
1.197500 0.972896 0.006289
1.202500 0.975842 0.007921
1.207500 0.970250 0.009538
1.212500 0.979491 0.007034
1.217500 0.985340 0.007737
1.222500 0.981533 0.007575
1.227500 0.986481 0.007059
1.232500 0.993489 0.008015
1.237500 0.989573 0.005637
1.242500 0.983948 0.006797
1.247500 0.987230 0.005411
1.252500 0.983821 0.005344
1.257500 0.989885 0.006537
1.262500 0.993972 0.006915
1.267500 0.993337 0.006517
1.272500 1.000813 0.005135
1.277500 1.000424 0.009175
1.282500 1.001244 0.005245
1.287500 1.000837 0.007122
1.292500 1.002705 0.008646
1.297500 1.003569 0.008344
1.302500 1.010819 0.004449
1.307500 1.012309 0.007999
1.312500 1.016965 0.006477
1.317500 1.021271 0.004189
1.322500 1.021846 0.004688
1.327500 1.020601 0.005935
1.332500 1.021530 0.008803
1.337500 1.020595 0.008907
1.342500 1.020155 0.007277
1.347500 1.019804 0.006878
1.352500 1.022942 0.005429
1.357500 1.029320 0.005750
1.362500 1.030706 0.006221
1.367500 1.033038 0.007436
1.372500 1.036279 0.006915
1.377500 1.032607 0.005723
1.382500 1.033267 0.007727
1.387500 1.033341 0.006500
1.392500 1.034879 0.007946
1.397500 1.035730 0.009395
1.402500 1.037701 0.009280
1.407500 1.040500 0.007007
1.412500 1.040666 0.007385
1.417500 1.044635 0.007323
1.422500 1.045352 0.008375
1.427500 1.051427 0.010016
1.432500 1.050739 0.011508
1.437500 1.044612 0.010735
1.442500 1.043584 0.010778
1.447500 1.045477 0.007851
1.452500 1.044226 0.009306
1.457500 1.045596 0.007909
1.462500 1.042795 0.006043
1.467500 1.027988 0.006308
1.472500 1.030380 0.005455
1.477500 1.028732 0.006568
1.482500 1.023542 0.005276
1.487500 1.028337 0.005611
1.492500 1.025953 0.005344
1.497500 1.024191 0.005447
1.502500 1.021259 0.004724
1.507500 1.025455 0.006211
1.512500 1.021053 0.009065
1.517500 1.020071 0.006481
1.522500 1.022593 0.008349
1.527500 1.019479 0.006156
1.532500 1.018114 0.006596
1.537500 1.005249 0.003803
1.542500 1.005812 0.006135
1.547500 1.012843 0.006621
1.552500 1.019396 0.005972
1.557500 1.018994 0.008509
1.562500 1.016184 0.007719
1.567500 1.020586 0.005924
1.572500 1.025791 0.003871
1.577500 1.021201 0.005541
1.582500 1.014610 0.004870
1.587500 1.020218 0.005871
1.592500 1.022141 0.004870
1.597500 1.014861 0.004609
1.602500 1.011011 0.007050
1.607500 1.015885 0.006935
1.612500 1.021060 0.006498
1.617500 1.034695 0.004587
1.622500 1.042576 0.004182
1.627500 1.040589 0.005512
1.632500 1.051861 0.003834
1.637500 1.049459 0.005335
1.642500 1.048445 0.006866
1.647500 1.050880 0.004784
1.652500 1.056650 0.005654
1.657500 1.058249 0.005665
1.662500 1.065534 0.007068
1.667500 1.060542 0.010404
1.672500 1.067817 0.008196
1.677500 1.067961 0.006844
1.682500 1.067257 0.004360
1.687500 1.071304 0.005330
1.692500 1.069556 0.008056
1.697500 1.067178 0.006972
1.702500 1.072635 0.006805
1.707500 1.079735 0.009437
1.712500 1.080776 0.008391
1.717500 1.079778 0.009036
1.722500 1.083051 0.010676
1.727500 1.083070 0.007411
1.732500 1.085122 0.006697
1.737500 1.080517 0.005896
1.742500 1.078163 0.004140
1.747500 1.085268 0.005939
1.752500 1.086043 0.006393
1.757500 1.082750 0.006561
1.762500 1.087264 0.008127
1.767500 1.095793 0.009615
1.772500 1.089186 0.008031
1.777500 1.082867 0.007175
1.782500 1.087534 0.007774
1.787500 1.095968 0.005981
1.792500 1.096477 0.007697
1.797500 1.096591 0.009906
1.802500 1.090497 0.005499
1.807500 1.098541 0.006230
1.812500 1.102162 0.005851
1.817500 1.104780 0.006460
1.822500 1.112527 0.005766
1.827500 1.110404 0.007453
1.832500 1.107081 0.006051
1.837500 1.104658 0.004455
1.842500 1.113038 0.004705
1.847500 1.119597 0.005345
1.852500 1.118583 0.004621
1.857500 1.120121 0.005847
1.862500 1.130920 0.005160
1.867500 1.132665 0.007357
1.872500 1.130169 0.007958
1.877500 1.120422 0.006144
1.882500 1.120678 0.006132
1.887500 1.125306 0.005752
1.892500 1.122937 0.006372
1.897500 1.119776 0.005542
1.902500 1.116839 0.007679
1.907500 1.111558 0.006250
1.912500 1.094242 0.010589
1.917500 1.086190 0.009460
1.922500 1.084245 0.007080
1.927500 1.064128 0.007580
1.932500 1.051109 0.010744
1.937500 1.049464 0.006838
1.942500 1.044507 0.005382
1.947500 1.020073 0.010102
1.952500 1.019233 0.010541
1.957500 1.014678 0.008619
1.962500 1.010637 0.008447
1.967500 0.999865 0.006385
1.972500 1.000571 0.005680
1.977500 0.999602 0.004722
1.982500 0.992370 0.003865
1.987500 0.984523 0.009700
1.992500 0.993758 0.005483
1.997500 0.996553 0.007955
2.002500 0.998142 0.004466
2.007500 1.001758 0.007449
2.012500 1.010127 0.010005
2.017500 1.003135 0.008736
2.022500 1.004786 0.005382
2.027500 1.008593 0.004074
2.032500 1.009078 0.006516
2.037500 1.006590 0.009191
2.042500 1.007428 0.011840
2.047500 1.009361 0.009899
2.052500 1.010092 0.011086
2.057500 1.015014 0.014893
2.062500 1.016888 0.005766
2.067500 1.027562 0.011392
2.072500 1.021120 0.017022
2.077500 1.011301 0.012747
2.082500 1.022600 0.012213
2.087500 1.012742 0.009395
2.092500 1.007219 0.007521
2.097500 1.018068 0.007157
2.102500 1.026933 0.006647
2.107500 1.032120 0.003674
2.112500 1.040751 0.003434
2.117500 1.049070 0.004503
2.122500 1.056739 0.003413
2.127500 1.048903 0.007742
2.132500 1.051125 0.007110
2.137500 1.044895 0.007024
2.142500 1.049278 0.010533
2.147500 1.058786 0.007184
2.152500 1.069061 0.003636
2.157500 1.070329 0.003768
2.162500 1.059767 0.009239
2.167500 1.058823 0.008908
2.172500 1.066968 0.011038
2.177500 1.073809 0.012129
2.182500 1.075580 0.006748
2.187500 1.076128 0.005809
2.192500 1.077079 0.004170
2.197500 1.081217 0.011024
2.202500 1.080863 0.008278
2.207500 1.076302 0.010895
2.212500 1.078190 0.006644
2.217500 1.086430 0.011114
2.222500 1.087658 0.010659
2.227500 1.082736 0.012904
2.232500 1.069302 0.016270
2.237500 1.056468 0.007792
2.242500 1.054462 0.006592
2.247500 1.028743 0.010402
2.252500 1.009722 0.005676
2.257500 1.007377 0.008579
2.262500 0.974896 0.008286
2.267500 0.949928 0.009986
2.272500 0.926660 0.006621
2.277500 0.937297 0.010070
2.282500 0.930819 0.008980
2.287500 0.937727 0.006737
2.292500 0.943138 0.005524
2.297500 0.956153 0.002691
2.302500 0.954376 0.005628
2.307500 0.957555 0.007199
2.312500 0.951782 0.008212
2.317500 0.952813 0.007244
2.322500 0.962272 0.011465
2.327500 0.961221 0.004748
2.332500 0.959912 0.004746
2.337500 0.970745 0.002775
2.342500 0.974990 0.003054
2.347500 0.983248 0.002596
2.352500 0.992861 0.006231
2.357500 0.991889 0.004696
2.362500 1.004536 0.005822
2.367500 1.006937 0.013167
2.372500 1.008264 0.007061
2.377500 1.007416 0.003558
2.382500 1.008223 0.010708
2.387500 1.023500 0.010894
2.392500 1.022284 0.017169
2.397500 1.005048 0.003832
2.402500 1.013253 0.005836
2.407500 1.012757 0.004429
2.412500 1.017363 0.009448
2.417500 1.019553 0.007980
2.422500 1.007601 0.002169
2.427500 0.996217 0.012577
2.432500 0.988001 0.007696
2.437500 0.988369 0.004555
2.442500 0.980668 0.015704
2.447500 0.959368 0.010189
2.452500 0.964368 0.009198
2.457500 0.963243 0.002550
2.462500 0.959276 0.003336
2.467500 0.961854 0.003751
2.472500 0.942613 0.008099
2.477500 0.932864 0.012227
2.482500 0.939846 0.007395
2.487500 0.932878 0.012324
2.492500 0.906711 0.010276
2.497500 0.918350 0.005983
2.502500 0.922714 0.002056
2.507500 0.933362 0.004119
2.512500 0.943932 0.005889
2.517500 0.941522 0.002907
2.522500 0.950177 0.004585
2.527500 0.954923 0.007023
2.532500 0.949807 0.006234
2.537500 0.946206 0.012505
2.542500 0.958607 0.006411
2.547500 0.962264 0.006156
2.552500 0.975402 0.007261
2.557500 0.975313 0.004600
2.562500 0.977782 0.004156
2.567500 0.992459 0.008834
2.572500 0.997387 0.006960
2.577500 1.003352 0.004133
2.582500 1.002986 0.002700
2.587500 1.000231 0.003209
2.592500 0.996897 0.004358
2.597500 0.991913 0.002601
2.602500 0.989764 0.004309
2.607500 0.991190 0.002461
2.612500 0.995965 0.006065
2.617500 1.004020 0.007226
2.622500 1.003000 0.011219
2.627500 1.000000 0.011624
2.632500 0.993554 0.010189
2.637500 0.987774 0.005934
2.642500 0.976094 0.005470
2.647500 0.968372 0.001904
2.652500 0.970191 0.005227
2.657500 0.954156 0.003553
2.662500 0.945840 0.004312
2.667500 0.936637 0.007261
2.672500 0.912823 0.009795
2.677500 0.895194 0.004170
2.682500 0.878096 0.002947
2.687500 0.829660 0.020194
2.692500 0.802129 0.007297
2.697500 0.754297 0.013637
2.702500 0.708860 0.002651
2.707500 0.697848 0.003590
2.712500 0.690004 0.012094
2.717500 0.687983 0.008218
2.722500 0.687325 0.001605
2.727500 0.681771 0.003789
2.732500 0.675239 0.003082
2.737500 0.650774 0.003620
2.742500 0.616907 0.013464
2.747500 0.586971 0.015543
2.752500 0.549422 0.007594
2.757500 0.521042 0.012015
2.762500 0.485884 0.004453
2.767500 0.455231 0.008757
2.772500 0.418204 0.007480
2.777500 0.382711 0.004967
2.782500 0.350500 0.009185
2.787500 0.318185 0.000949
2.792500 0.286885 0.012521
2.797500 0.256010 0.005827
2.802500 0.239168 0.008839
2.807500 0.215423 0.009268
2.812500 0.191187 0.006444
2.817500 0.171581 0.003924
2.822500 0.147318 0.004507
2.827500 0.130656 0.003694
2.832500 0.115496 0.001067
2.837500 0.102849 0.003397
2.842500 0.085871 0.003382
2.847500 0.075400 0.006212
2.852500 0.062141 0.002566
2.857500 0.058844 0.002755
2.862500 0.054571 0.001972
2.867500 0.047019 0.002253
2.872500 0.039087 0.000559
2.877500 0.037306 0.000916
2.882500 0.034919 0.002552
2.887500 0.028898 0.002521
2.892500 0.026492 0.002452
2.897500 0.020974 0.002531
2.902500 0.019665 0.001261
2.907500 0.020694 0.001771
2.912500 0.023162 0.002855
2.917500 0.019754 0.001262
2.922500 0.017129 0.002259
2.927500 0.016512 0.001358
2.932500 0.012648 0.002538
2.937500 0.014773 0.004578
2.942500 0.014328 0.004164
2.947500 0.014223 0.003409
2.952500 0.014065 0.002949
2.957500 0.011124 0.002151
2.962500 0.011632 0.002648
2.967500 0.011558 0.002241
2.972500 0.010528 0.001007
2.977500 0.009164 0.002520
2.982500 0.007647 0.001235
2.987500 0.013055 0.002195
2.992500 0.013900 0.001872
2.997500 0.015397 0.002083
3.002500 0.015631 0.000506
3.007500 0.014559 0.001536
3.012500 0.015029 0.000475
3.017500 0.015823 0.002093
3.022500 0.017892 0.000884
3.027500 0.015594 0.001261
3.032500 0.014959 0.001674
3.037500 0.014980 0.000223
3.042500 0.015494 0.000422
3.047500 0.016802 0.000862
3.052500 0.020970 0.003479
3.057500 0.020145 0.002109
3.062500 0.021600 0.003368
3.067500 0.021038 0.001069
3.072500 0.018063 0.002727
3.077500 0.018071 0.001678
3.082500 0.020861 0.003053
3.087500 0.020872 0.005644
3.092500 0.019697 0.006799
3.097500 0.022098 0.005791
3.102500 0.024277 0.004433
3.107500 0.025763 0.005829
3.112500 0.025289 0.005977
3.117500 0.026883 0.006832
3.122500 0.029006 0.005626
3.127500 0.032842 0.006187
3.132500 0.035357 0.006043
3.137500 0.038729 0.002995
3.142500 0.034290 0.003745
3.147500 0.038222 0.004550
3.152500 0.034206 0.006507
3.157500 0.035773 0.004565
3.162500 0.035282 0.001681
3.167500 0.036800 0.003482
3.172500 0.035654 0.004868
3.177500 0.039839 0.004950
3.182500 0.042548 0.006690
3.187500 0.046904 0.004949
3.192500 0.045203 0.000652
3.197500 0.046959 0.005643
3.202500 0.053279 0.005513
3.207500 0.054571 0.002953
3.212500 0.055594 0.002899
3.217500 0.054940 0.006788
3.222500 0.066464 0.004479
3.227500 0.068631 0.005480
3.232500 0.074988 0.005704
3.237500 0.077078 0.003496
3.242500 0.076179 0.002267
3.247500 0.076377 0.004180
3.252500 0.079782 0.004501
3.257500 0.088671 0.002416
3.262500 0.094219 0.005911
3.267500 0.101093 0.006213
3.272500 0.109174 0.002346
3.277500 0.109936 0.002517
3.282500 0.113424 0.003181
3.287500 0.114873 0.004399
3.292500 0.117263 0.002240
3.297500 0.119459 0.003154
3.302500 0.119719 0.003891
3.307500 0.139277 0.003566
3.312500 0.148366 0.008029
3.317500 0.148348 0.003055
3.322500 0.147139 0.005521
3.327500 0.147226 0.007028
3.332500 0.147713 0.007412
3.337500 0.145653 0.007795
3.342500 0.138250 0.003583
3.347500 0.135946 0.004937
3.352500 0.134681 0.004834
3.357500 0.129796 0.002747
3.362500 0.127943 0.001497
3.367500 0.125142 0.004285
3.372500 0.121219 0.008146
3.377500 0.121600 0.005539
3.382500 0.131953 0.014683
3.387500 0.142099 0.013612
3.392500 0.156057 0.014226
3.397500 0.153415 0.010578
3.402500 0.151130 0.009391
3.407500 0.146718 0.010031
3.412500 0.133352 0.006376
3.417500 0.130602 0.004811
3.422500 0.136287 0.011324
3.427500 0.146681 0.013801
3.432500 0.143110 0.006019
3.437500 0.162555 0.009484
3.442500 0.168056 0.008418
3.447500 0.161743 0.008172
3.452500 0.160617 0.008010
3.457500 0.169809 0.003130
3.462500 0.173380 0.007624
3.467500 0.172488 0.003558
3.472500 0.159407 0.001667
3.477500 0.158078 0.003901
3.482500 0.164703 0.004013
3.487500 0.169181 0.007000
3.492500 0.160961 0.004209
3.497500 0.165510 0.012550
3.502500 0.175094 0.005132
3.507500 0.175426 0.002689
3.512500 0.176249 0.006804
3.517500 0.172427 0.009961
3.522500 0.173441 0.008406
3.527500 0.171892 0.003546
3.532500 0.170403 0.000938
3.537500 0.170608 0.003033
3.542500 0.174047 0.006279
3.547500 0.182765 0.007488
3.552500 0.187970 0.002433
3.557500 0.197367 0.003045
3.562500 0.211047 0.005124
3.567500 0.218074 0.003703
3.572500 0.223855 0.000977
3.577500 0.218782 0.004388
3.582500 0.237265 0.003882
3.587500 0.248605 0.003196
3.592500 0.260450 0.009123
3.597500 0.271774 0.005646
3.602500 0.274385 0.003943
3.607500 0.290505 0.008999
3.612500 0.299434 0.006420
3.617500 0.307186 0.016631
3.622500 0.296980 0.006875
3.627500 0.303642 0.005839
3.632500 0.306917 0.009014
3.637500 0.318605 0.005925
3.642500 0.305520 0.014255
3.647500 0.305752 0.014506
3.652500 0.295708 0.010046
3.657500 0.295327 0.009957
3.662500 0.298914 0.008634
