# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.584496 0.016921
0.707500 0.588123 0.014169
0.712500 0.567820 0.009589
0.717500 0.583750 0.029448
0.722500 0.580939 0.025968
0.727500 0.574008 0.018104
0.732500 0.599096 0.008618
0.737500 0.617592 0.006875
0.742500 0.612079 0.006943
0.747500 0.616423 0.007253
0.752500 0.609900 0.012608
0.757500 0.615554 0.012675
0.762500 0.628947 0.014078
0.767500 0.638290 0.013976
0.772500 0.634256 0.015257
0.777500 0.637783 0.011311
0.782500 0.639679 0.009778
0.787500 0.626593 0.010471
0.792500 0.629724 0.013918
0.797500 0.634703 0.013242
0.802500 0.627580 0.010704
0.807500 0.650142 0.008349
0.812500 0.691481 0.011458
0.817500 0.701489 0.015838
0.822500 0.702834 0.013359
0.827500 0.707890 0.008689
0.832500 0.702160 0.011093
0.837500 0.697656 0.012919
0.842500 0.697024 0.007257
0.847500 0.698004 0.009443
0.852500 0.696110 0.014887
0.857500 0.708027 0.016310
0.862500 0.715278 0.010572
0.867500 0.718408 0.006981
0.872500 0.728159 0.014929
0.877500 0.732546 0.014606
0.882500 0.738507 0.014132
0.887500 0.743584 0.011049
0.892500 0.750487 0.016615
0.897500 0.755522 0.015288
0.902500 0.758400 0.012513
0.907500 0.759808 0.010220
0.912500 0.762390 0.009286
0.917500 0.770538 0.007788
0.922500 0.773439 0.009545
0.927500 0.779419 0.005990
0.932500 0.786042 0.004019
0.937500 0.783984 0.007136
0.942500 0.799436 0.003782
0.947500 0.791697 0.005271
0.952500 0.787318 0.008110
0.957500 0.785801 0.008693
0.962500 0.796818 0.009045
0.967500 0.818663 0.007481
0.972500 0.822394 0.008998
0.977500 0.817317 0.016937
0.982500 0.823822 0.018324
0.987500 0.835435 0.017115
0.992500 0.847505 0.009157
0.997500 0.849957 0.009672
1.002500 0.845708 0.011859
1.007500 0.852820 0.014350
1.012500 0.852668 0.014019
1.017500 0.862665 0.008038
1.022500 0.870203 0.010632
1.027500 0.865533 0.012775
1.032500 0.862177 0.014444
1.037500 0.869154 0.014824
1.042500 0.868284 0.015160
1.047500 0.876165 0.010397
1.052500 0.874843 0.012760
1.057500 0.877299 0.014462
1.062500 0.883022 0.012344
1.067500 0.882335 0.004575
1.072500 0.880635 0.005250
1.077500 0.885800 0.004136
1.082500 0.890034 0.011317
1.087500 0.899242 0.010895
1.092500 0.906980 0.010857
1.097500 0.907305 0.009694
1.102500 0.915488 0.011154
1.107500 0.919380 0.006019
1.112500 0.922984 0.008423
1.117500 0.931919 0.009207
1.122500 0.933534 0.007492
1.127500 0.940949 0.009497
1.132500 0.947130 0.009283
1.137500 0.948738 0.007387
1.142500 0.951957 0.005855
1.147500 0.949663 0.007437
1.152500 0.948216 0.007800
1.157500 0.950791 0.006604
1.162500 0.955519 0.005787
1.167500 0.953102 0.009087
1.172500 0.954242 0.009285
1.177500 0.957913 0.007046
1.182500 0.965083 0.012868
1.187500 0.963150 0.012478
1.192500 0.968629 0.011714
1.197500 0.971002 0.016214
1.202500 0.974625 0.013268
1.207500 0.979028 0.011152
1.212500 0.983781 0.013256
1.217500 0.994573 0.006858
1.222500 0.991633 0.004910
1.227500 0.987479 0.008010
1.232500 0.995298 0.006143
1.237500 0.996227 0.007856
1.242500 0.990501 0.005188
1.247500 0.989085 0.004504
1.252500 0.984195 0.006214
1.257500 0.985897 0.010541
1.262500 0.977531 0.015329
1.267500 0.989683 0.009799
1.272500 1.000552 0.006986
1.277500 0.997442 0.006062
1.282500 0.997507 0.007440
1.287500 0.992288 0.008387
1.292500 0.996147 0.005664
1.297500 1.001000 0.007424
1.302500 1.012769 0.004468
1.307500 1.020821 0.005409
1.312500 1.020149 0.009128
1.317500 1.022329 0.010233
1.322500 1.023462 0.011740
1.327500 1.021413 0.011403
1.332500 1.022358 0.011543
1.337500 1.028093 0.007899
1.342500 1.025567 0.006893
1.347500 1.030672 0.006420
1.352500 1.028642 0.005600
1.357500 1.032506 0.005005
1.362500 1.035204 0.004834
1.367500 1.032158 0.008336
1.372500 1.037140 0.006821
1.377500 1.031068 0.008959
1.382500 1.028453 0.010433
1.387500 1.032365 0.006662
1.392500 1.031052 0.005519
1.397500 1.033316 0.007574
1.402500 1.033798 0.012308
1.407500 1.047030 0.011130
1.412500 1.051759 0.009546
1.417500 1.041098 0.013217
1.422500 1.048740 0.012629
1.427500 1.042855 0.009346
1.432500 1.040407 0.013691
1.437500 1.041089 0.013924
1.442500 1.045054 0.009332
1.447500 1.042407 0.011409
1.452500 1.042281 0.012981
1.457500 1.040667 0.014488
1.462500 1.037901 0.012585
1.467500 1.032620 0.010355
1.472500 1.041779 0.010647
1.477500 1.045273 0.008258
1.482500 1.044712 0.008288
1.487500 1.042422 0.010647
1.492500 1.048521 0.005732
1.497500 1.046635 0.008935
1.502500 1.042573 0.009637
1.507500 1.044563 0.010672
1.512500 1.043446 0.010912
1.517500 1.038171 0.014210
1.522500 1.048135 0.010654
1.527500 1.046295 0.009367
1.532500 1.047487 0.011099
1.537500 1.039133 0.011794
1.542500 1.042255 0.008166
1.547500 1.035775 0.010881
1.552500 1.042905 0.009516
1.557500 1.049920 0.007561
1.562500 1.049419 0.008082
1.567500 1.040607 0.010954
1.572500 1.052802 0.007122
1.577500 1.054678 0.006451
1.582500 1.048742 0.005785
1.587500 1.048415 0.007691
1.592500 1.054350 0.007629
1.597500 1.051956 0.012344
1.602500 1.056987 0.008573
1.607500 1.063100 0.010042
1.612500 1.059648 0.011922
1.617500 1.060458 0.009754
1.622500 1.063838 0.006365
1.627500 1.064345 0.004944
1.632500 1.073091 0.003575
1.637500 1.076599 0.006943
1.642500 1.085247 0.006719
1.647500 1.091289 0.005750
1.652500 1.091761 0.005338
1.657500 1.091286 0.005334
1.662500 1.087660 0.011027
1.667500 1.094488 0.013222
1.672500 1.095318 0.022920
1.677500 1.091091 0.014141
1.682500 1.080093 0.008822
1.687500 1.089684 0.006878
1.692500 1.092429 0.008800
1.697500 1.093004 0.004664
1.702500 1.097312 0.005828
1.707500 1.093842 0.014956
1.712500 1.096313 0.013477
1.717500 1.094432 0.009752
1.722500 1.095029 0.006581
1.727500 1.096750 0.009761
1.732500 1.098715 0.008467
1.737500 1.097438 0.005802
1.742500 1.091058 0.007713
1.747500 1.084155 0.007131
1.752500 1.095451 0.013288
1.757500 1.095095 0.010940
1.762500 1.090579 0.014401
1.767500 1.099601 0.015067
1.772500 1.100332 0.011229
1.777500 1.095086 0.014119
1.782500 1.097178 0.013386
1.787500 1.105683 0.016127
1.792500 1.089766 0.018012
1.797500 1.092991 0.008825
1.802500 1.092212 0.006115
1.807500 1.098915 0.006749
1.812500 1.101194 0.009814
1.817500 1.099713 0.013079
1.822500 1.099988 0.012453
1.827500 1.097012 0.018895
1.832500 1.108470 0.010595
1.837500 1.110070 0.008361
1.842500 1.113898 0.013865
1.847500 1.119786 0.015378
1.852500 1.118773 0.017349
1.857500 1.114262 0.020987
1.862500 1.128736 0.019303
1.867500 1.137859 0.010374
1.872500 1.133049 0.010517
1.877500 1.126204 0.016260
1.882500 1.121113 0.023011
1.887500 1.117860 0.020008
1.892500 1.112818 0.008086
1.897500 1.111940 0.006927
1.902500 1.107436 0.009923
1.907500 1.101918 0.015640
1.912500 1.091797 0.008088
1.917500 1.088974 0.006396
1.922500 1.088869 0.007595
1.927500 1.085867 0.006535
1.932500 1.075631 0.007203
1.937500 1.078197 0.008851
1.942500 1.076041 0.005955
1.947500 1.047666 0.013107
1.952500 1.033570 0.019849
1.957500 1.028444 0.015845
1.962500 1.031042 0.011393
1.967500 1.028346 0.006757
1.972500 1.016650 0.009487
1.977500 1.020783 0.009228
1.982500 1.022675 0.009714
1.987500 1.021147 0.007690
1.992500 1.024735 0.008641
1.997500 1.032119 0.004205
2.002500 1.027317 0.007228
2.007500 1.031518 0.007307
2.012500 1.043133 0.012052
2.017500 1.036452 0.007918
2.022500 1.051337 0.008419
2.027500 1.046517 0.005357
2.032500 1.054533 0.006497
2.037500 1.052809 0.005140
2.042500 1.041409 0.011222
2.047500 1.043549 0.010345
2.052500 1.035709 0.010410
2.057500 1.051632 0.012677
2.062500 1.046512 0.010821
2.067500 1.057414 0.011182
2.072500 1.064479 0.009905
2.077500 1.061882 0.008832
2.082500 1.068675 0.009435
2.087500 1.074478 0.005290
2.092500 1.075526 0.011275
2.097500 1.075820 0.012780
2.102500 1.070567 0.022305
2.107500 1.066325 0.017941
2.112500 1.072641 0.012863
2.117500 1.073999 0.012893
2.122500 1.080878 0.013391
2.127500 1.075084 0.010735
2.132500 1.062756 0.012157
2.137500 1.066643 0.012970
2.142500 1.073588 0.014967
2.147500 1.079662 0.010827
2.152500 1.100810 0.008166
2.157500 1.091848 0.011552
2.162500 1.101009 0.006880
2.167500 1.103904 0.005189
2.172500 1.103480 0.011728
2.177500 1.103501 0.004903
2.182500 1.096142 0.007231
2.187500 1.105253 0.004085
2.192500 1.102529 0.005432
2.197500 1.099014 0.010230
2.202500 1.097659 0.010828
2.207500 1.092275 0.006594
2.212500 1.095062 0.006821
2.217500 1.089322 0.012311
2.222500 1.091375 0.020668
2.227500 1.090560 0.024321
2.232500 1.080989 0.016967
2.237500 1.079728 0.015355
2.242500 1.082273 0.015314
2.247500 1.062314 0.009627
2.252500 1.062207 0.011857
2.257500 1.057250 0.014816
2.262500 1.041685 0.012302
2.267500 1.030286 0.014893
2.272500 1.013041 0.010307
2.277500 1.022032 0.014266
2.282500 1.027114 0.014260
2.287500 1.035361 0.011460
2.292500 1.039942 0.012195
2.297500 1.036986 0.004076
2.302500 1.032245 0.004041
2.307500 1.025580 0.008311
2.312500 1.014865 0.011336
2.317500 1.022022 0.004899
2.322500 1.025817 0.010821
2.327500 1.016550 0.015701
2.332500 1.007827 0.020504
2.337500 1.035575 0.003581
2.342500 1.035968 0.010486
2.347500 1.030876 0.013007
2.352500 1.046644 0.013793
2.357500 1.050240 0.005093
2.362500 1.048530 0.005357
2.367500 1.046903 0.004258
2.372500 1.051442 0.003333
2.377500 1.049003 0.002392
2.382500 1.047725 0.004489
2.387500 1.051268 0.006435
2.392500 1.049439 0.007113
2.397500 1.038950 0.010615
2.402500 1.044666 0.005164
2.407500 1.057626 0.003326
2.412500 1.058057 0.016909
2.417500 1.064502 0.019289
2.422500 1.068140 0.012719
2.427500 1.054599 0.007451
2.432500 1.077075 0.003253
2.437500 1.039430 0.017966
2.442500 1.041013 0.011448
2.447500 1.026932 0.015188
2.452500 1.038282 0.015646
2.457500 1.027055 0.009092
2.462500 1.016973 0.012203
2.467500 1.020487 0.010075
2.472500 0.991987 0.018926
2.477500 1.006262 0.010171
2.482500 1.024186 0.003154
2.487500 1.020552 0.009666
2.492500 1.019841 0.008799
2.497500 1.016380 0.011513
2.502500 1.010086 0.012517
2.507500 1.010623 0.006186
2.512500 1.029476 0.011704
2.517500 1.027462 0.007542
2.522500 1.004168 0.010402
2.527500 0.996168 0.009515
2.532500 0.999572 0.011519
2.537500 1.011618 0.016464
2.542500 1.015300 0.013178
2.547500 1.018280 0.011636
2.552500 1.025205 0.010506
2.557500 1.042206 0.012275
2.562500 1.048185 0.006148
2.567500 1.041417 0.007429
2.572500 1.048479 0.009350
2.577500 1.052094 0.006929
2.582500 1.040353 0.012982
2.587500 1.026161 0.009755
2.592500 1.026635 0.010969
2.597500 1.008052 0.012703
2.602500 0.998678 0.015827
2.607500 1.000000 0.013132
2.612500 0.983493 0.016743
2.617500 0.990378 0.021547
2.622500 0.982792 0.023837
2.627500 0.990673 0.015963
2.632500 0.987179 0.010558
2.637500 0.977094 0.004099
2.642500 0.950227 0.014361
2.647500 0.908401 0.006506
2.652500 0.903860 0.006637
2.657500 0.859650 0.008947
2.662500 0.829382 0.016440
2.667500 0.775976 0.016882
2.672500 0.690901 0.012381
2.677500 0.656685 0.009128
2.682500 0.612704 0.007271
2.687500 0.568450 0.010019
2.692500 0.528416 0.015365
2.697500 0.532101 0.011210
2.702500 0.530663 0.005524
2.707500 0.553299 0.008992
2.712500 0.588562 0.016735
2.717500 0.643623 0.010219
2.722500 0.649007 0.005302
2.727500 0.651952 0.001205
2.732500 0.636632 0.008846
2.737500 0.620611 0.011044
2.742500 0.580373 0.012192
2.747500 0.548112 0.004030
2.752500 0.507742 0.006493
2.757500 0.484372 0.003731
2.762500 0.454561 0.003549
2.767500 0.450058 0.004758
2.772500 0.397307 0.002605
2.777500 0.375879 0.004147
2.782500 0.367393 0.004101
2.787500 0.373913 0.005927
2.792500 0.369032 0.004743
2.797500 0.358356 0.003749
2.802500 0.358322 0.003853
2.807500 0.348582 0.006174
2.812500 0.317748 0.006555
2.817500 0.299710 0.002447
2.822500 0.284862 0.006528
2.827500 0.269789 0.005375
2.832500 0.250351 0.003993
2.837500 0.238789 0.004684
2.842500 0.218708 0.003266
2.847500 0.207048 0.006121
2.852500 0.196932 0.005645
2.857500 0.178149 0.005234
2.862500 0.167128 0.003550
2.867500 0.163250 0.006622
2.872500 0.155378 0.007026
2.877500 0.152708 0.003445
2.882500 0.144115 0.003332
2.887500 0.133082 0.010996
2.892500 0.120621 0.019392
2.897500 0.119380 0.016747
2.902500 0.115090 0.013684
2.907500 0.106657 0.006889
2.912500 0.110937 0.004376
2.917500 0.113332 0.001865
2.922500 0.114486 0.001776
2.927500 0.103714 0.002639
2.932500 0.106549 0.005166
2.937500 0.103346 0.001485
2.942500 0.105104 0.001823
2.947500 0.104686 0.003223
2.952500 0.087389 0.005951
2.957500 0.086214 0.006297
2.962500 0.090568 0.003097
2.967500 0.086442 0.000934
2.972500 0.085528 0.006993
2.977500 0.083150 0.007291
2.982500 0.085152 0.004131
2.987500 0.082148 0.005176
2.992500 0.078899 0.004944
2.997500 0.082280 0.006869
3.002500 0.080831 0.006702
3.007500 0.082924 0.005830
3.012500 0.084716 0.004968
3.017500 0.092744 0.004046
3.022500 0.092651 0.003827
3.027500 0.088271 0.003970
3.032500 0.083180 0.005455
3.037500 0.080290 0.002156
3.042500 0.078246 0.004206
3.047500 0.078293 0.005807
3.052500 0.084532 0.002784
3.057500 0.083849 0.000829
3.062500 0.083605 0.006301
3.067500 0.081148 0.005228
