# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.730914 0.021535
0.707500 0.730952 0.016615
0.712500 0.726537 0.013147
0.717500 0.736464 0.009581
0.722500 0.729197 0.010108
0.727500 0.756191 0.010344
0.732500 0.756377 0.006874
0.737500 0.754126 0.007396
0.742500 0.753980 0.011600
0.747500 0.772467 0.007734
0.752500 0.775883 0.013648
0.757500 0.771787 0.016416
0.762500 0.768525 0.009640
0.767500 0.789839 0.017091
0.772500 0.791339 0.014640
0.777500 0.791722 0.014448
0.782500 0.805030 0.005292
0.787500 0.773793 0.010127
0.792500 0.748671 0.006678
0.797500 0.763544 0.011474
0.802500 0.801350 0.009885
0.807500 0.824375 0.009532
0.812500 0.826813 0.008928
0.817500 0.826950 0.006079
0.822500 0.824519 0.009447
0.827500 0.822340 0.010653
0.832500 0.826844 0.005810
0.837500 0.822753 0.009805
0.842500 0.828085 0.007311
0.847500 0.832422 0.005984
0.852500 0.836488 0.006987
0.857500 0.836828 0.012688
0.862500 0.841770 0.008385
0.867500 0.846136 0.007474
0.872500 0.850692 0.010112
0.877500 0.863048 0.011344
0.882500 0.867650 0.015416
0.887500 0.875086 0.017940
0.892500 0.866574 0.010298
0.897500 0.864046 0.008909
0.902500 0.861930 0.012777
0.907500 0.861931 0.013922
0.912500 0.870772 0.016279
0.917500 0.879701 0.015777
0.922500 0.884065 0.012874
0.927500 0.875181 0.011053
0.932500 0.874819 0.007099
0.937500 0.881971 0.013087
0.942500 0.890325 0.016312
0.947500 0.890306 0.014099
0.952500 0.889185 0.013806
0.957500 0.894429 0.010801
0.962500 0.893980 0.011436
0.967500 0.895716 0.014248
0.972500 0.900500 0.007898
0.977500 0.911246 0.009138
0.982500 0.910634 0.005427
0.987500 0.915923 0.006052
0.992500 0.930832 0.015506
0.997500 0.936635 0.012724
1.002500 0.940485 0.010764
1.007500 0.936470 0.013870
1.012500 0.929721 0.012637
1.017500 0.937870 0.014970
1.022500 0.941178 0.014680
