# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.758946 0.008889
0.707500 0.751384 0.017063
0.712500 0.725541 0.006183
0.717500 0.732154 0.008151
0.722500 0.760247 0.010645
0.727500 0.759353 0.005030
0.732500 0.760897 0.005993
0.737500 0.756485 0.006706
0.742500 0.759653 0.006824
0.747500 0.790657 0.005963
0.752500 0.786990 0.007612
0.757500 0.793378 0.007372
0.762500 0.805610 0.010323
0.767500 0.795280 0.005223
0.772500 0.801988 0.006590
0.777500 0.815691 0.005456
0.782500 0.819676 0.010878
0.787500 0.810309 0.007768
0.792500 0.800717 0.004671
0.797500 0.792104 0.004393
0.802500 0.790408 0.007119
0.807500 0.805248 0.009179
0.812500 0.835844 0.011582
0.817500 0.858948 0.007946
0.822500 0.859238 0.010263
0.827500 0.857781 0.008073
0.832500 0.853805 0.004956
0.837500 0.858332 0.006871
0.842500 0.852875 0.006696
0.847500 0.852933 0.007850
0.852500 0.857693 0.005973
0.857500 0.866375 0.005428
0.862500 0.865128 0.006385
0.867500 0.867639 0.006672
0.872500 0.874880 0.007729
0.877500 0.883451 0.006974
0.882500 0.880245 0.004687
0.887500 0.883534 0.005198
0.892500 0.894308 0.006370
0.897500 0.896679 0.008133
0.902500 0.896528 0.010803
0.907500 0.887859 0.006686
0.912500 0.890933 0.005834
0.917500 0.889508 0.004827
0.922500 0.893767 0.004863
0.927500 0.897040 0.008487
0.932500 0.906558 0.005917
0.937500 0.906934 0.006549
0.942500 0.909684 0.006323
0.947500 0.916603 0.007573
0.952500 0.923728 0.006612
0.957500 0.926612 0.008842
0.962500 0.929871 0.004137
0.967500 0.931622 0.004923
0.972500 0.930707 0.004715
0.977500 0.930734 0.005063
0.982500 0.937612 0.004707
0.987500 0.934919 0.003909
0.992500 0.937375 0.003987
0.997500 0.936864 0.004900
1.002500 0.945959 0.008546
1.007500 0.953299 0.009875
1.012500 0.950581 0.006772
1.017500 0.952515 0.007938
1.022500 0.955767 0.007713
1.027500 0.952188 0.006474
1.032500 0.955339 0.009459
1.037500 0.957079 0.007848
1.042500 0.952572 0.006935
1.047500 0.953481 0.007967
1.052500 0.951638 0.005871
1.057500 0.954052 0.005986
1.062500 0.954076 0.006918
1.067500 0.948681 0.003420
1.072500 0.949686 0.004143
1.077500 0.950955 0.004512
1.082500 0.959887 0.005646
1.087500 0.962383 0.006602
1.092500 0.970952 0.006379
1.097500 0.972950 0.006502
1.102500 0.974110 0.003817
1.107500 0.973367 0.004221
1.112500 0.976210 0.004991
1.117500 0.978279 0.004061
1.122500 0.981649 0.004276
1.127500 0.989023 0.006862
1.132500 0.992846 0.005897
1.137500 0.988899 0.005459
1.142500 0.993908 0.005180
1.147500 0.990457 0.004437
1.152500 0.989577 0.004831
1.157500 0.988728 0.006870
1.162500 0.991041 0.006216
1.167500 0.993512 0.005898
1.172500 0.991952 0.006064
1.177500 1.000718 0.005387
1.182500 1.008757 0.007470
1.187500 1.003242 0.008216
1.192500 0.998671 0.006972
1.197500 1.001253 0.008408
1.202500 0.999936 0.009091
1.207500 1.005453 0.008611
1.212500 1.013592 0.006721
1.217500 1.014027 0.007161
1.222500 1.005166 0.006196
1.227500 0.997729 0.005529
1.232500 1.002448 0.005168
1.237500 1.003443 0.005809
1.242500 1.004337 0.007439
1.247500 0.998200 0.004357
1.252500 0.998093 0.004748
1.257500 0.998712 0.004235
1.262500 0.994969 0.005953
1.267500 0.998064 0.005098
1.272500 1.001760 0.005724
1.277500 1.003669 0.007148
1.282500 1.002734 0.005635
1.287500 1.000155 0.005084
1.292500 1.010545 0.008046
1.297500 1.017241 0.008842
1.302500 1.017236 0.011622
1.307500 1.020672 0.011465
1.312500 1.015036 0.006119
1.317500 1.020572 0.006487
1.322500 1.021970 0.006384
1.327500 1.010881 0.004999
1.332500 1.014267 0.006767
1.337500 1.014328 0.006812
1.342500 1.004950 0.006161
1.347500 1.015617 0.013358
1.352500 1.020268 0.012205
1.357500 1.027395 0.010759
1.362500 1.031035 0.009862
1.367500 1.028537 0.006316
1.372500 1.030918 0.005184
1.377500 1.022221 0.007054
1.382500 1.016622 0.006857
1.387500 1.013947 0.004631
1.392500 1.010367 0.006152
1.397500 1.010301 0.005719
1.402500 1.010947 0.006889
1.407500 1.016748 0.008733
1.412500 1.023667 0.009075
1.417500 1.021308 0.008395
1.422500 1.022774 0.010032
1.427500 1.024526 0.010298
1.432500 1.022690 0.008877
1.437500 1.021953 0.010770
1.442500 1.017071 0.011467
1.447500 1.014701 0.008707
1.452500 1.011194 0.006402
1.457500 1.017705 0.008999
1.462500 1.022823 0.009985
1.467500 1.023377 0.009044
1.472500 1.024776 0.007565
1.477500 1.025966 0.012483
1.482500 1.027202 0.011198
1.487500 1.017667 0.004789
1.492500 1.012275 0.006704
1.497500 1.011178 0.005572
1.502500 1.004177 0.003669
1.507500 1.013501 0.006167
1.512500 1.014727 0.006589
1.517500 1.016275 0.006908
1.522500 1.011969 0.010914
1.527500 1.015903 0.011962
1.532500 1.022242 0.013917
1.537500 1.016033 0.017561
1.542500 1.014087 0.018014
1.547500 1.015455 0.014156
1.552500 1.018692 0.012522
1.557500 1.021111 0.014467
1.562500 1.017282 0.015356
1.567500 1.017126 0.010568
1.572500 1.021700 0.007399
1.577500 1.019552 0.012103
1.582500 1.021980 0.012613
1.587500 1.017413 0.007509
1.592500 1.015243 0.008958
1.597500 1.020217 0.009306
1.602500 1.024476 0.007714
1.607500 1.031943 0.009342
1.612500 1.032389 0.008042
1.617500 1.026182 0.011330
1.622500 1.026319 0.014110
1.627500 1.028574 0.015742
1.632500 1.031068 0.013994
1.637500 1.034364 0.012415
1.642500 1.034753 0.013099
1.647500 1.038357 0.008674
1.652500 1.037848 0.008681
1.657500 1.030043 0.013540
1.662500 1.031380 0.012920
1.667500 1.036020 0.012819
1.672500 1.043099 0.012959
1.677500 1.046131 0.014018
1.682500 1.044964 0.011638
1.687500 1.049502 0.010667
1.692500 1.048925 0.011105
1.697500 1.044787 0.014927
1.702500 1.047672 0.017328
1.707500 1.051350 0.015760
1.712500 1.047902 0.010331
1.717500 1.039670 0.015407
1.722500 1.040905 0.018720
1.727500 1.046644 0.017541
1.732500 1.046635 0.017995
1.737500 1.042957 0.017333
1.742500 1.043851 0.012063
1.747500 1.043081 0.009863
1.752500 1.045498 0.009470
1.757500 1.039680 0.010865
1.762500 1.037044 0.008907
1.767500 1.044255 0.007830
1.772500 1.043343 0.009942
1.777500 1.040477 0.012905
1.782500 1.038544 0.010072
1.787500 1.041475 0.006533
1.792500 1.042906 0.008568
1.797500 1.035795 0.015113
1.802500 1.036836 0.009058
1.807500 1.043976 0.008247
1.812500 1.037374 0.010042
1.817500 1.037691 0.014689
1.822500 1.032144 0.009473
1.827500 1.042070 0.016251
1.832500 1.050566 0.014591
1.837500 1.042668 0.010545
1.842500 1.044971 0.007073
1.847500 1.047629 0.008523
1.852500 1.048526 0.012375
1.857500 1.041561 0.013184
1.862500 1.050628 0.010865
1.867500 1.056092 0.010231
