# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.567579 0.005184
0.707500 0.571134 0.005177
0.712500 0.570643 0.010643
0.717500 0.575205 0.016149
0.722500 0.584143 0.007533
0.727500 0.589312 0.006073
0.732500 0.578169 0.006473
0.737500 0.585208 0.005891
0.742500 0.590661 0.015509
0.747500 0.582776 0.008394
0.752500 0.593173 0.003221
0.757500 0.604427 0.004921
0.762500 0.613042 0.008116
0.767500 0.616336 0.004671
0.772500 0.613801 0.003780
0.777500 0.622022 0.005107
0.782500 0.638751 0.006589
0.787500 0.641622 0.008233
0.792500 0.631799 0.006727
0.797500 0.625791 0.003377
0.802500 0.620777 0.005356
0.807500 0.623725 0.007175
0.812500 0.638925 0.008602
0.817500 0.650280 0.005152
0.822500 0.653142 0.008169
0.827500 0.648054 0.006561
0.832500 0.658088 0.008891
0.837500 0.665180 0.006794
0.842500 0.670934 0.006608
0.847500 0.671310 0.007557
0.852500 0.671936 0.005356
0.857500 0.674532 0.003627
0.862500 0.680778 0.004209
0.867500 0.679238 0.004679
0.872500 0.677726 0.005822
0.877500 0.678791 0.008023
0.882500 0.688048 0.004061
0.887500 0.697713 0.005581
0.892500 0.698985 0.004544
0.897500 0.697619 0.004032
0.902500 0.697677 0.004530
0.907500 0.705494 0.004921
0.912500 0.708683 0.005578
0.917500 0.710285 0.003729
0.922500 0.713914 0.003867
0.927500 0.714640 0.004400
0.932500 0.719263 0.004117
0.937500 0.720558 0.004336
0.942500 0.723802 0.004153
0.947500 0.720415 0.003680
0.952500 0.721191 0.003133
0.957500 0.731077 0.003770
0.962500 0.731734 0.005091
0.967500 0.733657 0.004702
0.972500 0.736646 0.007768
0.977500 0.738342 0.005083
0.982500 0.744527 0.005366
0.987500 0.749574 0.003589
0.992500 0.752682 0.003940
0.997500 0.757136 0.005277
1.002500 0.758064 0.007196
1.007500 0.762436 0.006565
1.012500 0.765648 0.009393
1.017500 0.768858 0.008997
1.022500 0.772454 0.009529
1.027500 0.772955 0.008630
1.032500 0.776255 0.006118
1.037500 0.781464 0.004894
1.042500 0.777167 0.008253
1.047500 0.775696 0.006844
1.052500 0.775529 0.008646
1.057500 0.781070 0.012738
1.062500 0.787232 0.013908
1.067500 0.792764 0.009500
1.072500 0.792138 0.005522
1.077500 0.789587 0.007393
1.082500 0.787775 0.009830
1.087500 0.794550 0.012614
1.092500 0.800464 0.009695
1.097500 0.809275 0.005038
1.102500 0.812917 0.006213
1.107500 0.816904 0.007606
1.112500 0.818604 0.007049
1.117500 0.822773 0.006533
1.122500 0.823988 0.007850
1.127500 0.828353 0.007315
1.132500 0.832168 0.006418
1.137500 0.832722 0.008035
1.142500 0.835651 0.008609
1.147500 0.837973 0.005631
1.152500 0.842029 0.004349
1.157500 0.838718 0.006641
1.162500 0.835966 0.007860
1.167500 0.835692 0.009531
1.172500 0.834502 0.011412
1.177500 0.836757 0.009474
1.182500 0.848244 0.008491
1.187500 0.851224 0.008770
1.192500 0.848137 0.008863
1.197500 0.851623 0.008226
1.202500 0.855815 0.007145
1.207500 0.856880 0.006638
1.212500 0.868885 0.005446
1.217500 0.863912 0.006354
1.222500 0.862066 0.007754
1.227500 0.865263 0.014679
1.232500 0.875493 0.012012
1.237500 0.872716 0.007668
1.242500 0.876634 0.012713
1.247500 0.874061 0.013491
1.252500 0.867666 0.013195
1.257500 0.869132 0.017656
1.262500 0.871364 0.018800
