# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.718538 0.019678
0.707500 0.728467 0.014962
0.712500 0.761469 0.014123
0.717500 0.749955 0.016537
0.722500 0.744537 0.029106
0.727500 0.765546 0.026229
0.732500 0.770017 0.029192
0.737500 0.766261 0.017712
0.742500 0.772946 0.019583
0.747500 0.770644 0.018037
0.752500 0.795313 0.018333
0.757500 0.821735 0.018442
0.762500 0.834375 0.020645
0.767500 0.819980 0.031731
0.772500 0.812422 0.038238
0.777500 0.835583 0.032594
0.782500 0.825378 0.027060
0.787500 0.822656 0.023067
0.792500 0.800874 0.020104
0.797500 0.795003 0.020516
0.802500 0.818052 0.017678
0.807500 0.848732 0.031930
0.812500 0.876764 0.034871
0.817500 0.882678 0.034024
0.822500 0.889300 0.026835
0.827500 0.876027 0.029028
0.832500 0.869454 0.029156
0.837500 0.868287 0.029981
0.842500 0.879203 0.033622
0.847500 0.889699 0.032300
0.852500 0.889428 0.034168
0.857500 0.894673 0.024112
0.862500 0.911873 0.013073
0.867500 0.922779 0.015167
0.872500 0.935973 0.016455
0.877500 0.936002 0.022378
0.882500 0.934748 0.014009
0.887500 0.945502 0.022482
0.892500 0.942077 0.019627
0.897500 0.938329 0.019174
0.902500 0.946105 0.020520
0.907500 0.958007 0.021936
0.912500 0.969779 0.021106
0.917500 0.972041 0.020855
0.922500 0.975881 0.023398
0.927500 0.975234 0.024382
0.932500 0.975455 0.026119
0.937500 0.967984 0.030540
0.942500 0.967746 0.032980
0.947500 0.980314 0.030899
0.952500 0.983424 0.032499
0.957500 0.992250 0.029804
0.962500 0.991272 0.023672
0.967500 1.006671 0.023004
0.972500 1.008896 0.027274
0.977500 1.013151 0.035383
0.982500 1.021519 0.037439
0.987500 1.028359 0.036612
0.992500 1.021506 0.037801
0.997500 1.029410 0.032944
1.002500 1.029862 0.038328
1.007500 1.033503 0.038328
1.012500 1.030537 0.034317
1.017500 1.034343 0.033616
1.022500 1.037903 0.032370
1.027500 1.040856 0.032347
1.032500 1.042530 0.031293
1.037500 1.053557 0.029584
1.042500 1.049309 0.032379
1.047500 1.056736 0.026835
1.052500 1.054572 0.024113
1.057500 1.056287 0.023821
1.062500 1.057877 0.029624
1.067500 1.058291 0.031658
1.072500 1.059970 0.029206
1.077500 1.058079 0.030539
1.082500 1.060327 0.032151
1.087500 1.067447 0.027849
1.092500 1.072039 0.031521
1.097500 1.076335 0.032057
1.102500 1.088125 0.031689
1.107500 1.091776 0.033198
1.112500 1.090014 0.036266
1.117500 1.102114 0.037018
1.122500 1.103634 0.032924
1.127500 1.104568 0.029969
1.132500 1.097062 0.029627
1.137500 1.092584 0.024298
1.142500 1.100895 0.033142
1.147500 1.092997 0.030159
1.152500 1.093570 0.030155
1.157500 1.089045 0.034715
1.162500 1.088306 0.025252
1.167500 1.101232 0.025059
1.172500 1.104320 0.029660
1.177500 1.116320 0.029393
1.182500 1.128335 0.031258
1.187500 1.127251 0.031940
1.192500 1.124083 0.032627
1.197500 1.119714 0.036546
1.202500 1.110890 0.036596
1.207500 1.113898 0.036194
1.212500 1.118471 0.035198
1.217500 1.128227 0.034695
1.222500 1.132083 0.029679
1.227500 1.139407 0.027787
1.232500 1.151723 0.026161
1.237500 1.139717 0.033189
1.242500 1.124863 0.038971
1.247500 1.115332 0.034477
1.252500 1.118600 0.041726
1.257500 1.123051 0.043125
1.262500 1.125050 0.030985
1.267500 1.117392 0.042375
1.272500 1.109638 0.042533
1.277500 1.117881 0.040506
1.282500 1.118816 0.043897
1.287500 1.125542 0.037338
1.292500 1.135760 0.035890
1.297500 1.135168 0.035638
1.302500 1.136590 0.037215
1.307500 1.137617 0.041343
1.312500 1.126237 0.037233
1.317500 1.127439 0.033422
1.322500 1.138010 0.029414
1.327500 1.141964 0.023823
1.332500 1.144528 0.026673
1.337500 1.145851 0.028629
1.342500 1.138552 0.032410
1.347500 1.138145 0.034656
1.352500 1.136103 0.035501
1.357500 1.140642 0.032829
1.362500 1.155462 0.030077
1.367500 1.157640 0.028018
1.372500 1.165369 0.026112
1.377500 1.155249 0.029654
1.382500 1.153671 0.032646
1.387500 1.152010 0.034664
1.392500 1.152363 0.033858
1.397500 1.151088 0.035958
1.402500 1.149491 0.029548
1.407500 1.149329 0.027439
1.412500 1.145089 0.029326
1.417500 1.144945 0.020532
1.422500 1.152420 0.011232
1.427500 1.162935 0.010537
1.432500 1.166359 0.017345
1.437500 1.166761 0.032368
1.442500 1.161927 0.033573
1.447500 1.145717 0.038391
1.452500 1.137233 0.043621
1.457500 1.131808 0.033738
1.462500 1.130295 0.037408
1.467500 1.146649 0.037345
1.472500 1.154159 0.029003
1.477500 1.158672 0.017549
1.482500 1.155954 0.016532
1.487500 1.156331 0.018231
1.492500 1.151017 0.025588
1.497500 1.148184 0.038256
1.502500 1.151493 0.038414
1.507500 1.154041 0.031731
1.512500 1.152771 0.035697
1.517500 1.147458 0.031782
1.522500 1.142795 0.032947
1.527500 1.147655 0.033918
