# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.828502 0.006922
0.707500 0.844721 0.011833
0.712500 0.834674 0.011914
0.717500 0.838553 0.006598
0.722500 0.851398 0.017783
0.727500 0.846739 0.020821
0.732500 0.864174 0.025101
0.737500 0.870864 0.016817
0.742500 0.877916 0.007855
0.747500 0.906817 0.008027
0.752500 0.882214 0.020798
0.757500 0.881748 0.007194
0.762500 0.929722 0.013800
0.767500 0.933778 0.018057
0.772500 0.921073 0.015708
0.777500 0.920501 0.012659
0.782500 0.915137 0.018715
0.787500 0.922846 0.014484
0.792500 0.930952 0.009902
0.797500 0.946895 0.019273
0.802500 0.955440 0.020589
0.807500 0.958593 0.016161
0.812500 0.973113 0.020962
0.817500 0.982089 0.018482
0.822500 0.978094 0.012045
0.827500 0.995153 0.008395
0.832500 1.011012 0.009389
0.837500 0.995534 0.023764
0.842500 0.995151 0.023567
0.847500 0.999196 0.022447
0.852500 1.004667 0.022028
0.857500 1.018628 0.014418
0.862500 1.025719 0.011864
0.867500 1.020670 0.015533
0.872500 1.019706 0.014352
0.877500 1.023647 0.014813
0.882500 1.038975 0.019675
0.887500 1.050522 0.017589
0.892500 1.056851 0.014807
0.897500 1.045914 0.013828
0.902500 1.048036 0.016174
0.907500 1.046108 0.009738
0.912500 1.056279 0.011321
0.917500 1.061567 0.013781
0.922500 1.074350 0.010944
0.927500 1.066535 0.014509
0.932500 1.072394 0.019281
0.937500 1.075351 0.018156
0.942500 1.085091 0.015605
0.947500 1.097721 0.018504
0.952500 1.099523 0.014769
0.957500 1.099292 0.025581
0.962500 1.095841 0.026501
0.967500 1.102282 0.021901
0.972500 1.105533 0.018579
0.977500 1.123054 0.015319
0.982500 1.136257 0.018485
0.987500 1.139901 0.018706
0.992500 1.125241 0.022300
0.997500 1.129561 0.019383
1.002500 1.134209 0.020051
1.007500 1.137027 0.018931
1.012500 1.139050 0.017936
1.017500 1.119264 0.022279
1.022500 1.118926 0.016613
1.027500 1.119003 0.021147
1.032500 1.130848 0.017157
1.037500 1.139254 0.015986
1.042500 1.137693 0.016475
1.047500 1.142276 0.020516
1.052500 1.141570 0.019291
1.057500 1.150113 0.019616
1.062500 1.156396 0.018927
1.067500 1.166348 0.010554
1.072500 1.157720 0.007691
1.077500 1.146919 0.013559
1.082500 1.152496 0.014651
1.087500 1.166272 0.018893
1.092500 1.167541 0.020987
1.097500 1.169454 0.023201
1.102500 1.174475 0.024776
1.107500 1.170800 0.028468
1.112500 1.178069 0.023337
1.117500 1.180831 0.019804
1.122500 1.179502 0.013509
1.127500 1.190635 0.021563
1.132500 1.179117 0.019688
1.137500 1.181123 0.024170
1.142500 1.192758 0.030366
1.147500 1.196419 0.026003
1.152500 1.192436 0.019962
1.157500 1.183325 0.018387
1.162500 1.181939 0.020101
1.167500 1.186940 0.020042
1.172500 1.192520 0.026074
1.177500 1.191748 0.023765
1.182500 1.204852 0.019257
1.187500 1.199978 0.017884
1.192500 1.200145 0.015164
1.197500 1.200247 0.020987
1.202500 1.196478 0.021036
1.207500 1.204282 0.020829
1.212500 1.209052 0.022158
1.217500 1.187593 0.026803
1.222500 1.183138 0.028640
1.227500 1.196584 0.024589
1.232500 1.195440 0.021800
1.237500 1.211231 0.011205
1.242500 1.202605 0.018140
1.247500 1.191511 0.013465
1.252500 1.198405 0.022283
1.257500 1.195186 0.024028
1.262500 1.197629 0.023125
1.267500 1.193252 0.022178
1.272500 1.164563 0.020361
1.277500 1.172908 0.024128
1.282500 1.179976 0.023852
1.287500 1.193168 0.026948
1.292500 1.207220 0.022831
1.297500 1.207333 0.022198
1.302500 1.205472 0.026808
1.307500 1.203228 0.028496
1.312500 1.202165 0.030551
1.317500 1.196769 0.023774
1.322500 1.196357 0.020920
1.327500 1.187285 0.021442
1.332500 1.188136 0.024992
1.337500 1.193455 0.025885
1.342500 1.187977 0.024801
1.347500 1.187918 0.027990
1.352500 1.190085 0.028156
1.357500 1.194726 0.022756
1.362500 1.197584 0.024006
1.367500 1.203263 0.020048
1.372500 1.200607 0.020151
1.377500 1.187001 0.014794
1.382500 1.185680 0.017489
1.387500 1.181485 0.015475
1.392500 1.181994 0.015376
1.397500 1.176210 0.012433
1.402500 1.172488 0.011253
1.407500 1.176691 0.013844
1.412500 1.183314 0.013672
1.417500 1.186903 0.013438
1.422500 1.186148 0.018662
1.427500 1.187883 0.018835
1.432500 1.185197 0.017556
1.437500 1.184412 0.015722
1.442500 1.187406 0.020075
1.447500 1.189667 0.019009
1.452500 1.188997 0.017955
1.457500 1.190691 0.013628
1.462500 1.181393 0.017599
1.467500 1.178484 0.019614
1.472500 1.184693 0.016512
1.477500 1.183423 0.020508
1.482500 1.168832 0.032028
1.487500 1.169325 0.036006
1.492500 1.158525 0.028608
1.497500 1.158900 0.017462
1.502500 1.168089 0.015738
1.507500 1.175835 0.014169
1.512500 1.181387 0.014950
1.517500 1.187725 0.018893
1.522500 1.178178 0.022751
1.527500 1.178216 0.023024
1.532500 1.171098 0.026446
1.537500 1.155473 0.023281
1.542500 1.155079 0.026913
1.547500 1.157439 0.030402
1.552500 1.155725 0.024325
1.557500 1.155245 0.020894
1.562500 1.144211 0.018006
1.567500 1.152533 0.019277
1.572500 1.162405 0.017736
1.577500 1.152157 0.009976
1.582500 1.160732 0.011358
1.587500 1.168214 0.011206
1.592500 1.167889 0.005577
1.597500 1.168766 0.006995
1.602500 1.164303 0.010140
1.607500 1.169801 0.009721
1.612500 1.166381 0.008479
1.617500 1.159578 0.017118
1.622500 1.147647 0.015137
1.627500 1.145144 0.015176
1.632500 1.144561 0.011401
1.637500 1.143645 0.011359
1.642500 1.153880 0.020154
1.647500 1.162120 0.020227
1.652500 1.170582 0.012101
1.657500 1.151488 0.018535
1.662500 1.138886 0.034022
1.667500 1.134029 0.041043
1.672500 1.123056 0.033782
1.677500 1.135159 0.011693
1.682500 1.149661 0.017057
1.687500 1.148251 0.012018
1.692500 1.160685 0.011356
1.697500 1.161743 0.012832
1.702500 1.165136 0.015648
1.707500 1.169780 0.017136
1.712500 1.155611 0.018300
1.717500 1.157553 0.019798
1.722500 1.153291 0.017142
1.727500 1.162828 0.015163
1.732500 1.167692 0.016945
1.737500 1.155735 0.012044
1.742500 1.157656 0.018506
1.747500 1.160682 0.018262
1.752500 1.146985 0.007819
1.757500 1.136280 0.019552
1.762500 1.124697 0.019545
1.767500 1.131052 0.016525
1.772500 1.127329 0.014266
1.777500 1.117702 0.023037
1.782500 1.125326 0.022174
1.787500 1.138490 0.020091
1.792500 1.135928 0.023447
1.797500 1.139339 0.023797
1.802500 1.136996 0.032638
1.807500 1.135340 0.027347
1.812500 1.128871 0.018017
1.817500 1.135175 0.024611
1.822500 1.134121 0.026800
1.827500 1.123802 0.030669
1.832500 1.123522 0.026767
1.837500 1.115058 0.027146
1.842500 1.128314 0.026393
1.847500 1.148644 0.017571
1.852500 1.144034 0.023706
1.857500 1.141831 0.032509
1.862500 1.151305 0.036306
1.867500 1.121745 0.024380
1.872500 1.121946 0.025779
1.877500 1.131085 0.030107
1.882500 1.124609 0.022231
1.887500 1.137365 0.031511
1.892500 1.142428 0.026511
1.897500 1.136278 0.026651
1.902500 1.139226 0.022760
1.907500 1.147356 0.016998
1.912500 1.129932 0.025919
1.917500 1.133304 0.026434
1.922500 1.123380 0.014738
1.927500 1.110382 0.017833
1.932500 1.119184 0.019344
1.937500 1.128880 0.015919
1.942500 1.108162 0.028290
1.947500 1.086912 0.022072
1.952500 1.070002 0.015780
1.957500 1.078500 0.022950
