# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.776894 0.018424
0.707500 0.774302 0.009730
0.712500 0.755987 0.021602
0.717500 0.775654 0.015170
0.722500 0.800272 0.008076
0.727500 0.790997 0.007096
0.732500 0.792125 0.010818
0.737500 0.790979 0.012915
0.742500 0.793925 0.017853
0.747500 0.808250 0.021246
0.752500 0.803552 0.017405
0.757500 0.820649 0.007053
0.762500 0.829015 0.007907
0.767500 0.811076 0.009905
0.772500 0.806892 0.006704
0.777500 0.823476 0.017808
0.782500 0.822661 0.008618
0.787500 0.817773 0.005481
0.792500 0.838455 0.004907
0.797500 0.842561 0.005033
0.802500 0.858982 0.008897
0.807500 0.842226 0.011712
0.812500 0.838164 0.005538
0.817500 0.858517 0.011277
0.822500 0.861893 0.017105
0.827500 0.868845 0.011941
0.832500 0.875574 0.009128
0.837500 0.878704 0.005592
0.842500 0.872836 0.007404
0.847500 0.870371 0.009135
0.852500 0.877225 0.006454
0.857500 0.879285 0.006808
0.862500 0.881743 0.006344
0.867500 0.891804 0.007168
0.872500 0.900803 0.008516
0.877500 0.901991 0.009751
0.882500 0.905867 0.006936
0.887500 0.902732 0.009468
0.892500 0.910072 0.009626
0.897500 0.906748 0.008432
0.902500 0.905242 0.007983
0.907500 0.891493 0.004684
0.912500 0.898747 0.009500
0.917500 0.900846 0.005315
0.922500 0.912699 0.007190
0.927500 0.921818 0.010170
0.932500 0.930703 0.011999
0.937500 0.931730 0.008534
0.942500 0.937508 0.006239
0.947500 0.929493 0.007727
0.952500 0.922385 0.010590
0.957500 0.924275 0.006433
0.962500 0.932961 0.010107
0.967500 0.941277 0.015256
0.972500 0.938087 0.014313
0.977500 0.954274 0.015476
0.982500 0.959677 0.015510
0.987500 0.955694 0.011960
0.992500 0.938237 0.011115
0.997500 0.936932 0.007593
1.002500 0.947364 0.012917
1.007500 0.947692 0.009693
1.012500 0.945624 0.013399
1.017500 0.958517 0.009951
1.022500 0.969885 0.007227
1.027500 0.970688 0.008286
1.032500 0.972170 0.006289
1.037500 0.965288 0.004971
1.042500 0.966132 0.004507
1.047500 0.965491 0.007275
1.052500 0.966368 0.010493
1.057500 0.970141 0.013351
1.062500 0.974009 0.011791
1.067500 0.974173 0.015341
1.072500 0.968074 0.005736
1.077500 0.972504 0.008755
1.082500 0.979828 0.004398
1.087500 0.985269 0.004647
1.092500 0.986371 0.004735
1.097500 0.990122 0.006217
1.102500 0.992758 0.004841
1.107500 0.994019 0.004236
1.112500 0.995845 0.011113
1.117500 0.997449 0.014056
1.122500 0.999362 0.014449
1.127500 1.003626 0.006847
1.132500 1.004134 0.008168
1.137500 1.005012 0.007547
1.142500 1.006501 0.010674
1.147500 1.005416 0.016522
1.152500 1.007831 0.014529
1.157500 0.999607 0.015312
1.162500 1.003824 0.014701
1.167500 1.009721 0.012299
1.172500 1.019890 0.006490
1.177500 1.020614 0.007157
1.182500 1.036127 0.014491
1.187500 1.029969 0.015822
1.192500 1.022862 0.016827
1.197500 1.021397 0.017881
1.202500 1.015199 0.025345
1.207500 1.002846 0.012312
1.212500 1.020084 0.024027
1.217500 1.021900 0.026968
1.222500 1.014346 0.021909
1.227500 1.019243 0.011110
1.232500 1.015237 0.016159
1.237500 1.013894 0.013404
1.242500 1.016968 0.013933
1.247500 1.010006 0.009804
1.252500 1.003828 0.009714
1.257500 1.007549 0.015663
1.262500 1.008466 0.015834
1.267500 1.017243 0.013314
1.272500 1.019107 0.008765
1.277500 1.030989 0.007908
1.282500 1.037081 0.012957
1.287500 1.035564 0.008302
1.292500 1.026024 0.013629
1.297500 1.020747 0.012083
1.302500 1.012570 0.008179
1.307500 1.030016 0.007703
1.312500 1.032319 0.013832
1.317500 1.032867 0.012912
1.322500 1.031167 0.013793
1.327500 1.036685 0.017375
1.332500 1.027780 0.013523
1.337500 1.035894 0.011672
1.342500 1.038535 0.015816
1.347500 1.039383 0.014794
1.352500 1.042116 0.017409
1.357500 1.043379 0.018784
1.362500 1.045984 0.017512
1.367500 1.044528 0.018204
1.372500 1.042223 0.020899
1.377500 1.034519 0.023387
1.382500 1.032214 0.024716
1.387500 1.034666 0.028415
1.392500 1.034630 0.026531
1.397500 1.039225 0.023231
1.402500 1.038348 0.024864
1.407500 1.040954 0.024264
1.412500 1.054203 0.021502
1.417500 1.063796 0.016704
1.422500 1.062941 0.010457
1.427500 1.062380 0.007455
1.432500 1.056973 0.011805
1.437500 1.044303 0.023308
1.442500 1.043440 0.024147
1.447500 1.045818 0.025556
1.452500 1.048748 0.024961
1.457500 1.050609 0.024102
