# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.776237 0.007596
0.707500 0.806060 0.014146
0.712500 0.785540 0.011398
0.717500 0.782925 0.019448
0.722500 0.800753 0.010864
0.727500 0.793176 0.005337
0.732500 0.805104 0.015395
0.737500 0.808671 0.007814
0.742500 0.799150 0.008834
0.747500 0.815705 0.010578
0.752500 0.813647 0.006784
0.757500 0.820360 0.012410
0.762500 0.834873 0.011475
0.767500 0.840075 0.011406
0.772500 0.843770 0.008658
0.777500 0.859201 0.009222
0.782500 0.866600 0.006704
0.787500 0.847277 0.008046
0.792500 0.831936 0.007161
0.797500 0.830618 0.007349
0.802500 0.822431 0.005046
0.807500 0.836555 0.009165
0.812500 0.879510 0.018607
0.817500 0.891166 0.015551
0.822500 0.897263 0.006121
0.827500 0.898980 0.005776
0.832500 0.888649 0.006080
0.837500 0.893675 0.004710
0.842500 0.888778 0.008596
0.847500 0.890293 0.008120
0.852500 0.892167 0.004703
0.857500 0.903141 0.004753
0.862500 0.903116 0.008653
0.867500 0.894709 0.012330
0.872500 0.898300 0.012221
0.877500 0.905126 0.014390
0.882500 0.913464 0.013973
0.887500 0.923050 0.010773
0.892500 0.926029 0.013952
0.897500 0.933283 0.006058
0.902500 0.934737 0.005625
0.907500 0.922847 0.008335
0.912500 0.921003 0.008226
0.917500 0.910904 0.005033
0.922500 0.926802 0.008116
0.927500 0.932520 0.010135
0.932500 0.940670 0.008639
0.937500 0.934620 0.009614
0.942500 0.933841 0.007361
0.947500 0.935259 0.006956
0.952500 0.939018 0.003871
0.957500 0.944462 0.005967
0.962500 0.949239 0.006657
0.967500 0.954324 0.007993
0.972500 0.952828 0.004445
0.977500 0.956316 0.005813
0.982500 0.962214 0.008417
0.987500 0.976201 0.007640
0.992500 0.981167 0.010305
0.997500 0.983098 0.011584
1.002500 0.980360 0.012411
1.007500 0.980169 0.010391
1.012500 0.979864 0.010485
1.017500 0.986767 0.011009
1.022500 0.988912 0.011000
1.027500 0.982261 0.009882
1.032500 0.980851 0.004048
1.037500 0.992976 0.005721
1.042500 0.987679 0.006666
1.047500 0.994050 0.008798
1.052500 0.993475 0.008175
1.057500 0.995850 0.008359
1.062500 0.995369 0.009960
1.067500 0.992087 0.006421
1.072500 0.985853 0.009434
1.077500 0.987617 0.009762
1.082500 0.991050 0.011947
1.087500 0.991734 0.013154
1.092500 1.001496 0.012142
1.097500 1.000125 0.012575
1.102500 1.000967 0.007420
1.107500 1.005063 0.007838
1.112500 1.009184 0.008699
1.117500 1.014789 0.009009
1.122500 1.017248 0.009535
1.127500 1.023645 0.011622
1.132500 1.024565 0.012640
1.137500 1.017779 0.007432
1.142500 1.022134 0.007212
1.147500 1.019364 0.005551
1.152500 1.023372 0.005352
1.157500 1.024949 0.005389
1.162500 1.028448 0.005241
1.167500 1.024461 0.007796
1.172500 1.023463 0.007492
1.177500 1.015316 0.005992
1.182500 1.028864 0.008765
1.187500 1.028758 0.007184
1.192500 1.025013 0.008192
1.197500 1.029181 0.009608
1.202500 1.022178 0.008559
1.207500 1.023273 0.007624
1.212500 1.038922 0.007779
1.217500 1.043638 0.007014
1.222500 1.043198 0.005717
1.227500 1.046475 0.005276
1.232500 1.052654 0.005323
1.237500 1.039866 0.005584
1.242500 1.036281 0.008297
1.247500 1.037607 0.007143
1.252500 1.030959 0.006961
1.257500 1.035083 0.006981
1.262500 1.035165 0.006885
1.267500 1.031866 0.006093
