# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.761594 0.018520
0.707500 0.781641 0.011388
0.712500 0.784830 0.022542
0.717500 0.789555 0.025516
0.722500 0.789019 0.016793
0.727500 0.787324 0.016592
0.732500 0.788907 0.011004
0.737500 0.820211 0.012544
0.742500 0.810141 0.009630
0.747500 0.809898 0.012252
0.752500 0.822228 0.014011
0.757500 0.840334 0.006945
0.762500 0.834260 0.008590
0.767500 0.851848 0.010399
0.772500 0.850678 0.013604
0.777500 0.852542 0.015366
0.782500 0.864859 0.017253
0.787500 0.852783 0.017153
0.792500 0.820395 0.013414
0.797500 0.810130 0.008656
0.802500 0.850607 0.021637
0.807500 0.870500 0.018718
0.812500 0.876266 0.011683
0.817500 0.891121 0.012067
0.822500 0.885232 0.013360
0.827500 0.877952 0.014610
0.832500 0.882071 0.013037
0.837500 0.889984 0.016949
0.842500 0.891651 0.009266
0.847500 0.889889 0.005148
0.852500 0.895941 0.009930
0.857500 0.894391 0.017580
0.862500 0.898452 0.015680
0.867500 0.896989 0.013816
0.872500 0.901061 0.014254
0.877500 0.922710 0.016708
0.882500 0.937224 0.018807
0.887500 0.935021 0.015582
0.892500 0.938413 0.020517
0.897500 0.923171 0.014474
0.902500 0.917072 0.013515
0.907500 0.916385 0.011900
0.912500 0.915943 0.012354
0.917500 0.911113 0.010860
0.922500 0.920586 0.013985
0.927500 0.925819 0.024672
0.932500 0.936828 0.017417
0.937500 0.937859 0.012566
0.942500 0.943409 0.015420
0.947500 0.942939 0.012212
0.952500 0.948141 0.016819
0.957500 0.960504 0.020520
0.962500 0.964010 0.018496
0.967500 0.964713 0.018949
0.972500 0.968645 0.015860
0.977500 0.975437 0.019885
0.982500 0.979967 0.017919
0.987500 0.977885 0.020992
0.992500 0.972839 0.020125
0.997500 0.979846 0.021130
1.002500 0.986501 0.015007
1.007500 0.991257 0.013999
1.012500 0.970118 0.009383
1.017500 0.968944 0.015073
1.022500 0.971097 0.018338
1.027500 0.977466 0.017871
1.032500 0.980813 0.016426
1.037500 0.998023 0.023627
1.042500 1.001080 0.019551
1.047500 1.000636 0.019328
1.052500 0.994314 0.014528
1.057500 0.995080 0.014450
1.062500 0.998990 0.022057
1.067500 0.996050 0.018816
1.072500 1.003390 0.024278
1.077500 1.006814 0.020155
1.082500 0.998240 0.010238
1.087500 1.001230 0.010582
1.092500 1.011559 0.010177
1.097500 1.010073 0.010188
1.102500 1.003438 0.006859
1.107500 0.999636 0.013222
1.112500 1.000286 0.009551
1.117500 1.013971 0.015578
1.122500 1.012475 0.015565
1.127500 1.024138 0.021054
1.132500 1.025776 0.021735
1.137500 1.025494 0.018470
1.142500 1.033361 0.019325
1.147500 1.034738 0.018935
1.152500 1.041922 0.024321
1.157500 1.042417 0.022900
1.162500 1.038624 0.023935
1.167500 1.041633 0.024310
1.172500 1.042407 0.023015
