# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.516785 0.004091
0.707500 0.517286 0.003504
0.712500 0.534412 0.004990
0.717500 0.543395 0.010991
0.722500 0.568029 0.008625
0.727500 0.575299 0.004273
0.732500 0.586839 0.004683
0.737500 0.574413 0.007412
0.742500 0.581372 0.012441
0.747500 0.589282 0.010132
0.752500 0.598863 0.008964
0.757500 0.605304 0.008254
0.762500 0.613028 0.007909
0.767500 0.618185 0.011997
0.772500 0.619259 0.004967
0.777500 0.631002 0.005615
0.782500 0.633870 0.007010
0.787500 0.633713 0.015256
0.792500 0.644386 0.004554
0.797500 0.646268 0.003249
0.802500 0.660279 0.005147
0.807500 0.666583 0.004522
0.812500 0.674744 0.004939
0.817500 0.680406 0.010421
0.822500 0.690818 0.011896
0.827500 0.694255 0.004104
0.832500 0.707008 0.005642
0.837500 0.712862 0.003597
0.842500 0.713375 0.005500
0.847500 0.715651 0.003960
0.852500 0.724861 0.003612
0.857500 0.728951 0.004218
0.862500 0.734877 0.008804
0.867500 0.740477 0.010606
0.872500 0.743069 0.013854
0.877500 0.746492 0.013301
0.882500 0.757499 0.004606
0.887500 0.759402 0.010918
0.892500 0.773062 0.007257
0.897500 0.772821 0.007187
0.902500 0.776247 0.007633
0.907500 0.780364 0.009546
0.912500 0.793825 0.007755
0.917500 0.794051 0.009438
0.922500 0.800261 0.011025
0.927500 0.803917 0.008891
0.932500 0.808200 0.008245
0.937500 0.811910 0.009765
0.942500 0.814325 0.008248
0.947500 0.813125 0.010046
0.952500 0.819267 0.005479
0.957500 0.832261 0.007360
0.962500 0.829655 0.008758
0.967500 0.838019 0.007670
0.972500 0.851068 0.016425
0.977500 0.849789 0.010434
0.982500 0.858983 0.010884
0.987500 0.859073 0.009263
0.992500 0.862574 0.006431
0.997500 0.866781 0.009959
1.002500 0.862555 0.006450
1.007500 0.870941 0.005458
1.012500 0.869966 0.004829
1.017500 0.871928 0.004074
1.022500 0.888677 0.004634
1.027500 0.898758 0.008459
1.032500 0.900922 0.009256
1.037500 0.902368 0.007105
1.042500 0.898297 0.006224
1.047500 0.898586 0.005363
1.052500 0.905169 0.006230
1.057500 0.913294 0.007876
1.062500 0.912083 0.005115
1.067500 0.911565 0.005044
1.072500 0.909546 0.004312
1.077500 0.906727 0.006151
1.082500 0.913784 0.003729
1.087500 0.924505 0.006495
1.092500 0.927151 0.007615
1.097500 0.932125 0.007086
1.102500 0.936764 0.011412
1.107500 0.942964 0.015101
1.112500 0.952649 0.007454
1.117500 0.964038 0.005942
1.122500 0.968133 0.008996
1.127500 0.966700 0.008120
1.132500 0.979534 0.007559
1.137500 0.982213 0.004302
1.142500 0.982778 0.005885
1.147500 0.973520 0.010385
1.152500 0.970761 0.012122
1.157500 0.972183 0.013767
1.162500 0.978785 0.011968
1.167500 0.981618 0.005301
1.172500 0.989244 0.006878
1.177500 0.984378 0.005956
1.182500 0.997562 0.008102
1.187500 0.999896 0.006880
1.192500 0.995803 0.007197
1.197500 1.000938 0.006889
1.202500 1.002455 0.006812
1.207500 1.009298 0.007899
1.212500 1.018272 0.009830
1.217500 1.018209 0.006507
1.222500 1.015011 0.005861
1.227500 1.013063 0.005533
1.232500 1.020347 0.006253
1.237500 1.029914 0.007014
1.242500 1.031849 0.006847
1.247500 1.031220 0.005315
1.252500 1.030972 0.010955
1.257500 1.036724 0.016971
1.262500 1.041241 0.010382
1.267500 1.025413 0.013869
1.272500 1.021414 0.012755
1.277500 1.036882 0.009085
1.282500 1.035908 0.010546
1.287500 1.040543 0.010663
1.292500 1.044618 0.010612
1.297500 1.046063 0.005005
1.302500 1.054262 0.005180
1.307500 1.058158 0.007094
1.312500 1.062552 0.008618
1.317500 1.054223 0.005202
1.322500 1.055094 0.006186
1.327500 1.055654 0.006681
1.332500 1.053649 0.006929
1.337500 1.055573 0.007116
1.342500 1.055324 0.006050
1.347500 1.056714 0.005055
1.352500 1.060865 0.005623
1.357500 1.063855 0.006616
1.362500 1.063763 0.006506
1.367500 1.069692 0.006213
1.372500 1.067814 0.005392
1.377500 1.064986 0.006974
1.382500 1.068619 0.006034
1.387500 1.067267 0.005789
1.392500 1.070385 0.006256
1.397500 1.077807 0.007608
1.402500 1.074237 0.009799
1.407500 1.070086 0.006268
1.412500 1.068015 0.006082
1.417500 1.070797 0.005591
1.422500 1.078849 0.006090
1.427500 1.084731 0.005662
1.432500 1.082248 0.005511
1.437500 1.084683 0.005763
1.442500 1.077924 0.006567
1.447500 1.071770 0.009143
1.452500 1.075235 0.009035
1.457500 1.078090 0.006578
1.462500 1.076091 0.007509
1.467500 1.065938 0.009941
1.472500 1.062798 0.008492
1.477500 1.062700 0.009294
1.482500 1.063094 0.006894
1.487500 1.058043 0.006845
1.492500 1.055548 0.007277
1.497500 1.059721 0.004610
1.502500 1.059156 0.004572
1.507500 1.060820 0.003702
1.512500 1.066916 0.006212
1.517500 1.079649 0.005196
1.522500 1.074019 0.007446
1.527500 1.073973 0.007637
1.532500 1.058024 0.008326
1.537500 1.053341 0.008599
1.542500 1.054015 0.008919
1.547500 1.058243 0.007451
1.552500 1.061579 0.006837
1.557500 1.060156 0.008449
1.562500 1.064518 0.007635
1.567500 1.068672 0.006825
1.572500 1.077399 0.004367
1.577500 1.079631 0.006197
1.582500 1.078343 0.006979
1.587500 1.058689 0.007687
1.592500 1.060194 0.009153
1.597500 1.062394 0.006393
1.602500 1.063048 0.009499
1.607500 1.065110 0.007220
1.612500 1.072498 0.007070
1.617500 1.071804 0.007934
1.622500 1.072593 0.005931
1.627500 1.075105 0.007361
1.632500 1.075747 0.004255
1.637500 1.078800 0.006167
1.642500 1.083714 0.004359
