# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.780249 0.033099
0.707500 0.786095 0.050389
0.712500 0.777808 0.060970
0.717500 0.766942 0.052353
0.722500 0.778376 0.059693
0.727500 0.771549 0.032047
0.732500 0.773927 0.056229
0.737500 0.783475 0.068948
0.742500 0.752122 0.046682
0.747500 0.771853 0.032542
0.752500 0.796138 0.043269
0.757500 0.791498 0.031443
0.762500 0.791429 0.029832
0.767500 0.824001 0.048777
0.772500 0.810496 0.038978
0.777500 0.791828 0.035902
0.782500 0.810473 0.048656
0.787500 0.810994 0.046261
0.792500 0.791295 0.045666
0.797500 0.791309 0.034843
0.802500 0.812108 0.040906
0.807500 0.820648 0.047721
0.812500 0.814149 0.038882
0.817500 0.826558 0.038527
0.822500 0.870565 0.052624
0.827500 0.870046 0.043993
0.832500 0.882220 0.049987
0.837500 0.867005 0.041468
0.842500 0.842036 0.032458
0.847500 0.849226 0.034392
0.852500 0.862167 0.037342
0.857500 0.873686 0.042416
0.862500 0.874724 0.045801
0.867500 0.874130 0.051090
0.872500 0.872826 0.047761
0.877500 0.881061 0.043388
0.882500 0.883821 0.042992
0.887500 0.880152 0.040813
0.892500 0.891831 0.051058
0.897500 0.897587 0.047242
0.902500 0.904316 0.049999
0.907500 0.906279 0.046476
0.912500 0.916577 0.047354
0.917500 0.922259 0.052109
0.922500 0.927242 0.050069
0.927500 0.932318 0.050602
0.932500 0.930995 0.057827
0.937500 0.922512 0.058432
0.942500 0.924506 0.050715
0.947500 0.929488 0.044363
0.952500 0.937363 0.049638
0.957500 0.947540 0.054405
0.962500 0.949675 0.060559
0.967500 0.963924 0.073975
0.972500 0.958179 0.059625
0.977500 0.954048 0.050956
0.982500 0.954165 0.045575
0.987500 0.958061 0.046263
0.992500 0.963630 0.051064
0.997500 0.979835 0.055225
1.002500 0.979091 0.045850
1.007500 0.976922 0.051253
1.012500 0.973944 0.051624
1.017500 0.971357 0.052854
1.022500 0.983371 0.053505
1.027500 0.972677 0.051730
1.032500 0.978180 0.059916
1.037500 0.980435 0.059695
1.042500 0.972706 0.056624
1.047500 0.976729 0.058146
1.052500 0.995681 0.056881
1.057500 0.993089 0.056564
1.062500 0.994748 0.051252
1.067500 0.988916 0.042051
1.072500 0.986074 0.042819
1.077500 0.989909 0.044321
1.082500 1.001184 0.049283
1.087500 1.001499 0.048002
1.092500 1.006359 0.045730
1.097500 1.011418 0.049274
1.102500 1.024834 0.051369
1.107500 1.023905 0.052607
1.112500 1.036541 0.050585
1.117500 1.051950 0.046000
1.122500 1.055969 0.044050
1.127500 1.055939 0.041983
1.132500 1.047588 0.044927
1.137500 1.045652 0.044243
1.142500 1.048463 0.044927
1.147500 1.044107 0.045225
1.152500 1.042567 0.044076
1.157500 1.041056 0.039156
1.162500 1.042969 0.039156
1.167500 1.043545 0.044632
1.172500 1.040887 0.048115
1.177500 1.044916 0.051192
1.182500 1.046541 0.043910
1.187500 1.042549 0.044790
1.192500 1.038621 0.043951
1.197500 1.042239 0.050420
1.202500 1.060737 0.054491
1.207500 1.066040 0.048647
