# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.588526 0.010348
0.707500 0.595462 0.004155
0.712500 0.604684 0.008285
0.717500 0.593107 0.009334
0.722500 0.598690 0.006737
0.727500 0.608162 0.007925
0.732500 0.623778 0.013303
0.737500 0.620808 0.014903
0.742500 0.615272 0.007768
0.747500 0.621589 0.004207
0.752500 0.618526 0.004203
0.757500 0.614939 0.013502
0.762500 0.618966 0.006276
0.767500 0.631782 0.004416
0.772500 0.628371 0.009023
0.777500 0.638029 0.009239
0.782500 0.639187 0.007522
0.787500 0.619903 0.003912
0.792500 0.599897 0.006035
0.797500 0.610305 0.014007
0.802500 0.639728 0.004299
0.807500 0.644635 0.004357
0.812500 0.654202 0.006650
0.817500 0.647402 0.009456
0.822500 0.646301 0.012401
0.827500 0.640647 0.010009
0.832500 0.640140 0.007383
0.837500 0.662926 0.008077
0.842500 0.656319 0.006844
0.847500 0.654419 0.007635
0.852500 0.658993 0.004762
0.857500 0.658059 0.004020
0.862500 0.660669 0.005266
0.867500 0.662067 0.006885
0.872500 0.657788 0.007135
0.877500 0.665716 0.006562
0.882500 0.661947 0.003780
0.887500 0.670991 0.006065
0.892500 0.673097 0.005398
0.897500 0.677294 0.004138
0.902500 0.681022 0.006987
0.907500 0.675371 0.004071
0.912500 0.668842 0.006538
0.917500 0.672465 0.006556
0.922500 0.680469 0.004986
0.927500 0.678930 0.004042
0.932500 0.683546 0.009579
0.937500 0.686336 0.008760
0.942500 0.694850 0.009141
0.947500 0.690111 0.003909
0.952500 0.693664 0.006149
0.957500 0.698159 0.010095
0.962500 0.699536 0.010137
0.967500 0.697843 0.006615
0.972500 0.697648 0.006607
0.977500 0.707187 0.003197
0.982500 0.712160 0.004105
0.987500 0.714362 0.003058
0.992500 0.711022 0.007080
0.997500 0.705917 0.008742
1.002500 0.698269 0.003962
1.007500 0.709665 0.005819
1.012500 0.714356 0.007054
1.017500 0.718732 0.007671
1.022500 0.716374 0.005512
1.027500 0.715529 0.005583
1.032500 0.718542 0.004826
1.037500 0.722870 0.006499
1.042500 0.724560 0.007028
1.047500 0.724269 0.007987
1.052500 0.719906 0.008295
1.057500 0.720752 0.005757
1.062500 0.724723 0.005527
