# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.783057 0.007557
0.707500 0.814100 0.004490
0.712500 0.799604 0.027564
0.717500 0.785102 0.022820
0.722500 0.796915 0.022453
0.727500 0.808348 0.013286
0.732500 0.819586 0.015500
0.737500 0.832708 0.007236
0.742500 0.824581 0.019416
0.747500 0.843155 0.016092
0.752500 0.864910 0.009238
0.757500 0.856087 0.017351
0.762500 0.856966 0.014637
0.767500 0.862654 0.016891
0.772500 0.874197 0.016704
0.777500 0.883215 0.011474
0.782500 0.878854 0.011800
0.787500 0.867718 0.015412
0.792500 0.870749 0.017291
0.797500 0.880303 0.024489
0.802500 0.890088 0.015279
0.807500 0.905790 0.010027
0.812500 0.916998 0.012092
0.817500 0.919975 0.017735
0.822500 0.926174 0.019146
0.827500 0.928939 0.016082
0.832500 0.930302 0.014796
0.837500 0.938469 0.019635
0.842500 0.949763 0.019057
0.847500 0.941840 0.024465
0.852500 0.938617 0.019316
0.857500 0.946270 0.017760
0.862500 0.944418 0.021236
0.867500 0.933209 0.021247
0.872500 0.947326 0.019886
0.877500 0.952614 0.017771
0.882500 0.960971 0.022303
0.887500 0.963525 0.021951
0.892500 0.972413 0.020910
0.897500 0.966524 0.017490
0.902500 0.959855 0.013546
0.907500 0.969215 0.023209
0.912500 0.978925 0.023435
0.917500 0.984375 0.025515
0.922500 0.989186 0.026221
0.927500 0.982280 0.023648
0.932500 0.989139 0.024351
0.937500 0.992020 0.019639
0.942500 0.991345 0.023653
0.947500 0.981219 0.021376
0.952500 0.991796 0.019387
0.957500 1.009225 0.022953
0.962500 1.007721 0.021650
0.967500 1.009945 0.022861
0.972500 1.014773 0.020113
0.977500 1.026521 0.014128
0.982500 1.030114 0.016565
0.987500 1.025679 0.020611
0.992500 1.015986 0.021218
0.997500 1.024547 0.024163
1.002500 1.014315 0.023343
1.007500 1.024555 0.025387
1.012500 1.023578 0.022142
1.017500 1.031908 0.020917
1.022500 1.041924 0.019509
1.027500 1.033209 0.021466
1.032500 1.043862 0.014086
1.037500 1.047706 0.013227
1.042500 1.048705 0.013307
1.047500 1.036060 0.020560
1.052500 1.042218 0.005556
1.057500 1.040801 0.014083
1.062500 1.037972 0.021519
1.067500 1.031262 0.020394
1.072500 1.029723 0.022319
1.077500 1.032230 0.020195
1.082500 1.044408 0.020568
1.087500 1.047829 0.022700
1.092500 1.051352 0.021532
1.097500 1.051813 0.025217
1.102500 1.050417 0.022345
1.107500 1.059640 0.024478
1.112500 1.053329 0.026147
1.117500 1.049626 0.022241
1.122500 1.029261 0.009864
1.127500 1.041272 0.011250
1.132500 1.049679 0.015758
1.137500 1.061696 0.021525
1.142500 1.066534 0.025678
1.147500 1.067004 0.026236
1.152500 1.064221 0.024500
1.157500 1.069174 0.020254
1.162500 1.076643 0.017501
1.167500 1.073358 0.019745
1.172500 1.071681 0.023605
1.177500 1.072387 0.024514
1.182500 1.078583 0.022927
1.187500 1.070675 0.022386
1.192500 1.064470 0.019186
1.197500 1.075503 0.024855
1.202500 1.076938 0.029272
1.207500 1.079582 0.030301
1.212500 1.086443 0.025372
1.217500 1.077678 0.027359
1.222500 1.069628 0.025956
1.227500 1.064929 0.022346
1.232500 1.073950 0.021849
1.237500 1.079064 0.021877
1.242500 1.087461 0.020901
1.247500 1.084131 0.024122
1.252500 1.077538 0.025783
1.257500 1.080695 0.025063
1.262500 1.077927 0.023573
1.267500 1.080785 0.020237
1.272500 1.083404 0.018679
1.277500 1.084716 0.020636
1.282500 1.089038 0.020022
1.287500 1.083207 0.027748
1.292500 1.076263 0.033269
1.297500 1.079126 0.034365
1.302500 1.079461 0.035823
1.307500 1.082033 0.032473
1.312500 1.088606 0.034052
1.317500 1.088601 0.034900
1.322500 1.086330 0.034307
1.327500 1.083876 0.035217
1.332500 1.086960 0.034410
1.337500 1.095273 0.030477
1.342500 1.088598 0.032687
1.347500 1.096950 0.023876
1.352500 1.089765 0.030759
1.357500 1.088028 0.026323
1.362500 1.088639 0.027378
1.367500 1.088640 0.030939
1.372500 1.089235 0.034528
1.377500 1.083675 0.036233
1.382500 1.079049 0.033218
