# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.747793 0.031539
0.707500 0.764208 0.013763
0.712500 0.774191 0.011893
0.717500 0.785632 0.019515
0.722500 0.795920 0.011473
0.727500 0.794702 0.010218
0.732500 0.793434 0.009109
0.737500 0.804905 0.008222
0.742500 0.817098 0.007397
0.747500 0.809852 0.009315
0.752500 0.825941 0.007649
0.757500 0.836312 0.013638
0.762500 0.834978 0.009703
0.767500 0.829120 0.010419
0.772500 0.840641 0.009649
0.777500 0.842014 0.017985
0.782500 0.858498 0.030699
0.787500 0.879468 0.010159
0.792500 0.873550 0.009863
0.797500 0.863788 0.017161
0.802500 0.852350 0.014116
0.807500 0.864863 0.009304
0.812500 0.884545 0.007276
0.817500 0.896036 0.012843
0.822500 0.900091 0.025140
0.827500 0.904587 0.019955
0.832500 0.913508 0.013553
0.837500 0.906117 0.009569
0.842500 0.897952 0.019130
0.847500 0.906515 0.018252
0.852500 0.904057 0.015245
0.857500 0.915308 0.018139
0.862500 0.935890 0.011066
0.867500 0.932766 0.016998
0.872500 0.933462 0.013969
0.877500 0.936413 0.014816
0.882500 0.939423 0.012736
0.887500 0.946209 0.016410
0.892500 0.966932 0.015709
0.897500 0.955470 0.022366
0.902500 0.955629 0.021191
0.907500 0.963066 0.016224
0.912500 0.979453 0.012232
0.917500 0.980291 0.013759
0.922500 0.992136 0.020446
0.927500 0.999670 0.021618
0.932500 1.000930 0.022299
0.937500 1.002364 0.014714
0.942500 1.000839 0.010989
0.947500 1.003582 0.014455
0.952500 0.999068 0.015136
0.957500 1.005403 0.009748
0.962500 1.006369 0.012196
0.967500 1.028608 0.005600
0.972500 1.028839 0.004930
0.977500 1.024733 0.006431
0.982500 1.019467 0.014203
0.987500 1.020762 0.015989
0.992500 1.024108 0.018206
0.997500 1.029956 0.019480
1.002500 1.034148 0.016914
1.007500 1.046734 0.013015
1.012500 1.048490 0.010578
1.017500 1.051949 0.012371
1.022500 1.051833 0.014615
1.027500 1.048615 0.012255
1.032500 1.053785 0.013495
1.037500 1.056221 0.011303
1.042500 1.065473 0.006942
1.047500 1.064208 0.011064
1.052500 1.049389 0.023818
1.057500 1.045379 0.021721
1.062500 1.047134 0.023009
1.067500 1.052717 0.019327
1.072500 1.045651 0.020330
