# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.770743 0.011350
0.707500 0.760314 0.004837
0.712500 0.789634 0.016138
0.717500 0.776161 0.008415
0.722500 0.793577 0.010673
0.727500 0.781390 0.008479
0.732500 0.785743 0.005744
0.737500 0.796777 0.008555
0.742500 0.792254 0.011324
0.747500 0.794917 0.007268
0.752500 0.812934 0.005467
0.757500 0.819984 0.004042
0.762500 0.836414 0.005832
0.767500 0.845602 0.007268
0.772500 0.845882 0.006371
0.777500 0.847332 0.009774
0.782500 0.847637 0.006647
0.787500 0.867562 0.009082
0.792500 0.853699 0.007006
0.797500 0.872376 0.006084
0.802500 0.872394 0.004369
0.807500 0.865423 0.009528
0.812500 0.877689 0.005615
0.817500 0.876049 0.005398
0.822500 0.886622 0.008757
0.827500 0.894139 0.005820
0.832500 0.891283 0.004532
0.837500 0.899143 0.005553
0.842500 0.884940 0.005533
0.847500 0.895451 0.007534
0.852500 0.905585 0.006952
0.857500 0.910029 0.004801
0.862500 0.914411 0.006112
0.867500 0.914869 0.004806
0.872500 0.921075 0.005469
0.877500 0.923107 0.005580
0.882500 0.921646 0.004026
0.887500 0.926031 0.006478
0.892500 0.932907 0.007986
0.897500 0.929572 0.005936
0.902500 0.927766 0.006976
0.907500 0.936870 0.005231
0.912500 0.945392 0.005957
0.917500 0.944940 0.006745
0.922500 0.946345 0.006766
0.927500 0.949173 0.006717
0.932500 0.956009 0.007567
0.937500 0.962631 0.007762
0.942500 0.958364 0.004732
0.947500 0.960089 0.004388
0.952500 0.961034 0.007022
0.957500 0.966735 0.008232
0.962500 0.970361 0.007436
0.967500 0.979584 0.006114
0.972500 0.982468 0.004928
0.977500 0.979713 0.004078
0.982500 0.982500 0.005261
0.987500 0.991772 0.011735
0.992500 0.993825 0.011528
0.997500 0.993898 0.010835
1.002500 0.997228 0.011089
1.007500 1.001568 0.012375
1.012500 1.015935 0.007744
1.017500 1.005735 0.009733
