# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.667757 0.009480
0.707500 0.662269 0.016793
0.712500 0.666494 0.021458
0.717500 0.682489 0.020962
0.722500 0.696003 0.018497
0.727500 0.690499 0.017140
0.732500 0.696116 0.009443
0.737500 0.696294 0.010161
0.742500 0.704018 0.015019
0.747500 0.718707 0.010637
0.752500 0.717227 0.016210
0.757500 0.730885 0.008283
0.762500 0.723586 0.006362
0.767500 0.741157 0.014722
0.772500 0.748333 0.015132
0.777500 0.750644 0.014217
0.782500 0.746237 0.016285
0.787500 0.736932 0.007720
0.792500 0.752354 0.009795
0.797500 0.754223 0.009531
0.802500 0.774623 0.018265
0.807500 0.774799 0.015022
0.812500 0.759009 0.008455
0.817500 0.773660 0.017528
0.822500 0.786254 0.023285
0.827500 0.790507 0.018480
0.832500 0.792765 0.021171
0.837500 0.795612 0.022622
0.842500 0.802921 0.020032
0.847500 0.800232 0.020579
0.852500 0.803983 0.018546
0.857500 0.818026 0.016915
0.862500 0.821035 0.016386
0.867500 0.827214 0.012973
0.872500 0.837146 0.014803
0.877500 0.830743 0.019364
0.882500 0.831363 0.024189
0.887500 0.838553 0.019167
0.892500 0.848694 0.025520
0.897500 0.851214 0.021822
0.902500 0.855080 0.021950
0.907500 0.853408 0.020940
0.912500 0.862616 0.022259
0.917500 0.867418 0.018976
0.922500 0.868150 0.016830
0.927500 0.871141 0.024216
0.932500 0.879874 0.023515
0.937500 0.889935 0.017240
0.942500 0.891345 0.020292
0.947500 0.884724 0.016688
0.952500 0.883717 0.022984
0.957500 0.893594 0.021561
0.962500 0.895964 0.022265
0.967500 0.902623 0.025554
0.972500 0.902534 0.019708
0.977500 0.906730 0.021018
0.982500 0.915139 0.020827
0.987500 0.921235 0.017649
0.992500 0.915747 0.018311
0.997500 0.913849 0.019425
1.002500 0.920609 0.026214
1.007500 0.929220 0.025805
1.012500 0.925748 0.025815
1.017500 0.930958 0.022101
1.022500 0.939911 0.024305
1.027500 0.937153 0.026985
1.032500 0.939232 0.027142
1.037500 0.943158 0.029208
1.042500 0.938009 0.024298
1.047500 0.942686 0.026566
1.052500 0.937674 0.021697
1.057500 0.937674 0.021850
1.062500 0.943038 0.021218
1.067500 0.955816 0.028192
1.072500 0.957207 0.027790
1.077500 0.956153 0.029243
1.082500 0.957086 0.027295
1.087500 0.959142 0.027271
1.092500 0.966905 0.027620
1.097500 0.972302 0.028599
1.102500 0.972165 0.028797
1.107500 0.978244 0.026548
1.112500 0.987783 0.024366
1.117500 0.995707 0.024473
1.122500 0.993645 0.027057
1.127500 0.996009 0.028698
1.132500 1.002540 0.033993
1.137500 0.998582 0.033344
1.142500 1.002153 0.033236
1.147500 0.999120 0.032862
1.152500 0.998291 0.030569
1.157500 1.002381 0.028054
1.162500 1.006897 0.029322
1.167500 1.008509 0.030065
1.172500 1.010722 0.028939
1.177500 1.011674 0.028779
1.182500 1.027253 0.030951
1.187500 1.028919 0.033206
1.192500 1.024340 0.031432
1.197500 1.024221 0.030199
1.202500 1.020597 0.031606
1.207500 1.022996 0.030226
1.212500 1.025268 0.029637
1.217500 1.029746 0.034279
1.222500 1.037058 0.032915
1.227500 1.035394 0.029675
1.232500 1.032866 0.029176
1.237500 1.036483 0.032559
1.242500 1.023945 0.032981
1.247500 1.032630 0.029393
1.252500 1.028958 0.033820
1.257500 1.029481 0.031796
1.262500 1.043160 0.020296
1.267500 1.047602 0.022103
1.272500 1.075983 0.010633
1.277500 1.064121 0.017867
1.282500 1.045430 0.029274
1.287500 1.046445 0.028642
1.292500 1.050724 0.029196
1.297500 1.050133 0.029156
1.302500 1.052730 0.031732
1.307500 1.054522 0.030898
1.312500 1.051261 0.028848
1.317500 1.058205 0.030224
1.322500 1.058879 0.031074
1.327500 1.056737 0.034674
1.332500 1.054303 0.032490
1.337500 1.056914 0.032527
1.342500 1.058064 0.031107
1.347500 1.059100 0.030218
1.352500 1.060587 0.030413
1.357500 1.063325 0.033699
1.362500 1.066667 0.035628
1.367500 1.068273 0.032221
1.372500 1.066220 0.030358
1.377500 1.061842 0.024718
1.382500 1.064272 0.024188
1.387500 1.063348 0.021683
1.392500 1.063337 0.022066
1.397500 1.057731 0.026099
1.402500 1.055412 0.028881
1.407500 1.059093 0.029826
1.412500 1.049074 0.018672
1.417500 1.054967 0.017334
1.422500 1.059223 0.017405
1.427500 1.066864 0.021252
1.432500 1.072586 0.026945
1.437500 1.071837 0.031159
1.442500 1.068834 0.033061
1.447500 1.071763 0.035633
1.452500 1.071413 0.034047
1.457500 1.068168 0.035714
1.462500 1.067188 0.035902
1.467500 1.070420 0.037523
1.472500 1.075047 0.039578
1.477500 1.071449 0.042487
1.482500 1.072948 0.042370
1.487500 1.066852 0.038468
1.492500 1.071413 0.032897
1.497500 1.068696 0.030311
1.502500 1.075847 0.032541
1.507500 1.072140 0.028356
1.512500 1.074161 0.033305
1.517500 1.069824 0.038240
1.522500 1.065319 0.038885
1.527500 1.075069 0.042757
1.532500 1.074210 0.042969
1.537500 1.073323 0.043615
1.542500 1.070222 0.042921
1.547500 1.070899 0.039833
1.552500 1.073448 0.039224
1.557500 1.074404 0.042239
1.562500 1.075846 0.041824
1.567500 1.061233 0.026256
1.572500 1.062970 0.022105
1.577500 1.068962 0.031170
1.582500 1.073137 0.032502
1.587500 1.077783 0.033558
1.592500 1.075129 0.031950
1.597500 1.071221 0.033051
