# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.829678 0.010979
0.707500 0.824373 0.023274
0.712500 0.817974 0.013665
0.717500 0.829446 0.011893
0.722500 0.859795 0.018057
0.727500 0.860574 0.020080
0.732500 0.872528 0.012792
0.737500 0.886620 0.027460
0.742500 0.842853 0.008702
0.747500 0.864324 0.008340
0.752500 0.893016 0.012303
0.757500 0.907892 0.025661
0.762500 0.900682 0.022595
0.767500 0.931738 0.026212
0.772500 0.920274 0.017377
0.777500 0.927927 0.008593
0.782500 0.940972 0.022601
0.787500 0.898680 0.028549
0.792500 0.879341 0.012997
0.797500 0.913273 0.017030
0.802500 0.944122 0.013574
0.807500 0.951181 0.014047
0.812500 0.951493 0.013744
0.817500 0.952298 0.019124
0.822500 0.964561 0.022518
0.827500 0.968197 0.019922
0.832500 0.957856 0.016067
0.837500 0.964034 0.018336
0.842500 0.976986 0.013430
0.847500 0.977290 0.013545
0.852500 0.972445 0.011976
0.857500 0.973072 0.011390
0.862500 0.973223 0.012551
0.867500 0.975640 0.021958
0.872500 0.986133 0.020129
0.877500 0.987488 0.015196
0.882500 0.988731 0.021557
0.887500 0.999226 0.022755
0.892500 1.010195 0.019393
0.897500 1.016333 0.020135
0.902500 1.015299 0.019138
0.907500 1.014767 0.019918
0.912500 1.009731 0.018279
0.917500 1.006537 0.014754
0.922500 1.020579 0.017661
0.927500 1.029794 0.013615
0.932500 1.027417 0.016692
0.937500 1.039185 0.017816
0.942500 1.043370 0.018117
0.947500 1.040176 0.023193
0.952500 1.034867 0.021236
0.957500 1.042591 0.023216
0.962500 1.045140 0.020504
0.967500 1.050343 0.021335
0.972500 1.055974 0.020694
0.977500 1.060458 0.016034
0.982500 1.067440 0.019916
0.987500 1.068839 0.016673
0.992500 1.078941 0.014184
0.997500 1.066306 0.019002
1.002500 1.070740 0.020681
1.007500 1.067305 0.016999
1.012500 1.070662 0.020410
1.017500 1.068646 0.021551
1.022500 1.074314 0.018812
1.027500 1.071484 0.020732
1.032500 1.081318 0.016272
1.037500 1.092749 0.014633
1.042500 1.084798 0.018702
