# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.518625 0.032431
0.707500 0.516206 0.037692
0.712500 0.500601 0.038328
0.717500 0.489780 0.037779
0.722500 0.514558 0.035951
0.727500 0.509830 0.040763
0.732500 0.505096 0.045225
0.737500 0.517563 0.045332
0.742500 0.511741 0.043008
0.747500 0.519062 0.034576
0.752500 0.524409 0.033791
0.757500 0.528422 0.033785
0.762500 0.526748 0.041627
0.767500 0.527092 0.044052
0.772500 0.533065 0.044917
0.777500 0.532984 0.043500
0.782500 0.538205 0.042241
0.787500 0.528178 0.039315
0.792500 0.520690 0.042702
0.797500 0.532705 0.044298
0.802500 0.546888 0.043441
0.807500 0.556175 0.044701
0.812500 0.566569 0.047000
0.817500 0.558719 0.046286
0.822500 0.556513 0.043360
0.827500 0.563541 0.045111
0.832500 0.562508 0.043040
0.837500 0.562914 0.036430
0.842500 0.562894 0.035178
0.847500 0.565292 0.037214
0.852500 0.564271 0.036526
0.857500 0.568224 0.038413
0.862500 0.573774 0.041407
0.867500 0.583789 0.038161
0.872500 0.597524 0.041326
0.877500 0.599077 0.042295
0.882500 0.592936 0.039186
0.887500 0.591390 0.038022
0.892500 0.596755 0.035477
0.897500 0.593622 0.037503
0.902500 0.597892 0.037728
0.907500 0.599743 0.037441
0.912500 0.607785 0.039425
0.917500 0.613121 0.044331
0.922500 0.618616 0.045452
0.927500 0.624297 0.041435
0.932500 0.628651 0.048458
0.937500 0.623715 0.044037
0.942500 0.621759 0.040502
0.947500 0.626847 0.039262
0.952500 0.629699 0.037832
0.957500 0.630162 0.036025
0.962500 0.634065 0.037356
0.967500 0.640905 0.040266
0.972500 0.647801 0.043555
0.977500 0.645656 0.042443
0.982500 0.648575 0.040387
0.987500 0.649719 0.039839
0.992500 0.651399 0.037273
0.997500 0.654875 0.039131
1.002500 0.664021 0.039121
1.007500 0.668620 0.038348
1.012500 0.668675 0.035452
1.017500 0.669347 0.037943
1.022500 0.678611 0.039734
1.027500 0.676847 0.037466
1.032500 0.684614 0.037715
1.037500 0.687708 0.037431
1.042500 0.685166 0.035279
1.047500 0.686839 0.035015
1.052500 0.689330 0.035186
1.057500 0.693295 0.035527
1.062500 0.699412 0.034844
1.067500 0.693383 0.030524
1.072500 0.693379 0.030469
1.077500 0.688204 0.030009
1.082500 0.694056 0.030622
1.087500 0.700218 0.031355
1.092500 0.706328 0.030716
1.097500 0.715108 0.036108
1.102500 0.719561 0.037645
1.107500 0.719865 0.037009
1.112500 0.719309 0.034312
1.117500 0.718814 0.029438
1.122500 0.723956 0.028375
1.127500 0.734531 0.031013
1.132500 0.741245 0.035728
1.137500 0.741132 0.037855
1.142500 0.746453 0.039665
1.147500 0.749586 0.038607
1.152500 0.754303 0.038388
1.157500 0.760837 0.034257
1.162500 0.759612 0.034925
1.167500 0.756800 0.035817
1.172500 0.751917 0.032803
1.177500 0.757771 0.034258
1.182500 0.766722 0.032714
1.187500 0.766787 0.031741
1.192500 0.769462 0.032853
1.197500 0.768237 0.031904
1.202500 0.769742 0.033941
1.207500 0.777520 0.034169
1.212500 0.785650 0.034775
1.217500 0.789612 0.034476
1.222500 0.784540 0.031855
1.227500 0.790649 0.032204
1.232500 0.794733 0.029965
1.237500 0.796267 0.034605
1.242500 0.789339 0.031669
1.247500 0.789905 0.029596
1.252500 0.789503 0.033309
1.257500 0.796227 0.029776
1.262500 0.803842 0.035104
1.267500 0.810079 0.038483
1.272500 0.807476 0.034667
1.277500 0.810570 0.030522
1.282500 0.808269 0.027726
1.287500 0.808149 0.023807
1.292500 0.813639 0.022256
1.297500 0.817978 0.018857
1.302500 0.826391 0.024284
1.307500 0.829113 0.027009
1.312500 0.830181 0.029113
1.317500 0.834917 0.035939
1.322500 0.839035 0.032269
1.327500 0.839865 0.033664
1.332500 0.841708 0.032486
1.337500 0.849325 0.029712
1.342500 0.851264 0.030564
1.347500 0.850806 0.032810
1.352500 0.853081 0.032625
1.357500 0.858550 0.024941
1.362500 0.857687 0.031573
1.367500 0.859436 0.035064
1.372500 0.865187 0.033422
1.377500 0.864805 0.032501
1.382500 0.868593 0.028984
1.387500 0.868506 0.030490
1.392500 0.865119 0.031037
1.397500 0.867259 0.030685
1.402500 0.865844 0.030624
1.407500 0.865498 0.031085
1.412500 0.876089 0.035801
1.417500 0.884750 0.027195
1.422500 0.885611 0.025420
1.427500 0.888305 0.027011
1.432500 0.886025 0.024262
1.437500 0.877184 0.029055
1.442500 0.878485 0.029124
1.447500 0.883885 0.027833
1.452500 0.886953 0.031592
1.457500 0.888684 0.039303
1.462500 0.891462 0.038850
1.467500 0.892247 0.040113
1.472500 0.890996 0.040030
1.477500 0.892754 0.037314
1.482500 0.892716 0.034770
1.487500 0.896107 0.035200
1.492500 0.895263 0.035972
1.497500 0.893705 0.038330
1.502500 0.892157 0.042005
1.507500 0.895868 0.039903
1.512500 0.892259 0.035371
1.517500 0.884742 0.036915
1.522500 0.880765 0.036061
1.527500 0.887796 0.034139
1.532500 0.893814 0.035576
1.537500 0.901748 0.032661
1.542500 0.903188 0.029961
1.547500 0.909156 0.031189
1.552500 0.910905 0.029860
1.557500 0.909574 0.037280
1.562500 0.909774 0.034011
1.567500 0.908861 0.031901
1.572500 0.910074 0.033535
1.577500 0.909683 0.033360
1.582500 0.909551 0.034754
1.587500 0.915160 0.036767
1.592500 0.919955 0.033007
1.597500 0.927259 0.031704
1.602500 0.924535 0.030832
1.607500 0.930484 0.027694
1.612500 0.929109 0.027593
1.617500 0.932271 0.030896
1.622500 0.932473 0.030670
1.627500 0.931380 0.034075
1.632500 0.941283 0.038355
1.637500 0.941339 0.036754
1.642500 0.942905 0.039100
1.647500 0.950418 0.039852
1.652500 0.959261 0.031436
1.657500 0.954418 0.041991
1.662500 0.957157 0.041359
1.667500 0.969365 0.037876
1.672500 0.973028 0.033909
1.677500 0.976469 0.033980
1.682500 0.975853 0.034160
1.687500 0.988085 0.032717
1.692500 0.987841 0.033115
1.697500 0.986410 0.034360
1.702500 0.988587 0.036761
1.707500 0.998628 0.035710
1.712500 0.997940 0.029931
1.717500 0.998862 0.032852
1.722500 0.997246 0.033316
1.727500 0.998451 0.033085
1.732500 0.996888 0.033284
1.737500 0.993815 0.035782
1.742500 0.992949 0.036834
1.747500 0.988177 0.039612
1.752500 0.982761 0.044963
1.757500 0.986097 0.043365
1.762500 0.992246 0.043146
1.767500 0.995214 0.044560
1.772500 0.988449 0.046171
1.777500 0.990852 0.047060
1.782500 0.995487 0.046685
1.787500 0.998738 0.041472
1.792500 0.999405 0.035207
1.797500 1.003090 0.034520
1.802500 1.008262 0.034016
1.807500 1.015534 0.035584
1.812500 1.019001 0.034596
1.817500 1.020841 0.037725
1.822500 1.016320 0.044355
1.827500 1.012816 0.043245
1.832500 1.013943 0.043860
1.837500 1.015985 0.042744
1.842500 1.016523 0.041744
1.847500 1.017672 0.042554
1.852500 1.023851 0.039877
1.857500 1.023785 0.041823
1.862500 1.029039 0.040329
1.867500 1.030787 0.028614
1.872500 1.031355 0.030919
1.877500 1.034664 0.030644
1.882500 1.027266 0.035959
