# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.832251 0.024359
0.707500 0.806114 0.009613
0.712500 0.794881 0.003841
0.717500 0.834099 0.016993
0.722500 0.853485 0.018731
0.727500 0.847338 0.014485
0.732500 0.846217 0.019000
0.737500 0.876619 0.024738
0.742500 0.874244 0.017466
0.747500 0.881888 0.018684
0.752500 0.883915 0.015592
0.757500 0.891311 0.012404
0.762500 0.908128 0.016270
0.767500 0.906455 0.021584
0.772500 0.896207 0.013665
0.777500 0.914221 0.010451
0.782500 0.907986 0.018285
0.787500 0.891250 0.017394
0.792500 0.885209 0.019225
0.797500 0.872798 0.016139
0.802500 0.884514 0.007968
0.807500 0.915411 0.007226
0.812500 0.937590 0.012160
0.817500 0.947445 0.021324
0.822500 0.962886 0.019927
0.827500 0.942104 0.018785
0.832500 0.946042 0.014809
0.837500 0.947577 0.014974
0.842500 0.958795 0.013210
0.847500 0.957758 0.020160
0.852500 0.953022 0.016219
0.857500 0.953006 0.013775
0.862500 0.960005 0.007943
0.867500 0.969147 0.008404
0.872500 0.973969 0.015828
0.877500 0.976872 0.014389
0.882500 0.972378 0.017554
0.887500 0.984310 0.020203
0.892500 0.997601 0.017959
0.897500 0.994594 0.013415
0.902500 0.982892 0.011415
0.907500 0.981645 0.012838
0.912500 0.988832 0.021352
0.917500 0.992891 0.022659
0.922500 0.997567 0.023565
0.927500 0.999885 0.017228
0.932500 0.997571 0.015938
0.937500 0.998948 0.013984
0.942500 0.993782 0.011121
0.947500 1.001142 0.012441
0.952500 1.001520 0.011309
0.957500 1.013245 0.015656
0.962500 1.022786 0.013047
0.967500 1.027887 0.014229
0.972500 1.026565 0.011132
0.977500 1.024461 0.010275
0.982500 1.035472 0.012711
0.987500 1.040245 0.015911
0.992500 1.039931 0.014897
0.997500 1.041298 0.015280
1.002500 1.042578 0.014988
1.007500 1.049995 0.016285
1.012500 1.045750 0.016158
1.017500 1.050283 0.016918
1.022500 1.057492 0.017970
1.027500 1.056987 0.015072
1.032500 1.061680 0.014705
1.037500 1.056731 0.016851
1.042500 1.050223 0.016722
1.047500 1.045377 0.016403
1.052500 1.046817 0.014576
1.057500 1.051837 0.013428
1.062500 1.058070 0.011346
1.067500 1.058277 0.011515
1.072500 1.053940 0.017262
1.077500 1.053691 0.022404
1.082500 1.058790 0.020447
1.087500 1.071958 0.017617
1.092500 1.068384 0.012549
1.097500 1.064849 0.011130
1.102500 1.063164 0.011936
1.107500 1.059313 0.021919
1.112500 1.061226 0.023409
1.117500 1.069752 0.027835
1.122500 1.077407 0.022251
1.127500 1.090896 0.023817
1.132500 1.090592 0.022606
1.137500 1.094028 0.019350
1.142500 1.092904 0.020445
1.147500 1.085400 0.020387
1.152500 1.085238 0.020922
1.157500 1.079217 0.015836
1.162500 1.076743 0.018645
1.167500 1.081960 0.023507
1.172500 1.085733 0.024508
1.177500 1.087436 0.027815
1.182500 1.092912 0.024819
1.187500 1.084779 0.015195
1.192500 1.086436 0.013068
1.197500 1.088822 0.011754
1.202500 1.080935 0.010516
1.207500 1.087100 0.013421
1.212500 1.075970 0.013087
1.217500 1.083845 0.017721
1.222500 1.084105 0.020053
1.227500 1.083426 0.015177
1.232500 1.092348 0.014195
1.237500 1.093371 0.018605
1.242500 1.092815 0.022813
1.247500 1.080068 0.027048
1.252500 1.083029 0.035228
1.257500 1.085897 0.029819
1.262500 1.087944 0.026342
1.267500 1.089608 0.023339
1.272500 1.083715 0.021633
1.277500 1.087862 0.022015
1.282500 1.098109 0.019483
