# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.490942 0.008662
0.707500 0.496944 0.007969
0.712500 0.497283 0.012452
0.717500 0.494162 0.006824
0.722500 0.490158 0.003255
0.727500 0.488412 0.004921
0.732500 0.506165 0.006857
0.737500 0.518894 0.012195
0.742500 0.532097 0.005108
0.747500 0.530414 0.005900
0.752500 0.531752 0.004789
0.757500 0.542452 0.003885
0.762500 0.545023 0.006658
0.767500 0.555630 0.005608
0.772500 0.565916 0.003586
0.777500 0.565823 0.009142
0.782500 0.566410 0.007451
0.787500 0.574244 0.004998
0.792500 0.558363 0.005408
0.797500 0.558427 0.006932
0.802500 0.566930 0.008144
0.807500 0.573114 0.010343
0.812500 0.582850 0.003393
0.817500 0.598348 0.006031
0.822500 0.613934 0.007103
0.827500 0.622770 0.014539
0.832500 0.642098 0.003438
0.837500 0.638458 0.003530
0.842500 0.631881 0.005891
0.847500 0.629042 0.004978
0.852500 0.629142 0.004352
0.857500 0.634964 0.007152
0.862500 0.638530 0.004542
0.867500 0.643009 0.004730
0.872500 0.649175 0.004706
0.877500 0.657666 0.008668
0.882500 0.662819 0.009710
0.887500 0.668705 0.009570
0.892500 0.674234 0.012477
0.897500 0.681983 0.007411
0.902500 0.692216 0.017076
0.907500 0.696493 0.012404
0.912500 0.704020 0.008624
0.917500 0.702445 0.010466
0.922500 0.705104 0.010887
0.927500 0.710575 0.013569
0.932500 0.719462 0.008334
0.937500 0.721612 0.010067
0.942500 0.722840 0.010672
0.947500 0.723664 0.011301
0.952500 0.723978 0.013660
0.957500 0.733623 0.008024
0.962500 0.738104 0.009563
0.967500 0.742312 0.007285
0.972500 0.747752 0.006417
0.977500 0.752282 0.011436
0.982500 0.760952 0.010461
0.987500 0.766291 0.011155
0.992500 0.773946 0.010388
0.997500 0.777619 0.006183
1.002500 0.787818 0.007841
1.007500 0.799441 0.007501
1.012500 0.795724 0.008824
1.017500 0.797270 0.010303
1.022500 0.798572 0.012341
1.027500 0.797735 0.014120
1.032500 0.801855 0.012978
1.037500 0.807928 0.014615
1.042500 0.807781 0.010856
1.047500 0.809338 0.010563
1.052500 0.810264 0.009005
1.057500 0.815005 0.004454
1.062500 0.822282 0.008029
1.067500 0.827007 0.008974
1.072500 0.831896 0.007979
1.077500 0.836053 0.006230
1.082500 0.841378 0.006997
1.087500 0.847507 0.005037
1.092500 0.851871 0.007322
1.097500 0.858788 0.011345
1.102500 0.860465 0.010294
1.107500 0.866010 0.008546
1.112500 0.870864 0.008971
1.117500 0.875567 0.008399
1.122500 0.880296 0.006909
1.127500 0.884466 0.008451
1.132500 0.890089 0.010954
1.137500 0.891509 0.007443
1.142500 0.895581 0.008288
1.147500 0.896515 0.009997
1.152500 0.898077 0.005315
1.157500 0.898637 0.007441
1.162500 0.904329 0.007807
1.167500 0.902290 0.009786
1.172500 0.904846 0.010435
1.177500 0.907171 0.008786
1.182500 0.915598 0.011207
1.187500 0.918540 0.007188
1.192500 0.920933 0.009309
1.197500 0.926224 0.012976
1.202500 0.924460 0.010092
1.207500 0.926135 0.007812
1.212500 0.931917 0.011584
1.217500 0.928176 0.010940
1.222500 0.924172 0.005642
1.227500 0.933891 0.006754
1.232500 0.944104 0.011828
1.237500 0.950105 0.015706
1.242500 0.950529 0.011195
1.247500 0.951152 0.007397
1.252500 0.950681 0.005529
1.257500 0.952725 0.007915
1.262500 0.956067 0.007955
1.267500 0.958107 0.005572
1.272500 0.955382 0.004909
1.277500 0.954849 0.005313
1.282500 0.954765 0.004737
1.287500 0.956031 0.005080
1.292500 0.964326 0.006402
1.297500 0.965995 0.005014
1.302500 0.970434 0.008097
1.307500 0.977152 0.007636
1.312500 0.980757 0.008856
1.317500 0.980995 0.008878
1.322500 0.988977 0.008229
1.327500 0.990181 0.013106
1.332500 0.983158 0.014105
1.337500 0.984952 0.013190
1.342500 0.984540 0.014892
1.347500 0.984345 0.014164
1.352500 0.986798 0.009900
1.357500 0.991604 0.006873
1.362500 0.998338 0.010574
1.367500 0.997688 0.010623
1.372500 1.002214 0.008679
1.377500 0.999529 0.009518
1.382500 1.002855 0.009080
1.387500 1.002534 0.008915
1.392500 1.003660 0.008328
1.397500 1.006054 0.006341
1.402500 1.004892 0.006929
1.407500 1.008607 0.007047
1.412500 1.012953 0.009707
1.417500 1.013285 0.009895
1.422500 1.015553 0.010373
1.427500 1.016221 0.010514
1.432500 1.013285 0.009611
1.437500 1.013051 0.008604
1.442500 1.009470 0.006732
1.447500 1.009635 0.006673
1.452500 1.010680 0.008442
1.457500 1.014835 0.010107
1.462500 1.012051 0.009445
1.467500 1.012972 0.009012
1.472500 1.012947 0.008423
1.477500 1.005829 0.010278
1.482500 1.007642 0.006372
1.487500 1.010157 0.007910
1.492500 1.004884 0.015985
1.497500 1.006731 0.016548
1.502500 1.008252 0.015557
1.507500 1.010815 0.014670
1.512500 1.013153 0.011484
1.517500 1.011287 0.011494
1.522500 1.007612 0.011192
1.527500 1.010016 0.009668
1.532500 1.014327 0.007376
1.537500 1.014927 0.006833
1.542500 1.015884 0.008430
1.547500 1.020317 0.007668
1.552500 1.019948 0.012619
1.557500 1.018203 0.010698
1.562500 1.014622 0.008440
1.567500 1.017011 0.009389
1.572500 1.022411 0.011442
1.577500 1.020150 0.010859
1.582500 1.022905 0.009466
1.587500 1.025376 0.006594
1.592500 1.027793 0.009574
1.597500 1.032195 0.008802
1.602500 1.024138 0.005446
1.607500 1.025604 0.007980
1.612500 1.019965 0.004422
1.617500 1.025698 0.008923
1.622500 1.029863 0.014905
1.627500 1.035953 0.011829
1.632500 1.040914 0.012176
1.637500 1.044504 0.012943
1.642500 1.047941 0.012966
1.647500 1.052611 0.011993
1.652500 1.053757 0.012148
1.657500 1.054858 0.014192
1.662500 1.057387 0.012924
1.667500 1.063710 0.009898
1.672500 1.067976 0.009756
1.677500 1.068500 0.005691
1.682500 1.070444 0.005664
1.687500 1.067259 0.006984
1.692500 1.067254 0.007094
1.697500 1.066042 0.008555
1.702500 1.085192 0.020430
1.707500 1.097245 0.014974
1.712500 1.082832 0.011381
1.717500 1.076002 0.005924
1.722500 1.078965 0.005643
1.727500 1.087573 0.008165
1.732500 1.075792 0.011037
1.737500 1.065647 0.005319
1.742500 1.065693 0.007050
1.747500 1.074660 0.006522
1.752500 1.071306 0.004994
1.757500 1.073265 0.005863
1.762500 1.078209 0.008895
1.767500 1.083193 0.008854
1.772500 1.083748 0.009112
1.777500 1.081298 0.010233
1.782500 1.085582 0.007389
1.787500 1.087645 0.008165
1.792500 1.085135 0.007250
1.797500 1.085531 0.008176
1.802500 1.091057 0.005569
1.807500 1.100444 0.007271
1.812500 1.095143 0.007840
1.817500 1.096552 0.004344
1.822500 1.102510 0.005007
1.827500 1.094544 0.008762
1.832500 1.098123 0.012259
1.837500 1.099780 0.013660
1.842500 1.109336 0.012700
1.847500 1.116450 0.007073
1.852500 1.109579 0.010452
1.857500 1.109703 0.007488
1.862500 1.121395 0.005325
1.867500 1.103800 0.007827
1.872500 1.103268 0.004761
1.877500 1.106571 0.002812
1.882500 1.107105 0.007187
1.887500 1.103218 0.009050
1.892500 1.102438 0.007013
1.897500 1.103902 0.007707
1.902500 1.100470 0.012540
1.907500 1.098345 0.012578
1.912500 1.097398 0.006706
1.917500 1.095441 0.005622
1.922500 1.072575 0.007619
1.927500 1.060705 0.012234
1.932500 1.048013 0.012331
1.937500 1.051428 0.006080
1.942500 1.020265 0.010766
1.947500 1.009978 0.009532
1.952500 1.006802 0.005087
1.957500 1.006564 0.005235
1.962500 0.993681 0.011800
1.967500 0.994327 0.007286
1.972500 0.997861 0.008947
1.977500 0.994696 0.010236
1.982500 0.988800 0.010895
1.987500 0.993631 0.008350
1.992500 0.998624 0.005842
1.997500 0.998681 0.004074
2.002500 0.996754 0.003884
2.007500 0.995423 0.004198
2.012500 1.008715 0.006548
2.017500 1.007169 0.007561
2.022500 1.010998 0.005988
2.027500 1.013484 0.005473
2.032500 1.013671 0.006002
2.037500 1.008921 0.006159
2.042500 1.012761 0.006835
2.047500 1.017281 0.007357
2.052500 1.020585 0.006246
2.057500 1.032073 0.013232
2.062500 1.041400 0.009581
2.067500 1.042465 0.010245
2.072500 1.035629 0.010960
2.077500 1.032836 0.007672
2.082500 1.039132 0.007846
2.087500 1.038902 0.009178
2.092500 1.042396 0.007375
2.097500 1.053975 0.006832
2.102500 1.057379 0.009046
2.107500 1.053817 0.003913
2.112500 1.057071 0.004077
2.117500 1.060187 0.003859
2.122500 1.065530 0.003287
2.127500 1.063023 0.010118
2.132500 1.068763 0.011207
