# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.563268 0.013404
0.707500 0.577162 0.014441
0.712500 0.576276 0.011697
0.717500 0.590016 0.009399
0.722500 0.595252 0.011342
0.727500 0.581833 0.008410
0.732500 0.585779 0.014366
0.737500 0.597912 0.015653
0.742500 0.601907 0.009463
0.747500 0.607848 0.006350
0.752500 0.609412 0.015653
0.757500 0.613184 0.013362
0.762500 0.610957 0.014075
0.767500 0.625598 0.014547
0.772500 0.618817 0.021012
0.777500 0.637375 0.014498
0.782500 0.641601 0.013093
0.787500 0.636538 0.006679
0.792500 0.609150 0.015330
0.797500 0.625238 0.014084
0.802500 0.637315 0.016256
0.807500 0.649373 0.012058
0.812500 0.659307 0.015442
0.817500 0.663223 0.014951
0.822500 0.658706 0.014537
0.827500 0.653326 0.016361
0.832500 0.660139 0.017143
0.837500 0.664284 0.016423
0.842500 0.669863 0.016361
0.847500 0.669548 0.013286
0.852500 0.668299 0.012911
0.857500 0.667325 0.013915
0.862500 0.666969 0.009740
0.867500 0.672816 0.012507
0.872500 0.679128 0.009040
0.877500 0.682563 0.006817
0.882500 0.680829 0.009204
0.887500 0.685130 0.010263
0.892500 0.685055 0.007277
0.897500 0.678766 0.005662
0.902500 0.685780 0.008109
0.907500 0.693168 0.011348
0.912500 0.697160 0.012279
0.917500 0.697941 0.010298
0.922500 0.705422 0.005941
0.927500 0.711549 0.011826
0.932500 0.716046 0.011128
0.937500 0.714446 0.013021
0.942500 0.713248 0.013903
0.947500 0.721525 0.012341
0.952500 0.721659 0.008924
0.957500 0.724678 0.007419
0.962500 0.725571 0.009271
0.967500 0.731698 0.006771
0.972500 0.736527 0.005168
0.977500 0.737343 0.005702
0.982500 0.745958 0.005882
0.987500 0.743367 0.007745
0.992500 0.743813 0.006135
0.997500 0.748688 0.005790
1.002500 0.755059 0.005040
1.007500 0.759665 0.005744
1.012500 0.760236 0.004813
1.017500 0.760418 0.005981
1.022500 0.758366 0.011062
1.027500 0.754983 0.012315
1.032500 0.755313 0.014855
1.037500 0.766190 0.010892
1.042500 0.773584 0.006548
1.047500 0.773236 0.007964
1.052500 0.778626 0.003739
1.057500 0.781230 0.003380
1.062500 0.784559 0.004837
1.067500 0.781510 0.006740
1.072500 0.778573 0.009372
1.077500 0.779781 0.008775
1.082500 0.780199 0.009972
1.087500 0.782737 0.009631
1.092500 0.787636 0.009055
1.097500 0.791930 0.011554
1.102500 0.798400 0.007311
1.107500 0.802482 0.006779
1.112500 0.809109 0.006169
1.117500 0.815738 0.004281
1.122500 0.816958 0.007297
1.127500 0.823759 0.007994
1.132500 0.827892 0.007231
1.137500 0.820518 0.006654
1.142500 0.826625 0.009034
1.147500 0.824773 0.008071
1.152500 0.823302 0.010115
1.157500 0.827710 0.011654
1.162500 0.825403 0.012625
1.167500 0.831514 0.008962
1.172500 0.832850 0.009690
1.177500 0.836485 0.009347
1.182500 0.849237 0.009804
1.187500 0.847784 0.010895
1.192500 0.846102 0.011584
1.197500 0.851560 0.013341
1.202500 0.856563 0.008596
1.207500 0.857996 0.008777
1.212500 0.860122 0.007347
1.217500 0.855313 0.006953
1.222500 0.843552 0.009860
1.227500 0.842047 0.012870
1.232500 0.848376 0.012184
1.237500 0.863112 0.005736
1.242500 0.858809 0.009720
1.247500 0.854018 0.008899
1.252500 0.856433 0.006927
1.257500 0.859199 0.004729
1.262500 0.867438 0.004962
1.267500 0.874379 0.004219
1.272500 0.871751 0.005969
1.277500 0.868580 0.013260
1.282500 0.868956 0.009771
1.287500 0.873294 0.004637
1.292500 0.877091 0.005945
1.297500 0.878475 0.005280
1.302500 0.884835 0.009266
1.307500 0.888258 0.006525
1.312500 0.884182 0.008657
1.317500 0.872746 0.011255
1.322500 0.885348 0.012249
1.327500 0.885938 0.011848
1.332500 0.890497 0.013018
1.337500 0.892336 0.011871
1.342500 0.891444 0.011597
1.347500 0.886316 0.013402
1.352500 0.888380 0.010836
1.357500 0.893416 0.010864
1.362500 0.893489 0.013160
1.367500 0.903070 0.010678
1.372500 0.915621 0.005998
1.377500 0.910430 0.004070
1.382500 0.910273 0.004739
1.387500 0.913248 0.004238
1.392500 0.914350 0.004972
1.397500 0.916999 0.005518
1.402500 0.916744 0.006032
1.407500 0.916931 0.007230
1.412500 0.919309 0.007512
1.417500 0.922146 0.006788
1.422500 0.919379 0.007964
1.427500 0.921392 0.008266
1.432500 0.921576 0.007663
1.437500 0.921831 0.007468
1.442500 0.921756 0.008086
1.447500 0.921883 0.007691
1.452500 0.918559 0.011518
1.457500 0.918534 0.012381
1.462500 0.915123 0.012620
1.467500 0.902596 0.010979
1.472500 0.906548 0.013917
1.477500 0.908824 0.010918
1.482500 0.912488 0.011105
1.487500 0.903304 0.013015
1.492500 0.898084 0.012413
1.497500 0.900262 0.009255
1.502500 0.902100 0.007808
1.507500 0.904228 0.007845
1.512500 0.906309 0.006077
1.517500 0.903687 0.004653
1.522500 0.901027 0.004963
1.527500 0.906636 0.004907
1.532500 0.907102 0.005941
1.537500 0.909430 0.005172
1.542500 0.902380 0.006252
1.547500 0.911179 0.007818
1.552500 0.914398 0.004747
1.557500 0.918216 0.005943
1.562500 0.914810 0.006697
1.567500 0.912272 0.009624
1.572500 0.918417 0.004990
1.577500 0.917958 0.004200
1.582500 0.922341 0.005650
1.587500 0.921411 0.005469
1.592500 0.919667 0.014053
1.597500 0.920882 0.012455
1.602500 0.919230 0.012606
1.607500 0.932291 0.005448
1.612500 0.934444 0.005676
1.617500 0.936101 0.012345
1.622500 0.940543 0.010426
1.627500 0.947253 0.009233
1.632500 0.947015 0.005325
1.637500 0.949501 0.005491
1.642500 0.947620 0.005975
1.647500 0.944681 0.006251
1.652500 0.945952 0.004519
1.657500 0.934759 0.011367
1.662500 0.944771 0.004374
1.667500 0.942265 0.012757
1.672500 0.947717 0.014443
1.677500 0.958568 0.008279
1.682500 0.965113 0.009273
1.687500 0.967775 0.011850
1.692500 0.970908 0.011460
1.697500 0.974380 0.015384
1.702500 0.978875 0.008615
1.707500 0.980051 0.008275
1.712500 0.984319 0.007596
1.717500 0.988147 0.007236
1.722500 0.978965 0.011299
1.727500 0.990224 0.013118
1.732500 0.990279 0.013829
1.737500 0.988756 0.009247
1.742500 0.995244 0.006877
1.747500 0.985494 0.014381
1.752500 0.983858 0.014312
1.757500 0.986218 0.015099
1.762500 0.981529 0.016165
1.767500 0.986661 0.016377
1.772500 0.989251 0.008818
1.777500 0.990669 0.006743
1.782500 0.986491 0.008454
1.787500 0.969684 0.013161
1.792500 0.976496 0.012789
1.797500 0.985627 0.006403
1.802500 0.988888 0.004224
1.807500 0.973859 0.019203
1.812500 0.999143 0.005023
1.817500 1.002013 0.005713
1.822500 1.001116 0.006764
1.827500 1.000557 0.008937
1.832500 1.005927 0.012033
1.837500 1.004812 0.014127
