# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.592593 0.007566
0.707500 0.598027 0.006505
0.712500 0.615762 0.003954
0.717500 0.609788 0.008842
0.722500 0.611326 0.008710
0.727500 0.622733 0.009816
0.732500 0.624041 0.009096
0.737500 0.620697 0.011033
0.742500 0.633635 0.006643
0.747500 0.632802 0.006631
0.752500 0.633245 0.009873
0.757500 0.642363 0.008605
0.762500 0.641253 0.006347
0.767500 0.647219 0.005498
0.772500 0.644645 0.008253
0.777500 0.643972 0.007174
0.782500 0.651404 0.007161
0.787500 0.665527 0.013801
0.792500 0.663548 0.008328
0.797500 0.661522 0.005237
0.802500 0.668005 0.005034
0.807500 0.659335 0.004594
0.812500 0.667424 0.004984
0.817500 0.671219 0.004560
0.822500 0.678467 0.005423
0.827500 0.679114 0.007154
0.832500 0.679568 0.004224
0.837500 0.685275 0.003425
0.842500 0.690938 0.005809
0.847500 0.692026 0.005373
0.852500 0.694349 0.004692
0.857500 0.694800 0.005743
0.862500 0.701803 0.007606
0.867500 0.700028 0.005192
0.872500 0.702132 0.007645
0.877500 0.704381 0.004884
0.882500 0.705258 0.005115
0.887500 0.709350 0.004019
0.892500 0.713643 0.004187
0.897500 0.723595 0.010530
0.902500 0.722706 0.009526
0.907500 0.722537 0.010175
0.912500 0.730284 0.005927
0.917500 0.731427 0.006154
0.922500 0.732877 0.005437
0.927500 0.731141 0.005468
0.932500 0.732277 0.005719
0.937500 0.734807 0.003760
0.942500 0.737927 0.003677
0.947500 0.740837 0.003754
0.952500 0.746488 0.008604
0.957500 0.751195 0.006704
0.962500 0.747565 0.003286
0.967500 0.753453 0.005431
0.972500 0.754961 0.005403
0.977500 0.757140 0.007196
0.982500 0.764178 0.009184
0.987500 0.773876 0.007066
0.992500 0.775480 0.005843
0.997500 0.772437 0.007613
1.002500 0.766749 0.008622
1.007500 0.770226 0.012155
1.012500 0.774367 0.012252
1.017500 0.781580 0.008870
1.022500 0.783538 0.009229
1.027500 0.782977 0.007967
1.032500 0.786961 0.006477
1.037500 0.791285 0.006948
1.042500 0.786452 0.004484
1.047500 0.787452 0.005328
1.052500 0.790868 0.006357
1.057500 0.794453 0.005558
1.062500 0.801806 0.007840
1.067500 0.797249 0.005003
1.072500 0.797060 0.003997
1.077500 0.794323 0.004767
1.082500 0.798562 0.003509
1.087500 0.803401 0.005428
1.092500 0.810209 0.006227
1.097500 0.810583 0.007074
1.102500 0.817911 0.011751
1.107500 0.818540 0.008804
1.112500 0.817864 0.004719
1.117500 0.820265 0.004458
1.122500 0.822892 0.003956
1.127500 0.827818 0.004996
1.132500 0.828857 0.005724
1.137500 0.831247 0.006665
1.142500 0.837421 0.005477
1.147500 0.840574 0.005743
1.152500 0.839214 0.005606
1.157500 0.837216 0.005774
1.162500 0.841105 0.011782
1.167500 0.841475 0.010532
1.172500 0.844140 0.006876
1.177500 0.845010 0.007633
1.182500 0.852523 0.007872
1.187500 0.848360 0.009747
1.192500 0.849106 0.007098
1.197500 0.848648 0.006370
1.202500 0.848284 0.008624
1.207500 0.856175 0.010728
1.212500 0.861304 0.009729
1.217500 0.863985 0.008177
1.222500 0.862977 0.011183
1.227500 0.863278 0.010180
1.232500 0.870060 0.007642
1.237500 0.869645 0.004866
1.242500 0.864375 0.005929
1.247500 0.858572 0.004660
1.252500 0.865065 0.002835
1.257500 0.865293 0.004035
1.262500 0.865983 0.006740
1.267500 0.871520 0.004325
1.272500 0.867436 0.007073
1.277500 0.867056 0.005231
1.282500 0.880921 0.007666
1.287500 0.879819 0.005429
1.292500 0.883629 0.007054
1.297500 0.882250 0.004816
1.302500 0.878951 0.003768
1.307500 0.881171 0.004328
1.312500 0.885397 0.005942
1.317500 0.886563 0.004491
1.322500 0.887895 0.004529
1.327500 0.883976 0.004846
1.332500 0.882732 0.004448
1.337500 0.884772 0.004164
1.342500 0.882824 0.004028
1.347500 0.887540 0.004904
1.352500 0.889987 0.004852
1.357500 0.896634 0.005268
1.362500 0.896951 0.005844
1.367500 0.897333 0.005655
1.372500 0.901178 0.006616
1.377500 0.897996 0.008245
1.382500 0.902417 0.005066
1.387500 0.906487 0.005161
1.392500 0.907102 0.005530
1.397500 0.908099 0.006132
1.402500 0.904441 0.006207
1.407500 0.907764 0.005790
1.412500 0.909282 0.007164
1.417500 0.908862 0.006259
1.422500 0.910586 0.004062
1.427500 0.913938 0.004976
1.432500 0.913273 0.004963
1.437500 0.911102 0.005136
1.442500 0.903394 0.005697
1.447500 0.903675 0.005597
1.452500 0.905466 0.005301
1.457500 0.906173 0.005449
1.462500 0.904146 0.005518
1.467500 0.907599 0.006105
1.472500 0.904410 0.004904
1.477500 0.901420 0.004402
1.482500 0.903989 0.004942
1.487500 0.900986 0.004231
1.492500 0.893453 0.004670
1.497500 0.891097 0.004118
1.502500 0.890196 0.004338
1.507500 0.892165 0.006724
1.512500 0.890223 0.005968
1.517500 0.893701 0.006086
1.522500 0.890099 0.005794
1.527500 0.891324 0.004270
1.532500 0.892414 0.004441
1.537500 0.890156 0.004266
1.542500 0.887158 0.006018
1.547500 0.892284 0.006511
1.552500 0.893194 0.005502
1.557500 0.896449 0.004920
1.562500 0.891776 0.005812
1.567500 0.897612 0.007421
1.572500 0.899628 0.004360
1.577500 0.904712 0.006811
1.582500 0.908812 0.007891
1.587500 0.906677 0.004274
1.592500 0.906999 0.003711
1.597500 0.911902 0.004003
1.602500 0.911859 0.005063
1.607500 0.918176 0.006912
1.612500 0.924000 0.010346
1.617500 0.923642 0.010376
1.622500 0.924206 0.006457
1.627500 0.921204 0.006043
1.632500 0.927356 0.003073
1.637500 0.928558 0.004959
1.642500 0.927984 0.004015
1.647500 0.927064 0.007355
1.652500 0.934046 0.003963
1.657500 0.931003 0.004131
1.662500 0.935715 0.006176
1.667500 0.938407 0.004193
1.672500 0.942339 0.003732
1.677500 0.947246 0.004246
1.682500 0.953561 0.006619
1.687500 0.959130 0.007836
1.692500 0.961918 0.006270
1.697500 0.959347 0.006533
1.702500 0.961180 0.007831
1.707500 0.965067 0.006588
1.712500 0.968333 0.006119
1.717500 0.970118 0.005701
1.722500 0.970194 0.009465
1.727500 0.972136 0.005447
1.732500 0.974933 0.004715
1.737500 0.969937 0.005893
1.742500 0.967054 0.007140
1.747500 0.968477 0.005570
1.752500 0.970469 0.004649
1.757500 0.967803 0.006626
1.762500 0.964330 0.008197
1.767500 0.969212 0.005965
1.772500 0.970798 0.006365
1.777500 0.971362 0.006009
