# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.722809 0.011816
0.707500 0.713987 0.006944
0.712500 0.713624 0.005880
0.717500 0.706162 0.015506
0.722500 0.730885 0.009529
0.727500 0.725421 0.012188
0.732500 0.742228 0.010915
0.737500 0.750422 0.012143
0.742500 0.749101 0.007046
0.747500 0.764345 0.005944
0.752500 0.768754 0.013404
0.757500 0.774168 0.016680
0.762500 0.776760 0.017630
0.767500 0.771293 0.015667
0.772500 0.784986 0.010041
0.777500 0.791481 0.010152
0.782500 0.790075 0.018307
0.787500 0.779424 0.016310
0.792500 0.769809 0.014957
0.797500 0.751732 0.010057
0.802500 0.762530 0.015823
0.807500 0.775472 0.024632
0.812500 0.801607 0.021780
0.817500 0.828269 0.013357
0.822500 0.837016 0.012823
0.827500 0.836356 0.010645
0.832500 0.830826 0.011578
0.837500 0.825230 0.016432
0.842500 0.829077 0.012792
0.847500 0.829807 0.016481
0.852500 0.833246 0.008770
0.857500 0.836486 0.008416
0.862500 0.843945 0.015095
0.867500 0.850684 0.018156
0.872500 0.849213 0.011609
0.877500 0.859095 0.009987
0.882500 0.854180 0.007028
0.887500 0.870447 0.013288
0.892500 0.876594 0.009660
0.897500 0.872441 0.012142
0.902500 0.874444 0.013261
0.907500 0.872197 0.015426
0.912500 0.880159 0.017032
0.917500 0.879208 0.014405
0.922500 0.890773 0.012283
0.927500 0.890737 0.017031
0.932500 0.890549 0.017052
0.937500 0.890170 0.017259
0.942500 0.889329 0.015512
0.947500 0.900963 0.008474
0.952500 0.904093 0.016855
0.957500 0.906900 0.013099
0.962500 0.911766 0.014931
0.967500 0.911820 0.013619
0.972500 0.924117 0.010465
0.977500 0.932127 0.014214
0.982500 0.938399 0.015805
0.987500 0.933588 0.019304
0.992500 0.927729 0.021134
0.997500 0.930609 0.016827
1.002500 0.946812 0.012256
1.007500 0.954472 0.009822
1.012500 0.947259 0.012353
1.017500 0.942268 0.014891
1.022500 0.942278 0.018882
1.027500 0.946269 0.017480
1.032500 0.952445 0.018668
1.037500 0.959614 0.013787
1.042500 0.950389 0.016921
1.047500 0.947939 0.012588
1.052500 0.946767 0.013430
1.057500 0.951497 0.013762
1.062500 0.954425 0.012683
1.067500 0.957834 0.011393
1.072500 0.963968 0.010316
1.077500 0.965078 0.011452
1.082500 0.973379 0.010013
1.087500 0.978223 0.010673
1.092500 0.978478 0.012330
1.097500 0.977818 0.014454
1.102500 0.976019 0.015068
1.107500 0.977632 0.014535
1.112500 0.979910 0.013771
1.117500 0.981896 0.014614
1.122500 0.989624 0.013142
1.127500 0.996581 0.011271
1.132500 0.997373 0.018416
1.137500 0.990892 0.011770
1.142500 0.996693 0.013792
1.147500 0.996498 0.020343
1.152500 0.997984 0.018761
1.157500 1.004201 0.016860
1.162500 1.008389 0.011140
1.167500 1.006053 0.011445
1.172500 1.008616 0.012012
1.177500 1.013761 0.008473
1.182500 1.019135 0.010062
1.187500 1.020552 0.008813
1.192500 1.015264 0.011316
1.197500 1.017588 0.012132
1.202500 1.013832 0.014784
1.207500 1.012101 0.014104
1.212500 1.022049 0.008794
1.217500 1.024132 0.007077
1.222500 1.011939 0.010689
1.227500 1.012880 0.012391
1.232500 1.022730 0.014967
1.237500 1.024649 0.026631
1.242500 1.019699 0.021257
1.247500 1.014687 0.018755
1.252500 1.008389 0.016134
1.257500 1.000252 0.012099
1.262500 1.006985 0.008137
1.267500 1.013601 0.005348
1.272500 1.019354 0.005203
1.277500 1.025282 0.006904
1.282500 1.021812 0.008224
1.287500 1.023287 0.009195
1.292500 1.021544 0.006747
1.297500 1.019868 0.008663
1.302500 1.022915 0.007341
1.307500 1.025523 0.008322
1.312500 1.034913 0.013055
1.317500 1.027184 0.014686
1.322500 1.035449 0.010321
1.327500 1.041726 0.008128
1.332500 1.052587 0.007390
1.337500 1.053308 0.010994
1.342500 1.052494 0.019704
1.347500 1.043789 0.020357
1.352500 1.040064 0.018934
1.357500 1.044381 0.015689
1.362500 1.047867 0.009689
1.367500 1.048003 0.012190
1.372500 1.050263 0.011779
1.377500 1.050102 0.007022
1.382500 1.038991 0.013789
1.387500 1.034439 0.013855
1.392500 1.033681 0.013646
1.397500 1.037284 0.013428
1.402500 1.040895 0.011915
1.407500 1.038905 0.011417
1.412500 1.041074 0.013553
1.417500 1.041888 0.009696
1.422500 1.029490 0.018695
1.427500 1.031762 0.018450
1.432500 1.032740 0.018202
1.437500 1.034208 0.016353
1.442500 1.040673 0.012784
1.447500 1.039406 0.012001
1.452500 1.039645 0.012331
1.457500 1.036700 0.014972
1.462500 1.027745 0.019513
1.467500 1.025807 0.020226
1.472500 1.026825 0.021554
1.477500 1.033275 0.016506
1.482500 1.037944 0.008142
1.487500 1.040834 0.006856
1.492500 1.038194 0.005865
1.497500 1.034323 0.008219
1.502500 1.037413 0.009184
1.507500 1.036690 0.008002
1.512500 1.042684 0.007967
1.517500 1.043216 0.015125
1.522500 1.029333 0.024920
1.527500 1.021733 0.020297
1.532500 1.019144 0.021163
1.537500 1.016884 0.020868
1.542500 1.017695 0.017370
1.547500 1.019256 0.020975
1.552500 1.025486 0.016945
1.557500 1.030203 0.014075
1.562500 1.033484 0.011836
1.567500 1.031970 0.011488
1.572500 1.044812 0.009177
1.577500 1.038080 0.012305
1.582500 1.025443 0.021456
1.587500 1.025912 0.021276
1.592500 1.026251 0.022507
1.597500 1.025586 0.023185
1.602500 1.013576 0.021991
1.607500 1.013816 0.022410
1.612500 1.013030 0.019225
1.617500 1.018220 0.021293
1.622500 1.030784 0.028193
1.627500 1.026058 0.021022
1.632500 1.031045 0.022746
1.637500 1.033911 0.016049
1.642500 1.047558 0.008834
1.647500 1.046828 0.013619
1.652500 1.051721 0.016819
1.657500 1.048080 0.017777
1.662500 1.045317 0.010339
1.667500 1.052163 0.011701
1.672500 1.055701 0.010184
1.677500 1.053321 0.010705
1.682500 1.051563 0.019118
1.687500 1.051718 0.014279
1.692500 1.055840 0.013275
1.697500 1.051400 0.017451
1.702500 1.027131 0.005915
1.707500 1.033162 0.029566
1.712500 1.038967 0.030693
1.717500 1.070091 0.021241
1.722500 1.056131 0.014263
1.727500 1.067396 0.014523
1.732500 1.066918 0.009960
1.737500 1.058314 0.006957
1.742500 1.054647 0.008974
1.747500 1.049875 0.012575
1.752500 1.050610 0.013440
1.757500 1.049726 0.012010
1.762500 1.052116 0.010357
1.767500 1.057178 0.011290
1.772500 1.060811 0.009252
1.777500 1.056617 0.009891
1.782500 1.060939 0.010445
1.787500 1.072969 0.009616
1.792500 1.072679 0.005035
1.797500 1.067659 0.009098
1.802500 1.071249 0.009962
1.807500 1.076563 0.013425
1.812500 1.068362 0.006332
1.817500 1.049496 0.013796
1.822500 1.041973 0.014458
1.827500 1.039527 0.012412
1.832500 1.045827 0.015121
1.837500 1.047495 0.018771
1.842500 1.041077 0.016444
1.847500 1.046785 0.014672
1.852500 1.049650 0.013413
1.857500 1.054633 0.013599
1.862500 1.072460 0.015398
1.867500 1.077053 0.013709
1.872500 1.073324 0.012683
1.877500 1.068523 0.017134
1.882500 1.068119 0.016780
1.887500 1.073835 0.018902
1.892500 1.076929 0.017151
1.897500 1.072550 0.015980
1.902500 1.068324 0.018879
1.907500 1.068032 0.017246
1.912500 1.072133 0.014216
1.917500 1.063191 0.016850
1.922500 1.073992 0.021524
1.927500 1.058849 0.011301
1.932500 1.041056 0.020233
1.937500 1.039149 0.019758
1.942500 1.036885 0.017723
1.947500 1.030088 0.018264
1.952500 1.019290 0.014099
1.957500 1.019274 0.015534
1.962500 1.020723 0.014443
1.967500 1.011661 0.014024
1.972500 1.020422 0.022795
1.977500 1.023407 0.023106
1.982500 1.024440 0.018144
1.987500 1.034035 0.018019
1.992500 1.035049 0.017087
1.997500 1.033692 0.016424
2.002500 1.029272 0.013353
2.007500 1.022994 0.011152
2.012500 1.013950 0.008988
2.017500 1.018352 0.011410
2.022500 1.009021 0.010325
2.027500 1.023065 0.017143
2.032500 1.028547 0.020842
2.037500 1.025169 0.012384
2.042500 1.031717 0.008990
2.047500 1.033368 0.008923
2.052500 1.033092 0.007646
2.057500 1.039644 0.010933
2.062500 1.041614 0.011783
2.067500 1.047096 0.005841
2.072500 1.051483 0.005238
2.077500 1.040681 0.009125
2.082500 1.038229 0.011087
2.087500 1.039065 0.014687
2.092500 1.029071 0.015511
2.097500 1.034021 0.022805
2.102500 1.040439 0.023694
2.107500 1.052290 0.020798
2.112500 1.062932 0.010347
2.117500 1.063176 0.015637
2.122500 1.064315 0.013288
2.127500 1.070253 0.023956
2.132500 1.061444 0.026054
2.137500 1.054536 0.021824
2.142500 1.047355 0.018510
2.147500 1.040410 0.009142
2.152500 1.031644 0.013026
2.157500 1.027961 0.012866
2.162500 1.039722 0.016253
2.167500 1.047752 0.012883
2.172500 1.065096 0.021795
2.177500 1.065185 0.025397
2.182500 1.069209 0.021958
2.187500 1.059804 0.018419
2.192500 1.057827 0.016754
2.197500 1.053486 0.022606
2.202500 1.050253 0.017883
2.207500 1.049339 0.018907
2.212500 1.051508 0.017881
2.217500 1.067181 0.012131
2.222500 1.069784 0.010715
2.227500 1.067550 0.011313
2.232500 1.053568 0.011942
2.237500 1.038935 0.006679
2.242500 1.042073 0.006277
2.247500 1.036050 0.003108
2.252500 1.036857 0.007701
2.257500 1.026674 0.006950
2.262500 1.022476 0.002509
2.267500 1.026949 0.008004
2.272500 1.028890 0.014751
2.277500 1.037562 0.015726
2.282500 1.034726 0.012231
2.287500 1.037715 0.014258
2.292500 1.041232 0.011847
2.297500 1.041282 0.019747
2.302500 1.025597 0.020616
2.307500 1.022227 0.017343
2.312500 1.030650 0.017076
2.317500 1.031912 0.021083
2.322500 1.023794 0.013040
2.327500 1.027235 0.010403
2.332500 1.029463 0.012147
2.337500 1.046646 0.017109
2.342500 1.065135 0.022091
2.347500 1.053061 0.014626
2.352500 1.046867 0.006220
2.357500 1.058964 0.007014
2.362500 1.068081 0.016725
2.367500 1.057093 0.017766
2.372500 1.057726 0.012269
2.377500 1.056125 0.010505
2.382500 1.060441 0.006735
2.387500 1.040444 0.020222
2.392500 1.039615 0.022079
2.397500 1.031106 0.019194
2.402500 1.023099 0.024424
2.407500 1.041127 0.015004
2.412500 1.037237 0.013633
2.417500 1.041688 0.012700
2.422500 1.032956 0.009052
2.427500 1.019971 0.010265
2.432500 1.031712 0.006133
2.437500 1.025733 0.017352
2.442500 1.017876 0.024807
2.447500 1.011955 0.013758
2.452500 1.016117 0.011171
2.457500 1.023280 0.017024
2.462500 1.018283 0.017136
2.467500 1.013903 0.015932
2.472500 1.015869 0.021711
2.477500 1.005815 0.020874
2.482500 1.018394 0.028023
2.487500 1.035172 0.020710
2.492500 1.025162 0.018185
2.497500 1.028394 0.011757
2.502500 1.023330 0.012197
2.507500 1.010725 0.019810
2.512500 1.009770 0.022894
2.517500 1.008975 0.021886
2.522500 1.010947 0.020133
2.527500 1.011689 0.018507
2.532500 1.022914 0.011944
2.537500 1.020988 0.021206
2.542500 1.022471 0.014323
2.547500 1.017929 0.012717
2.552500 1.002656 0.012799
2.557500 1.017075 0.005746
2.562500 1.027539 0.003654
2.567500 1.022966 0.001683
2.572500 1.021365 0.011037
2.577500 1.022675 0.009073
2.582500 1.024159 0.016438
2.587500 1.000000 0.010678
2.592500 0.991662 0.010052
2.597500 1.005044 0.013067
2.602500 1.004822 0.013382
2.607500 1.002149 0.011695
2.612500 0.990738 0.008266
2.617500 0.964520 0.006041
2.622500 0.964401 0.005296
2.627500 0.954912 0.007756
2.632500 0.954702 0.009520
2.637500 0.950438 0.007887
2.642500 0.952461 0.010727
2.647500 0.950649 0.013019
2.652500 0.953664 0.010753
2.657500 0.910281 0.015209
2.662500 0.867284 0.012529
2.667500 0.843838 0.018327
2.672500 0.799627 0.008498
2.677500 0.758812 0.012934
2.682500 0.723492 0.010326
2.687500 0.680752 0.009603
2.692500 0.656183 0.015072
2.697500 0.662225 0.007522
2.702500 0.681546 0.006540
2.707500 0.710454 0.012733
2.712500 0.734570 0.006594
2.717500 0.776394 0.029233
2.722500 0.796062 0.019206
2.727500 0.799005 0.026139
2.732500 0.775520 0.022484
2.737500 0.745246 0.004360
2.742500 0.746583 0.009201
2.747500 0.711076 0.005275
2.752500 0.691766 0.007759
2.757500 0.671251 0.003612
2.762500 0.614759 0.012310
2.767500 0.592208 0.005367
2.772500 0.572384 0.002840
2.777500 0.551099 0.004009
2.782500 0.550061 0.003257
2.787500 0.562689 0.008912
2.792500 0.539778 0.010249
2.797500 0.529040 0.008623
2.802500 0.526962 0.010668
2.807500 0.512341 0.013847
2.812500 0.485568 0.003814
2.817500 0.462395 0.005323
2.822500 0.441214 0.003771
2.827500 0.430605 0.001710
2.832500 0.400423 0.008939
2.837500 0.384391 0.008730
2.842500 0.368875 0.002700
2.847500 0.352766 0.005224
2.852500 0.336244 0.007111
2.857500 0.327415 0.016151
2.862500 0.306418 0.010580
2.867500 0.287753 0.004214
2.872500 0.275029 0.002344
2.877500 0.250853 0.001953
2.882500 0.252843 0.005806
2.887500 0.246356 0.005768
2.892500 0.237833 0.004805
2.897500 0.227777 0.004483
2.902500 0.210198 0.007448
2.907500 0.204890 0.011948
2.912500 0.203803 0.001960
2.917500 0.212791 0.006031
2.922500 0.204290 0.004389
2.927500 0.202581 0.009788
2.932500 0.198680 0.013452
2.937500 0.190706 0.006412
2.942500 0.181579 0.005988
2.947500 0.178924 0.002494
2.952500 0.176854 0.008598
2.957500 0.176202 0.012240
2.962500 0.173733 0.012343
2.967500 0.161804 0.012735
2.972500 0.164998 0.011175
2.977500 0.159277 0.004992
2.982500 0.152794 0.004775
2.987500 0.149428 0.008753
2.992500 0.144159 0.002835
2.997500 0.151645 0.008594
3.002500 0.156953 0.013117
3.007500 0.169131 0.014080
3.012500 0.169781 0.008524
3.017500 0.165833 0.008824
3.022500 0.156491 0.009983
3.027500 0.158428 0.011282
3.032500 0.142236 0.010978
3.037500 0.146976 0.003952
3.042500 0.153171 0.003535
3.047500 0.148437 0.006040
3.052500 0.145216 0.006069
3.057500 0.152362 0.003433
3.062500 0.151407 0.012722
3.067500 0.158114 0.011760
3.072500 0.148055 0.008925
3.077500 0.154730 0.005039
3.082500 0.149074 0.005343
3.087500 0.157473 0.003581
3.092500 0.164498 0.006418
3.097500 0.164400 0.007582
3.102500 0.147003 0.015918
3.107500 0.133005 0.017425
3.112500 0.138282 0.019285
3.117500 0.153228 0.007962
3.122500 0.159019 0.005938
3.127500 0.157416 0.012466
3.132500 0.155910 0.010859
3.137500 0.160822 0.006149
3.142500 0.162339 0.002804
3.147500 0.160665 0.003118
3.152500 0.167902 0.008217
3.157500 0.168460 0.003309
3.162500 0.169168 0.005416
3.167500 0.163493 0.008382
3.172500 0.173201 0.001860
3.177500 0.169954 0.003175
3.182500 0.187276 0.011108
3.187500 0.188720 0.008757
3.192500 0.207932 0.011490
3.197500 0.210741 0.006774
3.202500 0.207911 0.009739
3.207500 0.181471 0.012412
3.212500 0.202256 0.003363
3.217500 0.208735 0.004163
3.222500 0.214755 0.013868
3.227500 0.209461 0.011080
3.232500 0.234818 0.024112
3.237500 0.242405 0.018091
3.242500 0.240565 0.007991
3.247500 0.255202 0.006567
3.252500 0.277839 0.005538
3.257500 0.289446 0.016247
3.262500 0.282633 0.017760
3.267500 0.280167 0.028153
3.272500 0.300134 0.019392
3.277500 0.314848 0.015536
3.282500 0.319761 0.016274
3.287500 0.339717 0.019449
3.292500 0.345975 0.019355
3.297500 0.350044 0.017951
3.302500 0.358237 0.019023
3.307500 0.369666 0.016862
3.312500 0.364060 0.015830
3.317500 0.362112 0.018403
3.322500 0.348107 0.002765
3.327500 0.358549 0.004113
3.332500 0.354879 0.008598
3.337500 0.382471 0.010347
3.342500 0.389815 0.011326
3.347500 0.395806 0.016129
3.352500 0.389231 0.010430
3.357500 0.377427 0.011687
3.362500 0.373374 0.008303
3.367500 0.377336 0.007317
3.372500 0.372795 0.009013
3.377500 0.374800 0.008145
3.382500 0.376382 0.014672
3.387500 0.376282 0.018250
3.392500 0.380873 0.017225
3.397500 0.383065 0.007803
3.402500 0.379228 0.006342
3.407500 0.371283 0.011147
3.412500 0.380122 0.008156
3.417500 0.392830 0.004888
3.422500 0.411917 0.010174
3.427500 0.429175 0.020626
3.432500 0.421101 0.016971
3.437500 0.412953 0.023532
3.442500 0.413029 0.024944
3.447500 0.400891 0.027157
3.452500 0.380847 0.017756
3.457500 0.370921 0.006635
3.462500 0.392084 0.006228
3.467500 0.399845 0.003883
