# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.715151 0.013668
0.707500 0.723204 0.005740
0.712500 0.721005 0.004623
0.717500 0.728746 0.009342
0.722500 0.746945 0.026133
0.727500 0.759823 0.026350
0.732500 0.787814 0.019596
0.737500 0.803145 0.022215
0.742500 0.797411 0.007260
0.747500 0.800215 0.010662
0.752500 0.787214 0.015020
0.757500 0.788853 0.012350
0.762500 0.812795 0.006784
0.767500 0.830068 0.008350
0.772500 0.832578 0.016350
0.777500 0.840439 0.012008
0.782500 0.842987 0.009794
0.787500 0.831941 0.006623
0.792500 0.813767 0.013510
0.797500 0.819008 0.022298
0.802500 0.850064 0.009945
0.807500 0.866541 0.011713
0.812500 0.884179 0.011862
0.817500 0.879828 0.009438
0.822500 0.876769 0.008246
0.827500 0.877782 0.006416
0.832500 0.886323 0.006695
0.837500 0.897963 0.007165
0.842500 0.909284 0.010863
0.847500 0.907815 0.010982
0.852500 0.902660 0.008302
0.857500 0.914187 0.009870
0.862500 0.920988 0.011535
0.867500 0.923183 0.010041
0.872500 0.932237 0.006610
0.877500 0.935755 0.008236
0.882500 0.938860 0.006815
0.887500 0.942005 0.009349
0.892500 0.950859 0.005777
0.897500 0.952650 0.006226
0.902500 0.954359 0.011398
0.907500 0.967414 0.007893
0.912500 0.971266 0.010895
0.917500 0.974170 0.005523
0.922500 0.967523 0.007353
0.927500 0.972266 0.006808
0.932500 0.980044 0.005488
0.937500 0.984115 0.005369
0.942500 0.986612 0.006132
0.947500 0.988432 0.004123
0.952500 0.979020 0.007552
0.957500 0.980971 0.009590
0.962500 0.984787 0.011309
0.967500 0.992253 0.010922
0.972500 0.993858 0.008636
0.977500 1.001567 0.009637
0.982500 1.011635 0.017973
0.987500 1.020001 0.016119
0.992500 1.019802 0.008666
0.997500 1.010544 0.010734
1.002500 1.011124 0.013936
1.007500 1.020518 0.015276
1.012500 1.026095 0.009999
1.017500 1.026171 0.011598
1.022500 1.031520 0.017633
1.027500 1.037414 0.011651
1.032500 1.036897 0.014428
1.037500 1.042199 0.009011
1.042500 1.046647 0.006554
1.047500 1.046795 0.009190
1.052500 1.043867 0.018410
1.057500 1.047783 0.014360
1.062500 1.050603 0.006678
1.067500 1.046804 0.003891
1.072500 1.039976 0.007487
1.077500 1.042978 0.007276
1.082500 1.051224 0.013191
1.087500 1.053528 0.016220
1.092500 1.060737 0.011209
1.097500 1.069162 0.012520
1.102500 1.070388 0.011364
1.107500 1.074801 0.010954
1.112500 1.078349 0.015568
1.117500 1.085054 0.017110
1.122500 1.086382 0.017339
1.127500 1.093231 0.013329
1.132500 1.091744 0.011221
1.137500 1.093526 0.008508
1.142500 1.089289 0.011984
1.147500 1.089270 0.009595
1.152500 1.092796 0.011570
1.157500 1.090700 0.011102
1.162500 1.088561 0.017896
1.167500 1.083007 0.018836
1.172500 1.084826 0.022149
1.177500 1.085842 0.022991
1.182500 1.099379 0.019379
1.187500 1.104670 0.010022
1.192500 1.110299 0.008375
1.197500 1.111074 0.011141
1.202500 1.113684 0.012264
