# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.635367 0.019511
0.707500 0.615931 0.017525
0.712500 0.638899 0.024611
0.717500 0.650060 0.013581
0.722500 0.651457 0.024093
0.727500 0.659971 0.017298
0.732500 0.655684 0.013541
0.737500 0.635377 0.014549
0.742500 0.662972 0.013772
0.747500 0.651515 0.007668
0.752500 0.655892 0.012555
0.757500 0.666805 0.010923
0.762500 0.668634 0.011242
0.767500 0.669269 0.012865
0.772500 0.672649 0.015906
0.777500 0.685686 0.016381
0.782500 0.672684 0.017494
0.787500 0.671855 0.024082
0.792500 0.689366 0.011182
0.797500 0.691587 0.013155
0.802500 0.696253 0.008076
0.807500 0.698473 0.008125
0.812500 0.699402 0.008750
0.817500 0.707264 0.011229
0.822500 0.714241 0.015131
0.827500 0.699683 0.009701
0.832500 0.705458 0.004020
0.837500 0.703306 0.006126
0.842500 0.697465 0.008082
0.847500 0.701348 0.003659
0.852500 0.711589 0.007099
0.857500 0.731134 0.011734
0.862500 0.731883 0.014568
0.867500 0.728733 0.010357
0.872500 0.726067 0.006525
0.877500 0.734400 0.012058
0.882500 0.735921 0.009371
0.887500 0.736759 0.009626
0.892500 0.732626 0.007789
0.897500 0.733205 0.011983
0.902500 0.735753 0.015222
0.907500 0.737442 0.014646
0.912500 0.752017 0.015152
0.917500 0.749974 0.011824
0.922500 0.763231 0.013251
0.927500 0.758513 0.013560
0.932500 0.763507 0.014343
0.937500 0.765100 0.015114
0.942500 0.768644 0.015356
0.947500 0.764840 0.012644
0.952500 0.771889 0.008776
0.957500 0.777068 0.010495
0.962500 0.767811 0.007782
0.967500 0.768205 0.009647
0.972500 0.767270 0.009689
0.977500 0.777373 0.009680
0.982500 0.783114 0.009118
0.987500 0.802475 0.020461
0.992500 0.807190 0.018489
0.997500 0.807858 0.019506
1.002500 0.806203 0.018970
1.007500 0.814989 0.015431
1.012500 0.804628 0.012270
1.017500 0.796778 0.005735
1.022500 0.797897 0.007121
1.027500 0.796160 0.007804
1.032500 0.810678 0.017527
1.037500 0.814800 0.018152
1.042500 0.822147 0.018061
1.047500 0.823913 0.018746
1.052500 0.827045 0.018904
1.057500 0.821638 0.017654
1.062500 0.820881 0.011086
1.067500 0.826811 0.013073
1.072500 0.833176 0.010343
1.077500 0.832224 0.013106
1.082500 0.835984 0.015593
1.087500 0.834391 0.014548
1.092500 0.828876 0.012155
1.097500 0.825809 0.012715
1.102500 0.824132 0.013772
1.107500 0.832094 0.019055
1.112500 0.842562 0.019521
1.117500 0.852657 0.018788
1.122500 0.857339 0.016298
1.127500 0.861473 0.015265
1.132500 0.865428 0.011895
1.137500 0.864713 0.013533
1.142500 0.869628 0.015843
1.147500 0.865538 0.019576
1.152500 0.865811 0.016394
1.157500 0.861038 0.016113
1.162500 0.866169 0.011686
1.167500 0.876365 0.007052
1.172500 0.879603 0.011823
1.177500 0.892632 0.011857
1.182500 0.891851 0.019821
1.187500 0.887547 0.020476
1.192500 0.885335 0.019956
1.197500 0.884052 0.019188
1.202500 0.882517 0.012551
1.207500 0.881961 0.011791
1.212500 0.877865 0.007088
1.217500 0.883844 0.008370
1.222500 0.884379 0.010724
1.227500 0.887763 0.013814
1.232500 0.897039 0.017988
1.237500 0.902965 0.014987
1.242500 0.894677 0.010810
1.247500 0.904672 0.017311
1.252500 0.924463 0.032092
1.257500 0.914568 0.016047
1.262500 0.913283 0.018742
1.267500 0.905879 0.014543
1.272500 0.887812 0.010844
1.277500 0.893695 0.017544
1.282500 0.905719 0.018795
1.287500 0.914577 0.015276
1.292500 0.917174 0.018818
1.297500 0.919316 0.014718
1.302500 0.908098 0.009647
1.307500 0.912185 0.009856
1.312500 0.919004 0.012831
1.317500 0.923434 0.011495
1.322500 0.933943 0.011524
1.327500 0.930426 0.014802
1.332500 0.924383 0.014708
1.337500 0.930792 0.015449
1.342500 0.933360 0.013210
1.347500 0.933391 0.016049
1.352500 0.936613 0.016614
1.357500 0.941134 0.021964
1.362500 0.940132 0.021274
1.367500 0.944297 0.021799
1.372500 0.946512 0.025437
1.377500 0.940661 0.021259
1.382500 0.938937 0.020392
1.387500 0.948941 0.016506
1.392500 0.959524 0.012807
1.397500 0.962966 0.011520
1.402500 0.958348 0.012301
1.407500 0.956629 0.015066
1.412500 0.957913 0.016910
1.417500 0.955409 0.012965
1.422500 0.951743 0.009629
1.427500 0.953978 0.014807
1.432500 0.958345 0.015158
1.437500 0.950170 0.009904
1.442500 0.949847 0.013441
1.447500 0.948363 0.017728
1.452500 0.946044 0.016752
1.457500 0.943877 0.012660
1.462500 0.940310 0.010992
1.467500 0.935505 0.010136
1.472500 0.935379 0.009557
1.477500 0.932141 0.007942
1.482500 0.933646 0.008460
1.487500 0.930204 0.014923
1.492500 0.920203 0.011476
1.497500 0.917188 0.007841
1.502500 0.913295 0.008855
1.507500 0.912415 0.013796
1.512500 0.917269 0.017574
1.517500 0.917501 0.016147
1.522500 0.916358 0.017231
1.527500 0.925160 0.018100
1.532500 0.928383 0.019897
1.537500 0.940390 0.016298
1.542500 0.947097 0.013023
1.547500 0.950577 0.015289
1.552500 0.941450 0.010976
1.557500 0.935206 0.012606
1.562500 0.930874 0.014892
1.567500 0.927639 0.011101
1.572500 0.935419 0.009561
1.577500 0.933497 0.006646
1.582500 0.938071 0.012378
1.587500 0.934490 0.018646
1.592500 0.945717 0.012329
1.597500 0.957453 0.016676
1.602500 0.956641 0.016504
1.607500 0.963092 0.015748
