# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.767111 0.007139
0.707500 0.778998 0.007058
0.712500 0.754256 0.004335
0.717500 0.784926 0.012182
0.722500 0.806441 0.010866
0.727500 0.796189 0.011995
0.732500 0.813434 0.005761
0.737500 0.800580 0.009135
0.742500 0.797933 0.014213
0.747500 0.817423 0.010896
0.752500 0.814047 0.016694
0.757500 0.829227 0.017348
0.762500 0.855946 0.007502
0.767500 0.853801 0.009303
0.772500 0.851068 0.011122
0.777500 0.864552 0.012529
0.782500 0.854183 0.013995
0.787500 0.841375 0.018254
0.792500 0.852561 0.016450
0.797500 0.860374 0.015064
0.802500 0.873448 0.013329
0.807500 0.887067 0.007249
0.812500 0.898060 0.005891
0.817500 0.896684 0.012081
0.822500 0.887619 0.016634
0.827500 0.891952 0.019280
0.832500 0.894237 0.016663
0.837500 0.901294 0.012104
0.842500 0.909481 0.009171
0.847500 0.919005 0.013745
0.852500 0.926168 0.011389
0.857500 0.924176 0.011928
0.862500 0.919919 0.011363
0.867500 0.926140 0.017919
0.872500 0.932255 0.010418
0.877500 0.945433 0.011424
0.882500 0.939317 0.011206
0.887500 0.940959 0.013411
0.892500 0.952070 0.011200
0.897500 0.953808 0.012774
0.902500 0.949550 0.013698
0.907500 0.952371 0.012116
0.912500 0.960482 0.015363
0.917500 0.969184 0.011472
0.922500 0.975899 0.008646
0.927500 0.973349 0.010459
0.932500 0.972502 0.016060
0.937500 0.979308 0.022463
0.942500 0.983151 0.019305
0.947500 0.983181 0.013054
0.952500 0.972773 0.009373
0.957500 0.979105 0.010126
0.962500 0.986434 0.014055
0.967500 0.998553 0.010129
0.972500 1.006964 0.007595
0.977500 1.012047 0.015718
0.982500 1.014104 0.017864
0.987500 1.013456 0.017247
0.992500 1.012721 0.016435
0.997500 1.010703 0.016619
1.002500 1.011513 0.016406
1.007500 1.021590 0.016580
1.012500 1.018862 0.017400
1.017500 1.025542 0.021864
1.022500 1.030019 0.022597
1.027500 1.035467 0.020545
1.032500 1.032690 0.020171
1.037500 1.039083 0.017999
1.042500 1.036658 0.018245
1.047500 1.037739 0.018546
