# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.584583 0.016544
0.707500 0.585721 0.008821
0.712500 0.579623 0.003262
0.717500 0.584762 0.008495
0.722500 0.577809 0.004891
0.727500 0.564091 0.003539
0.732500 0.586435 0.006642
0.737500 0.607147 0.019833
0.742500 0.584727 0.007105
0.747500 0.612027 0.005355
0.752500 0.611164 0.006811
0.757500 0.602256 0.007550
0.762500 0.612995 0.004309
0.767500 0.627573 0.006970
0.772500 0.621069 0.008743
0.777500 0.636060 0.012039
0.782500 0.643949 0.004199
0.787500 0.615477 0.004651
0.792500 0.607913 0.014856
0.797500 0.606861 0.014110
0.802500 0.602367 0.009223
0.807500 0.612576 0.003889
0.812500 0.635982 0.012964
0.817500 0.643151 0.009719
0.822500 0.646245 0.005465
0.827500 0.649905 0.010531
0.832500 0.665001 0.006837
0.837500 0.666240 0.004350
0.842500 0.657202 0.003101
0.847500 0.648805 0.004761
0.852500 0.652292 0.004036
0.857500 0.661970 0.003606
0.862500 0.663459 0.005454
0.867500 0.661376 0.010342
0.872500 0.666483 0.012702
0.877500 0.669463 0.008986
0.882500 0.664451 0.010095
0.887500 0.674088 0.005463
0.892500 0.675749 0.007356
0.897500 0.682423 0.009875
0.902500 0.677321 0.008994
0.907500 0.670565 0.005827
0.912500 0.679168 0.008215
0.917500 0.678011 0.012830
0.922500 0.679959 0.004064
0.927500 0.687580 0.006043
0.932500 0.691214 0.009383
0.937500 0.689558 0.013875
0.942500 0.699582 0.013647
0.947500 0.710026 0.009534
0.952500 0.712196 0.004261
0.957500 0.704962 0.004040
0.962500 0.698918 0.004504
0.967500 0.700864 0.008554
0.972500 0.710115 0.006397
0.977500 0.715000 0.007110
0.982500 0.731028 0.008214
0.987500 0.733253 0.006122
0.992500 0.726839 0.005418
0.997500 0.722962 0.004487
1.002500 0.728045 0.006420
1.007500 0.738864 0.008720
1.012500 0.733791 0.006314
1.017500 0.735143 0.004112
1.022500 0.738724 0.005584
1.027500 0.738453 0.005420
1.032500 0.739977 0.004633
1.037500 0.752276 0.009967
1.042500 0.750428 0.007118
1.047500 0.746650 0.009087
1.052500 0.741674 0.005752
1.057500 0.747595 0.005409
1.062500 0.750942 0.005811
1.067500 0.752442 0.004123
1.072500 0.747644 0.005126
1.077500 0.748319 0.006893
1.082500 0.753688 0.006706
1.087500 0.752108 0.006758
1.092500 0.759494 0.004448
1.097500 0.760057 0.006319
1.102500 0.762110 0.006436
1.107500 0.769857 0.005424
1.112500 0.771881 0.006043
1.117500 0.781542 0.008508
1.122500 0.783583 0.005960
1.127500 0.795386 0.005908
1.132500 0.791555 0.006686
1.137500 0.788002 0.005646
1.142500 0.785739 0.008149
1.147500 0.783270 0.007396
1.152500 0.787260 0.008454
1.157500 0.791158 0.005623
1.162500 0.798358 0.005014
1.167500 0.798516 0.005060
1.172500 0.797598 0.004140
1.177500 0.800179 0.004697
1.182500 0.810122 0.007858
1.187500 0.809649 0.007183
1.192500 0.810256 0.006409
1.197500 0.811357 0.006131
1.202500 0.813951 0.005681
1.207500 0.814506 0.004652
1.212500 0.817915 0.005337
1.217500 0.822867 0.005243
1.222500 0.814742 0.008841
1.227500 0.815279 0.007944
1.232500 0.819819 0.007292
1.237500 0.824287 0.003777
1.242500 0.820801 0.010403
1.247500 0.829667 0.010722
1.252500 0.828494 0.006117
1.257500 0.814024 0.015607
1.262500 0.814892 0.020006
1.267500 0.813243 0.012333
1.272500 0.811968 0.014851
1.277500 0.815859 0.011039
1.282500 0.820931 0.010071
1.287500 0.816106 0.009147
1.292500 0.819621 0.005800
1.297500 0.822273 0.004649
1.302500 0.827461 0.003814
1.307500 0.836706 0.005670
1.312500 0.837145 0.005495
1.317500 0.839376 0.007077
1.322500 0.840460 0.006633
1.327500 0.839520 0.007622
1.332500 0.843083 0.008182
1.337500 0.848732 0.008193
1.342500 0.844018 0.005356
1.347500 0.845327 0.004317
1.352500 0.845933 0.004469
1.357500 0.846791 0.006672
1.362500 0.850425 0.009306
1.367500 0.853627 0.006960
1.372500 0.852032 0.009696
1.377500 0.848395 0.010485
1.382500 0.850204 0.007060
1.387500 0.845716 0.008352
1.392500 0.847076 0.007006
1.397500 0.849018 0.004423
1.402500 0.850582 0.005753
1.407500 0.860966 0.007763
1.412500 0.868853 0.008860
1.417500 0.871175 0.009380
1.422500 0.869309 0.007931
1.427500 0.861391 0.007561
1.432500 0.853222 0.004973
1.437500 0.854059 0.005568
1.442500 0.852236 0.005421
1.447500 0.856859 0.007589
1.452500 0.863486 0.008827
1.457500 0.860532 0.005622
1.462500 0.860640 0.005045
1.467500 0.859321 0.004701
1.472500 0.861627 0.004332
1.477500 0.859485 0.007616
1.482500 0.856397 0.008617
1.487500 0.858708 0.007172
1.492500 0.852665 0.006249
1.497500 0.854180 0.007023
1.502500 0.846571 0.007986
1.507500 0.845297 0.006192
1.512500 0.843639 0.006489
1.517500 0.845938 0.004705
1.522500 0.850013 0.006010
1.527500 0.853738 0.005087
1.532500 0.854042 0.008431
1.537500 0.853260 0.004473
1.542500 0.850697 0.003999
1.547500 0.847178 0.006396
1.552500 0.849858 0.005490
1.557500 0.854028 0.006741
1.562500 0.849219 0.004243
1.567500 0.847738 0.005105
1.572500 0.854129 0.009953
1.577500 0.854831 0.011116
1.582500 0.853824 0.009209
1.587500 0.856732 0.011436
1.592500 0.857594 0.013145
1.597500 0.858563 0.015295
1.602500 0.863289 0.016415
1.607500 0.870292 0.016150
1.612500 0.871138 0.014693
1.617500 0.876803 0.011962
1.622500 0.879434 0.008427
1.627500 0.880321 0.004197
1.632500 0.882618 0.004194
1.637500 0.878131 0.006336
1.642500 0.878516 0.004748
1.647500 0.883447 0.009063
1.652500 0.885112 0.011044
1.657500 0.886854 0.010838
1.662500 0.908188 0.006500
1.667500 0.904259 0.016479
1.672500 0.905869 0.013175
1.677500 0.892492 0.007242
1.682500 0.893164 0.008159
1.687500 0.910747 0.004508
1.692500 0.911325 0.004614
1.697500 0.908428 0.003835
1.702500 0.909997 0.004687
1.707500 0.914048 0.006586
1.712500 0.916273 0.006560
1.717500 0.907005 0.009965
1.722500 0.910357 0.009453
1.727500 0.907477 0.006664
1.732500 0.911433 0.009356
1.737500 0.908454 0.009164
1.742500 0.906149 0.011296
1.747500 0.913961 0.009470
1.752500 0.914750 0.007541
1.757500 0.911068 0.004141
1.762500 0.911025 0.004842
1.767500 0.910370 0.004188
1.772500 0.910861 0.005333
1.777500 0.905464 0.005009
1.782500 0.906549 0.005548
1.787500 0.915321 0.006918
1.792500 0.913191 0.005295
1.797500 0.907774 0.011707
1.802500 0.903104 0.009261
1.807500 0.905197 0.007874
1.812500 0.904494 0.008384
1.817500 0.908808 0.004525
1.822500 0.910608 0.006036
1.827500 0.914810 0.006447
1.832500 0.913915 0.005474
1.837500 0.913059 0.005425
1.842500 0.917972 0.005998
1.847500 0.918673 0.005364
1.852500 0.918150 0.003969
1.857500 0.903613 0.008643
1.862500 0.911252 0.007574
1.867500 0.915522 0.006522
1.872500 0.920703 0.009987
1.877500 0.922257 0.013586
1.882500 0.923801 0.014386
1.887500 0.934090 0.008192
1.892500 0.931753 0.004305
1.897500 0.934209 0.004391
1.902500 0.934626 0.005400
1.907500 0.930068 0.007692
1.912500 0.920688 0.009659
1.917500 0.922161 0.007419
1.922500 0.922239 0.005830
1.927500 0.928220 0.006260
1.932500 0.923741 0.007937
1.937500 0.920475 0.019320
1.942500 0.913950 0.012582
1.947500 0.908179 0.017209
1.952500 0.909783 0.016665
1.957500 0.922684 0.016165
1.962500 0.927299 0.008942
1.967500 0.917989 0.006399
1.972500 0.918862 0.007334
1.977500 0.920601 0.006115
1.982500 0.911120 0.005058
1.987500 0.911008 0.004200
1.992500 0.908667 0.004654
1.997500 0.908583 0.006636
2.002500 0.913997 0.003903
2.007500 0.911095 0.008440
2.012500 0.913018 0.008969
2.017500 0.912368 0.007487
2.022500 0.910506 0.005274
2.027500 0.910531 0.004435
2.032500 0.904856 0.011011
2.037500 0.910316 0.009419
2.042500 0.926095 0.009667
2.047500 0.949603 0.009220
2.052500 0.945459 0.014322
2.057500 0.928014 0.010197
2.062500 0.918237 0.009975
2.067500 0.914896 0.007134
2.072500 0.921228 0.004441
2.077500 0.928271 0.011332
2.082500 0.938644 0.008117
2.087500 0.941880 0.007751
2.092500 0.931652 0.004027
2.097500 0.938627 0.004781
2.102500 0.944181 0.006976
2.107500 0.945817 0.006408
2.112500 0.945234 0.006378
2.117500 0.950992 0.005917
2.122500 0.950333 0.006741
2.127500 0.940994 0.006638
2.132500 0.941120 0.007174
2.137500 0.943859 0.007404
2.142500 0.952542 0.007330
2.147500 0.960535 0.010206
2.152500 0.969968 0.008430
2.157500 0.968744 0.010807
2.162500 0.955483 0.006577
2.167500 0.957635 0.008418
2.172500 0.958267 0.009123
2.177500 0.952668 0.007056
2.182500 0.945740 0.003263
2.187500 0.948648 0.004115
2.192500 0.951974 0.005159
2.197500 0.967607 0.007704
2.202500 0.977549 0.004719
2.207500 0.983860 0.007557
2.212500 0.980302 0.009636
2.217500 0.980937 0.011134
2.222500 0.970560 0.003163
2.227500 0.975980 0.006696
2.232500 0.995781 0.003705
2.237500 0.990478 0.005655
2.242500 0.998307 0.006926
2.247500 0.991822 0.014312
2.252500 0.993276 0.012425
2.257500 0.995358 0.017883
2.262500 0.984476 0.013883
2.267500 0.978725 0.016863
2.272500 0.983911 0.017963
2.277500 0.991452 0.017699
2.282500 0.983794 0.010351
2.287500 0.983229 0.013533
2.292500 0.985659 0.011045
2.297500 0.975437 0.003978
2.302500 0.983340 0.014019
2.307500 0.974838 0.011345
2.312500 0.984291 0.008399
2.317500 0.981141 0.003031
2.322500 0.978534 0.005804
2.327500 0.979812 0.013820
2.332500 0.980352 0.008506
2.337500 0.979214 0.014133
2.342500 0.975088 0.009397
2.347500 0.977697 0.007683
2.352500 0.982118 0.005160
2.357500 0.988948 0.004205
2.362500 0.992486 0.003427
2.367500 0.986768 0.005376
2.372500 1.001382 0.009896
2.377500 1.003923 0.014828
2.382500 1.015200 0.010747
2.387500 1.019853 0.007264
2.392500 1.002199 0.008092
2.397500 0.983970 0.009927
2.402500 0.997576 0.008410
2.407500 0.987607 0.011024
2.412500 1.004524 0.003465
2.417500 1.007073 0.010122
2.422500 1.001476 0.002955
2.427500 0.991897 0.012400
2.432500 0.985836 0.008024
2.437500 0.984761 0.003195
2.442500 0.996590 0.003180
2.447500 1.006467 0.005585
2.452500 1.008711 0.001801
2.457500 1.006929 0.003059
2.462500 0.990169 0.005117
2.467500 0.989997 0.008893
2.472500 0.984111 0.009223
2.477500 0.977001 0.009788
2.482500 0.984209 0.008450
2.487500 0.986289 0.005467
2.492500 0.985405 0.003539
2.497500 0.992042 0.005416
2.502500 0.992265 0.003971
2.507500 0.997800 0.002205
2.512500 1.003626 0.007745
2.517500 0.996384 0.004089
2.522500 0.990675 0.004012
2.527500 0.993000 0.004794
2.532500 1.008541 0.003386
2.537500 1.006714 0.010402
2.542500 1.004594 0.013421
2.547500 1.008542 0.010439
2.552500 1.001884 0.007625
2.557500 0.996250 0.007945
2.562500 1.002822 0.006625
2.567500 1.007841 0.003120
2.572500 1.003131 0.009415
2.577500 1.008817 0.003617
2.582500 0.997189 0.004860
2.587500 0.991052 0.011847
2.592500 1.005349 0.013144
2.597500 1.010824 0.016783
2.602500 1.000000 0.012257
2.607500 1.000159 0.010595
2.612500 0.991986 0.002110
2.617500 0.983052 0.011012
2.622500 0.996138 0.013684
2.627500 1.009522 0.011830
2.632500 1.001756 0.018297
2.637500 1.005203 0.017782
2.642500 0.992188 0.008340
2.647500 1.000384 0.008934
2.652500 1.013001 0.002191
2.657500 0.998281 0.007340
2.662500 0.989544 0.010870
2.667500 0.977700 0.020475
2.672500 0.983857 0.013019
2.677500 0.985085 0.002024
2.682500 0.994798 0.003325
2.687500 0.988308 0.009422
2.692500 0.983860 0.005647
2.697500 0.990658 0.003571
2.702500 0.994113 0.004252
2.707500 1.002254 0.001763
2.712500 0.997326 0.008886
2.717500 0.991148 0.006277
2.722500 0.979637 0.003163
2.727500 0.970691 0.005426
2.732500 0.960638 0.009284
2.737500 0.964913 0.018878
2.742500 0.967775 0.008672
2.747500 0.975840 0.015487
2.752500 0.945340 0.020103
2.757500 0.945198 0.024715
2.762500 0.947497 0.015412
2.767500 0.948393 0.013552
2.772500 0.948237 0.016170
2.777500 0.930225 0.022516
2.782500 0.926877 0.025311
2.787500 0.913679 0.012810
2.792500 0.909293 0.006309
2.797500 0.901009 0.002779
2.802500 0.886422 0.004666
2.807500 0.884493 0.003613
2.812500 0.871810 0.006816
2.817500 0.864961 0.008722
2.822500 0.846427 0.007505
2.827500 0.831127 0.008108
2.832500 0.821569 0.002229
2.837500 0.839992 0.013096
2.842500 0.832912 0.018161
2.847500 0.829130 0.020626
2.852500 0.810791 0.016747
2.857500 0.809223 0.012243
2.862500 0.787852 0.016344
2.867500 0.772255 0.007401
2.872500 0.767058 0.013673
2.877500 0.779846 0.009833
2.882500 0.770848 0.023846
2.887500 0.771648 0.013558
2.892500 0.766088 0.010511
2.897500 0.756648 0.019997
2.902500 0.759518 0.013581
2.907500 0.748608 0.013886
2.912500 0.759722 0.012932
2.917500 0.756227 0.013542
2.922500 0.774111 0.005671
2.927500 0.764728 0.006662
2.932500 0.750961 0.011437
2.937500 0.734988 0.007501
2.942500 0.725980 0.004822
2.947500 0.711888 0.009861
2.952500 0.713225 0.013234
2.957500 0.707620 0.009604
2.962500 0.727144 0.002175
2.967500 0.721026 0.017235
2.972500 0.718690 0.020875
2.977500 0.724550 0.016081
2.982500 0.710425 0.003844
2.987500 0.709015 0.005862
2.992500 0.715907 0.005003
2.997500 0.709991 0.003545
3.002500 0.719768 0.009645
3.007500 0.715420 0.002002
3.012500 0.715016 0.002539
3.017500 0.697092 0.005336
3.022500 0.685335 0.003825
3.027500 0.690365 0.002564
3.032500 0.688597 0.008111
3.037500 0.670353 0.006062
3.042500 0.655485 0.006704
3.047500 0.664921 0.002619
3.052500 0.662007 0.005288
3.057500 0.667551 0.007817
3.062500 0.652390 0.022512
3.067500 0.667666 0.019074
3.072500 0.681032 0.002207
3.077500 0.693034 0.007126
3.082500 0.683286 0.020521
3.087500 0.665727 0.008596
3.092500 0.666551 0.012461
3.097500 0.661275 0.015155
3.102500 0.645160 0.011665
3.107500 0.657652 0.013033
3.112500 0.660277 0.007064
