# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.674438 0.006824
0.707500 0.690468 0.018345
0.712500 0.702985 0.009318
0.717500 0.703467 0.012421
0.722500 0.705656 0.008619
0.727500 0.703964 0.008310
0.732500 0.717462 0.007525
0.737500 0.723062 0.010592
0.742500 0.714573 0.006034
0.747500 0.732639 0.004872
0.752500 0.742306 0.007767
0.757500 0.757954 0.004286
0.762500 0.759477 0.006851
0.767500 0.759196 0.009178
0.772500 0.761248 0.006957
0.777500 0.780901 0.005221
0.782500 0.810238 0.007733
0.787500 0.802108 0.005329
0.792500 0.791294 0.011311
0.797500 0.783530 0.011663
0.802500 0.783296 0.009077
0.807500 0.786270 0.006935
0.812500 0.793171 0.006712
0.817500 0.813149 0.006703
0.822500 0.822620 0.007887
0.827500 0.815316 0.005047
0.832500 0.820844 0.008186
0.837500 0.848873 0.007250
0.842500 0.858074 0.006408
0.847500 0.854055 0.005678
0.852500 0.860172 0.004448
0.857500 0.865688 0.005211
0.862500 0.858661 0.006585
0.867500 0.862203 0.008449
0.872500 0.876935 0.004534
0.877500 0.883107 0.006718
0.882500 0.879244 0.005776
0.887500 0.889463 0.008084
0.892500 0.900756 0.006750
0.897500 0.897692 0.008601
0.902500 0.901287 0.005037
0.907500 0.899675 0.009508
0.912500 0.916161 0.012955
0.917500 0.917429 0.015698
0.922500 0.922594 0.011067
0.927500 0.921703 0.006927
0.932500 0.925350 0.010315
0.937500 0.926783 0.013612
0.942500 0.927593 0.011033
0.947500 0.929006 0.007474
0.952500 0.940228 0.004032
0.957500 0.943404 0.008267
0.962500 0.958765 0.008781
0.967500 0.957582 0.011221
0.972500 0.959348 0.008126
0.977500 0.968861 0.006755
0.982500 0.981635 0.005219
0.987500 0.990430 0.004535
0.992500 0.991840 0.004408
0.997500 0.991494 0.008776
1.002500 0.987106 0.008504
1.007500 0.995451 0.006683
1.012500 0.984370 0.006590
1.017500 0.987085 0.006976
1.022500 0.996218 0.005791
1.027500 0.996685 0.008362
1.032500 1.000072 0.006576
1.037500 1.004729 0.004611
1.042500 0.999499 0.004200
1.047500 1.002227 0.005102
1.052500 0.997718 0.007771
1.057500 0.993447 0.007795
1.062500 1.000048 0.010984
1.067500 0.995983 0.010960
1.072500 1.000323 0.008266
1.077500 0.999948 0.008845
1.082500 1.005638 0.007097
1.087500 1.018723 0.008053
1.092500 1.024193 0.008466
1.097500 1.026500 0.009695
1.102500 1.031049 0.008304
1.107500 1.028921 0.009682
1.112500 1.041756 0.004646
1.117500 1.036689 0.006483
1.122500 1.034841 0.006958
1.127500 1.034453 0.007221
1.132500 1.035251 0.009579
1.137500 1.033362 0.011008
1.142500 1.046294 0.006984
1.147500 1.051880 0.009808
1.152500 1.052989 0.010838
1.157500 1.053901 0.008374
1.162500 1.053415 0.007092
1.167500 1.054307 0.006234
1.172500 1.054889 0.006127
1.177500 1.052588 0.008694
1.182500 1.061203 0.009472
1.187500 1.058450 0.010127
1.192500 1.055025 0.012715
1.197500 1.056089 0.014893
1.202500 1.062917 0.011717
1.207500 1.065179 0.012650
1.212500 1.072618 0.011722
1.217500 1.074051 0.010680
1.222500 1.075501 0.013950
1.227500 1.072581 0.020249
1.232500 1.077924 0.013701
1.237500 1.080189 0.013771
1.242500 1.043851 0.025883
1.247500 1.047106 0.019656
1.252500 1.054911 0.025096
1.257500 1.071717 0.007900
1.262500 1.083510 0.008948
1.267500 1.084012 0.010755
1.272500 1.074104 0.006439
1.277500 1.065960 0.011005
1.282500 1.066788 0.010492
1.287500 1.071125 0.008024
1.292500 1.076518 0.007481
1.297500 1.077549 0.005759
1.302500 1.080364 0.006966
1.307500 1.077118 0.009142
1.312500 1.069932 0.011849
1.317500 1.072725 0.011522
1.322500 1.072249 0.011943
1.327500 1.070687 0.011111
1.332500 1.073306 0.009388
1.337500 1.081483 0.008041
1.342500 1.082119 0.009025
1.347500 1.082692 0.006042
1.352500 1.083338 0.006069
1.357500 1.083954 0.007571
1.362500 1.084038 0.006924
1.367500 1.083609 0.006519
1.372500 1.082925 0.007354
1.377500 1.080889 0.007094
1.382500 1.085630 0.005265
1.387500 1.083901 0.006288
1.392500 1.086210 0.008674
1.397500 1.086758 0.010564
1.402500 1.087980 0.010642
1.407500 1.090362 0.008458
1.412500 1.082061 0.014350
1.417500 1.079667 0.016173
1.422500 1.083598 0.014813
1.427500 1.081484 0.009058
1.432500 1.080049 0.010098
1.437500 1.080809 0.010370
1.442500 1.084059 0.006932
1.447500 1.093313 0.007158
1.452500 1.097207 0.006646
1.457500 1.100001 0.006502
1.462500 1.093893 0.006526
1.467500 1.085668 0.009776
1.472500 1.085925 0.005387
1.477500 1.087084 0.005586
1.482500 1.089766 0.005317
1.487500 1.086569 0.008854
1.492500 1.075879 0.017143
1.497500 1.081167 0.016791
1.502500 1.076815 0.020170
1.507500 1.079910 0.013131
1.512500 1.085456 0.009379
1.517500 1.085129 0.009353
1.522500 1.081292 0.005113
1.527500 1.082190 0.003918
1.532500 1.081488 0.004772
1.537500 1.079565 0.004733
1.542500 1.076478 0.005162
1.547500 1.077240 0.010437
1.552500 1.083773 0.008394
