# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.564855 0.005994
0.707500 0.564494 0.003520
0.712500 0.562178 0.005425
0.717500 0.557449 0.005250
0.722500 0.585404 0.009193
0.727500 0.593986 0.003308
0.732500 0.587074 0.010527
0.737500 0.587344 0.011078
0.742500 0.573192 0.007516
0.747500 0.588281 0.010496
0.752500 0.593543 0.003804
0.757500 0.588099 0.003140
0.762500 0.587560 0.004068
0.767500 0.595338 0.013956
0.772500 0.591974 0.005686
0.777500 0.608465 0.006574
0.782500 0.608393 0.010890
0.787500 0.583728 0.004795
0.792500 0.581375 0.009076
0.797500 0.598039 0.010282
0.802500 0.614479 0.006955
0.807500 0.621912 0.006417
0.812500 0.628259 0.004527
0.817500 0.618569 0.006647
0.822500 0.617556 0.009673
0.827500 0.614415 0.005705
0.832500 0.611578 0.007331
0.837500 0.627043 0.009484
0.842500 0.636179 0.007602
0.847500 0.641561 0.005284
0.852500 0.642328 0.006800
0.857500 0.639574 0.003416
0.862500 0.645062 0.006799
0.867500 0.643239 0.006546
0.872500 0.650839 0.015481
0.877500 0.657481 0.014948
0.882500 0.656645 0.015457
0.887500 0.653643 0.014209
0.892500 0.659570 0.008643
0.897500 0.658811 0.009565
0.902500 0.663985 0.007673
0.907500 0.671375 0.009472
0.912500 0.670650 0.007582
0.917500 0.671546 0.008264
0.922500 0.678868 0.009660
0.927500 0.685796 0.006202
0.932500 0.688048 0.007740
0.937500 0.687592 0.010867
0.942500 0.690223 0.013685
0.947500 0.691436 0.011196
0.952500 0.692002 0.006336
0.957500 0.687007 0.005795
0.962500 0.685830 0.003408
0.967500 0.697137 0.003663
0.972500 0.701147 0.007669
0.977500 0.700946 0.005484
0.982500 0.711981 0.009077
0.987500 0.714909 0.011094
0.992500 0.718870 0.009530
0.997500 0.715499 0.008865
1.002500 0.722885 0.006973
1.007500 0.724291 0.007939
1.012500 0.725520 0.009008
1.017500 0.726801 0.009379
1.022500 0.729271 0.008752
1.027500 0.729910 0.010490
1.032500 0.732111 0.011468
1.037500 0.734698 0.010518
1.042500 0.738134 0.012236
1.047500 0.737374 0.010573
1.052500 0.736765 0.012726
1.057500 0.739133 0.013712
1.062500 0.738644 0.013013
1.067500 0.744204 0.015267
1.072500 0.744466 0.014833
1.077500 0.748633 0.012867
1.082500 0.754245 0.009708
1.087500 0.753457 0.009109
1.092500 0.753942 0.008658
1.097500 0.754330 0.005752
1.102500 0.762846 0.008760
1.107500 0.763449 0.012600
1.112500 0.769948 0.008925
1.117500 0.774821 0.009643
1.122500 0.776838 0.010508
1.127500 0.783397 0.008350
1.132500 0.788553 0.009879
1.137500 0.789851 0.013477
1.142500 0.788337 0.012405
1.147500 0.790273 0.010989
1.152500 0.794204 0.011433
1.157500 0.795613 0.013217
1.162500 0.796650 0.013243
1.167500 0.797144 0.012632
1.172500 0.796897 0.011164
1.177500 0.798205 0.011725
1.182500 0.806580 0.010255
1.187500 0.805430 0.012169
1.192500 0.806359 0.013625
1.197500 0.811593 0.010767
1.202500 0.808115 0.009177
1.207500 0.808301 0.008799
1.212500 0.803398 0.006126
1.217500 0.800396 0.006230
1.222500 0.805813 0.011361
1.227500 0.807958 0.016776
1.232500 0.815214 0.014502
