# DATE = 2025-03-12
# PIPE_VER = 1.17.1
# PMAP = jwst_1322.pmap
# STANDARD_STAR = SNAP-2
# 
# Wavelength (microns), arbitrary reflectance, uncertainty
0.702500 0.532980 0.003736
0.707500 0.542269 0.011883
0.712500 0.556486 0.021366
0.717500 0.558579 0.010322
0.722500 0.550218 0.007121
0.727500 0.564150 0.004905
0.732500 0.559621 0.013084
0.737500 0.555828 0.008622
0.742500 0.554963 0.005353
0.747500 0.554830 0.005277
0.752500 0.568173 0.008658
0.757500 0.572974 0.008391
0.762500 0.575413 0.003489
0.767500 0.585963 0.006158
0.772500 0.588891 0.005051
0.777500 0.594147 0.004726
0.782500 0.589625 0.009510
0.787500 0.597103 0.010229
0.792500 0.584276 0.010008
0.797500 0.596991 0.007647
0.802500 0.593470 0.004968
0.807500 0.593468 0.004322
0.812500 0.599568 0.003541
0.817500 0.606184 0.006011
0.822500 0.607781 0.005344
0.827500 0.613892 0.009402
0.832500 0.619709 0.005495
0.837500 0.625832 0.003787
0.842500 0.631823 0.003736
0.847500 0.632414 0.006228
0.852500 0.632782 0.004574
0.857500 0.640338 0.004569
0.862500 0.648386 0.003992
0.867500 0.646548 0.003191
0.872500 0.643885 0.004320
0.877500 0.647506 0.004054
0.882500 0.647207 0.004761
0.887500 0.651916 0.008683
0.892500 0.664287 0.005963
0.897500 0.667264 0.007354
0.902500 0.662964 0.007781
0.907500 0.662864 0.007935
0.912500 0.672517 0.011700
0.917500 0.670441 0.011589
0.922500 0.672310 0.006361
0.927500 0.671941 0.005200
0.932500 0.680570 0.006246
0.937500 0.688885 0.005578
0.942500 0.684359 0.008455
0.947500 0.681815 0.009969
0.952500 0.684038 0.010893
0.957500 0.688734 0.008504
0.962500 0.684784 0.004988
0.967500 0.695356 0.010072
0.972500 0.707582 0.009502
0.977500 0.714125 0.003646
0.982500 0.708138 0.003477
0.987500 0.711962 0.004350
0.992500 0.713935 0.005636
0.997500 0.714213 0.005350
1.002500 0.722060 0.004479
1.007500 0.724974 0.003997
1.012500 0.722058 0.003803
1.017500 0.719848 0.008310
1.022500 0.729746 0.010140
1.027500 0.730915 0.009115
1.032500 0.728656 0.007428
1.037500 0.733037 0.006900
1.042500 0.730480 0.005758
1.047500 0.731327 0.006489
1.052500 0.735358 0.010060
1.057500 0.735435 0.007241
1.062500 0.745586 0.003994
1.067500 0.755148 0.002991
1.072500 0.756111 0.005644
1.077500 0.751368 0.009263
1.082500 0.754712 0.006133
1.087500 0.752072 0.004699
1.092500 0.760138 0.005793
1.097500 0.763702 0.010309
1.102500 0.761482 0.009628
1.107500 0.763864 0.007708
1.112500 0.770228 0.006553
1.117500 0.776009 0.006362
1.122500 0.778519 0.004882
1.127500 0.781869 0.005920
1.132500 0.782457 0.007753
1.137500 0.780392 0.008940
1.142500 0.787738 0.005325
1.147500 0.787386 0.008221
1.152500 0.791099 0.008988
1.157500 0.788401 0.006339
1.162500 0.791631 0.006073
1.167500 0.798131 0.008921
1.172500 0.799497 0.008882
1.177500 0.803658 0.006362
1.182500 0.809799 0.006479
1.187500 0.801300 0.007271
1.192500 0.801131 0.007322
1.197500 0.803976 0.007463
1.202500 0.807731 0.008193
1.207500 0.815743 0.011817
1.212500 0.821144 0.009358
1.217500 0.821856 0.009588
1.222500 0.819994 0.013101
1.227500 0.819731 0.009171
1.232500 0.832167 0.008111
1.237500 0.833445 0.005516
1.242500 0.827821 0.010771
1.247500 0.823387 0.009832
1.252500 0.825522 0.012377
1.257500 0.825628 0.007229
1.262500 0.830529 0.012852
1.267500 0.829132 0.011153
1.272500 0.819426 0.010117
1.277500 0.827543 0.015159
1.282500 0.816800 0.005538
1.287500 0.824654 0.007491
1.292500 0.840626 0.008417
1.297500 0.850983 0.009467
1.302500 0.857865 0.007324
1.307500 0.849362 0.012370
1.312500 0.849358 0.005669
1.317500 0.845216 0.005840
1.322500 0.853203 0.007753
1.327500 0.855496 0.005213
1.332500 0.855736 0.011823
1.337500 0.862570 0.010490
1.342500 0.854152 0.010260
1.347500 0.859245 0.007655
1.352500 0.859764 0.008505
1.357500 0.865962 0.011156
1.362500 0.869886 0.010225
1.367500 0.873430 0.011232
1.372500 0.881994 0.011383
1.377500 0.874974 0.010592
